#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,9:02,TAM 25,7,3:57,49,Field Goal,0,Buccaneers,1.0,2022,15
2,1,3:53,TAM 31,7,2:47,49,Field Goal,0,Buccaneers,1.0,2022,15
3,2,14:45,TAM 39,12,7:14,43,Missed FG,0,Buccaneers,1.0,2022,15
4,2,6:06,DAL 23,5,2:41,12,Field Goal,0,Buccaneers,1.0,2022,15
5,2,1:46,TAM 10,8,1:32,61,Field Goal,0,Buccaneers,1.0,2022,15
6,3,15:00,TAM 25,4,2:49,12,Punt,0,Buccaneers,1.0,2022,15
7,3,8:07,TAM 21,9,4:44,79,Touchdown,0,Buccaneers,1.0,2022,15
8,4,13:31,TAM 41,3,1:30,7,Interception,0,Buccaneers,1.0,2022,15
9,4,11:12,TAM 13,7,4:12,27,Punt,0,Buccaneers,1.0,2022,15
10,4,3:14,TAM 42,3,0:27,-1,Punt,0,Buccaneers,1.0,2022,15
11,4,0:49,,2,0:49,-1,End of Game,0,Buccaneers,1.0,2022,15
