Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,,1.0,2022,4
1.0,15:00,,,SFO 35,0.0,0.0,"Robbie Gould kicks off 60 yards, returned by Trestan Ebner for 18 yards (tackle by Ambry Thomas)",0.0,0.48,1.0,2022,4
1.0,14:54,1.0,10.0,CHI 23,0.0,0.0,Justin Fields pass incomplete short left intended for David Montgomery,0.48,-0.07,1.0,2022,4
1.0,14:49,2.0,10.0,CHI 23,0.0,0.0,David Montgomery left end for 3 yards (tackle by Samson Ebukam),-0.07,-0.36,1.0,2022,4
1.0,14:18,3.0,7.0,CHI 26,0.0,0.0,Justin Fields sacked by Samson Ebukam for -10 yards,-0.36,-2.39,1.0,2022,4
1.0,13:39,4.0,17.0,CHI 16,0.0,0.0,Trenton Gill punts 41 yards downed by Jack Sanborn,-2.39,-1.8,1.0,2022,4
1.0,13:30,1.0,10.0,SFO 43,0.0,0.0,Brandon Aiyuk left end for 7 yards (tackle by Roquan Smith),1.8,2.2,1.0,2022,4
1.0,12:54,2.0,3.0,SFO 50,0.0,0.0,"Penalty on Elijah Mitchell: False Start, 5 yards (accepted) (no play)",2.2,1.52,1.0,2022,4
1.0,12:34,2.0,8.0,SFO 45,0.0,0.0,Trey Lance pass complete short middle to Deebo Samuel for 6 yards (tackle by Kindle Vildor),1.52,1.62,1.0,2022,4
1.0,11:53,3.0,2.0,CHI 49,0.0,0.0,Trey Lance right guard for 2 yards (tackle by Justin Jones),1.62,2.46,1.0,2022,4
1.0,11:03,1.0,10.0,CHI 47,0.0,0.0,Trey Lance pass complete deep left to Brandon Aiyuk for 31 yards (tackle by Kindle Vildor),2.46,4.51,1.0,2022,4
1.0,10:25,1.0,10.0,CHI 16,0.0,0.0,"Deebo Samuel left end for 4 yards. Deebo Samuel fumbles (forced by Jaylon Johnson), recovered by Jaquan Brisker at CHI-12",4.51,0.35,1.0,2022,4
1.0,10:19,1.0,10.0,CHI 12,0.0,0.0,David Montgomery left guard for 3 yards (tackle by Fred Warner),-0.35,-0.5,1.0,2022,4
1.0,9:48,2.0,7.0,CHI 15,0.0,0.0,David Montgomery right end for 1 yard (tackle by Arik Armstead),-0.5,-0.95,1.0,2022,4
1.0,9:10,3.0,6.0,CHI 16,0.0,0.0,Justin Fields pass complete short middle to David Montgomery for 16 yards (tackle by Tashaun Gipson),-0.95,1.07,1.0,2022,4
1.0,8:28,1.0,10.0,CHI 32,0.0,0.0,"Justin Fields pass complete short left to Ryan Griffin for 4 yards SFO challenged the pass completion ruling, and the original play was overturned. Justin Fields pass incomplete short left intended for Ryan Griffin",1.07,0.53,1.0,2022,4
1.0,8:22,2.0,10.0,CHI 32,0.0,0.0,David Montgomery left guard for 3 yards (tackle by Talanoa Hufanga and Fred Warner),0.53,0.23,1.0,2022,4
