Quarter,Time,Tm,Detail,TAM,DAL,week,year,game_id
1.0,9:02,Cowboys,Brett Maher 51 yard field goal,0,3,1.0,2022,15
,5:05,Buccaneers,Ryan Succop 44 yard field goal,3,3,1.0,2022,15
,1:06,Buccaneers,Ryan Succop 38 yard field goal,6,3,1.0,2022,15
2.0,3:25,Buccaneers,Ryan Succop 29 yard field goal,9,3,1.0,2022,15
,0:14,Buccaneers,Ryan Succop 47 yard field goal,12,3,1.0,2022,15
3.0,3:23,Buccaneers,Mike Evans 5 yard pass from Tom Brady (Ryan Succop kick),19,3,1.0,2022,15
