Quarter,Time,Down,ToGo,Location,CLE,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Panthers to receive the opening kickoff.",,,1.0,2022,3
1.0,15:00,,,CLE 35,0.0,0.0,"Cade York kicks off 61 yards, returned by Andre Roberts for 18 yards (tackle by D'Anthony Bell)",0.0,0.41,1.0,2022,3
1.0,14:56,1.0,10.0,CAR 22,0.0,0.0,Baker Mayfield pass incomplete short right intended for Robbie Anderson (defended by Jadeveon Clowney),0.41,-0.13,1.0,2022,3
1.0,14:53,2.0,10.0,CAR 22,0.0,0.0,Baker Mayfield pass complete short left to Christian McCaffrey for -5 yards (tackle by Anthony Walker),-0.13,-1.68,1.0,2022,3
1.0,14:09,3.0,15.0,CAR 17,0.0,0.0,Baker Mayfield pass complete short right to Robbie Anderson for 4 yards (tackle by Greg Newsome and Martin Emerson),-1.68,-1.96,1.0,2022,3
1.0,13:38,4.0,11.0,CAR 21,0.0,0.0,"Johnny Hekker punts 44 yards, returned by Demetric Felton for no gain (tackle by Sam Franklin)",-1.96,-1.27,1.0,2022,3
1.0,13:29,1.0,10.0,CLE 35,0.0,0.0,Nick Chubb left tackle for 11 yards (tackle by Xavier Woods and Brian Burns),1.27,1.99,1.0,2022,3
1.0,12:47,1.0,10.0,CLE 46,0.0,0.0,Jacoby Brissett pass complete short left to Donovan Peoples-Jones for 2 yards (tackle by Donte Jackson),1.99,1.72,1.0,2022,3
1.0,12:03,2.0,8.0,CLE 48,0.0,0.0,Nick Chubb right tackle for 5 yards (tackle by Matthew Ioannidis and Jeremy Chinn),1.72,1.69,1.0,2022,3
1.0,11:17,,,,,,Timeout #1 by Cleveland Browns,,,1.0,2022,3
1.0,11:17,3.0,3.0,CAR 47,0.0,0.0,Nick Chubb left end for 4 yards (tackle by Shaq Thompson),1.69,2.72,1.0,2022,3
1.0,10:40,1.0,10.0,CAR 43,0.0,0.0,Jacoby Brissett pass complete short left to Amari Cooper for 6 yards (tackle by Jaycee Horn),2.72,2.99,1.0,2022,3
1.0,10:09,2.0,4.0,CAR 37,0.0,0.0,Nick Chubb right guard for 1 yard (tackle by Matthew Ioannidis and Xavier Woods),2.99,2.41,1.0,2022,3
1.0,9:26,3.0,3.0,CAR 36,0.0,0.0,Jacoby Brissett pass incomplete deep right intended for Amari Cooper,2.41,0.89,1.0,2022,3
1.0,9:20,4.0,3.0,CAR 36,0.0,0.0,Jacoby Brissett pass incomplete short right intended for Donovan Peoples-Jones,0.89,-1.33,1.0,2022,3
1.0,9:17,1.0,10.0,CAR 36,0.0,0.0,Christian McCaffrey up the middle for 4 yards (tackle by Taven Bryan),1.33,1.33,1.0,2022,3
1.0,8:56,2.0,6.0,CAR 40,0.0,0.0,"Baker Mayfield pass complete short right to Christian McCaffrey for no gain (tackle by Jeremiah Owusu-Koramoah and Anthony Walker). Penalty on Ian Thomas: Offensive Holding, 10 yards (accepted) (no play)",1.33,-0.02,1.0,2022,3
1.0,8:16,2.0,16.0,CAR 30,0.0,0.0,Chuba Hubbard up the middle for 3 yards (tackle by Jeremiah Owusu-Koramoah and Grant Delpit),-0.02,-0.3,1.0,2022,3
1.0,7:31,3.0,13.0,CAR 33,0.0,0.0,"Baker Mayfield aborted snap, recovered by Baker Mayfield at CAR-29 Baker Mayfield for -1 yards (tackle by Myles Garrett)",-0.3,-1.24,1.0,2022,3
1.0,6:50,4.0,14.0,CAR 32,0.0,0.0,"Johnny Hekker punts 39 yards, returned by Demetric Felton for 6 yards (tackle by Sam Franklin)",-1.24,-1.27,1.0,2022,3
1.0,6:45,1.0,10.0,CLE 35,0.0,0.0,"Nick Chubb right tackle for no gain (tackle by Yetur Gross-Matos). Penalty on Wyatt Teller: Offensive Holding, 10 yards (accepted) (no play)",1.27,0.61,1.0,2022,3
1.0,6:12,1.0,20.0,CLE 25,0.0,0.0,Nick Chubb left tackle for no gain (tackle by Xavier Woods),0.61,-0.63,1.0,2022,3
1.0,5:47,2.0,20.0,CLE 25,0.0,0.0,Jacoby Brissett pass complete short left to Donovan Peoples-Jones for 15 yards (tackle by Jaycee Horn),-0.63,0.7,1.0,2022,3
1.0,5:07,3.0,5.0,CLE 40,0.0,0.0,"Jacoby Brissett pass incomplete deep left intended for Kareem Hunt. Penalty on Jaycee Horn: Defensive Holding, 5 yards (accepted) (no play)",0.7,1.93,1.0,2022,3
1.0,4:58,1.0,10.0,CLE 45,0.0,0.0,Jacoby Brissett scrambles right guard for 2 yards (tackle by Phil Hoskins),1.93,1.65,1.0,2022,3
1.0,4:15,2.0,8.0,CLE 47,0.0,0.0,Nick Chubb right tackle for 4 yards (tackle by Jeremy Chinn),1.65,1.49,1.0,2022,3
1.0,3:37,3.0,4.0,CAR 49,0.0,0.0,Kareem Hunt left tackle for 6 yards (tackle by C.J. Henderson and Xavier Woods),1.49,2.72,1.0,2022,3
1.0,2:58,1.0,10.0,CAR 43,0.0,0.0,Jacoby Brissett pass complete short right to Amari Cooper for 2 yards (tackle by Myles Hartsfield and Jaycee Horn),2.72,2.45,1.0,2022,3
1.0,2:16,2.0,8.0,CAR 41,0.0,0.0,Jacoby Brissett pass incomplete short right,2.45,1.75,1.0,2022,3
1.0,2:07,3.0,8.0,CAR 41,0.0,0.0,Jacoby Brissett pass incomplete intended for Amari Cooper (defended by Xavier Woods),1.75,0.53,1.0,2022,3
1.0,2:01,4.0,8.0,CAR 41,0.0,0.0,Corey Bojorquez punts 36 yards out of bounds,0.53,0.38,1.0,2022,3
1.0,1:53,1.0,10.0,CAR 5,0.0,0.0,Baker Mayfield pass complete to D.J. Moore for 5 yards (tackle by Greg Newsome),-0.38,-0.42,1.0,2022,3
