Unnamed: 0,LVR,LAC,week,year,game_id
First Downs,18,18,1.0,2022,14
Rush-Yds-TDs,13-64-0,31-76-0,1.0,2022,14
Cmp-Att-Yd-TD-INT,22-37-295-2-3,26-34-279-3-0,1.0,2022,14
Sacked-Yards,6-39,0-0,1.0,2022,14
Net Pass Yards,256,279,1.0,2022,14
Total Yards,320,355,1.0,2022,14
Fumbles-Lost,3-0,1-0,1.0,2022,14
Turnovers,3,0,1.0,2022,14
Penalties-Yards,3-11,5-21,1.0,2022,14
Third Down Conv.,5-11,6-14,1.0,2022,14
Fourth Down Conv.,1-2,0-1,1.0,2022,14
Time of Possession,27:28,32:32,1.0,2022,14
