Quarter,Time,Down,ToGo,Location,JAX,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,1.0,2022,8
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,8
1.0,15:00,1.0,10.0,JAX 25,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Marvin Jones (no play),0.61,0.94,1.0,2022,8
1.0,14:56,1.0,10.0,JAX 30,0.0,0.0,James Robinson right end for no gain (tackle by Cole Holcomb) (no play),0.94,0.61,1.0,2022,8
1.0,14:36,1.0,15.0,JAX 25,0.0,0.0,"Trevor Lawrence pass complete short middle to Christian Kirk for 25 yards (tackle by Darrick Forrest) Penalty on WAS: Defensive Holding, 5 yards (declined)",0.61,2.26,1.0,2022,8
1.0,14:14,1.0,10.0,JAX 50,0.0,0.0,Trevor Lawrence pass complete short middle to Zay Jones for 15 yards (tackle by Kendall Fuller),2.26,3.25,1.0,2022,8
1.0,13:39,1.0,10.0,WAS 35,0.0,0.0,James Robinson up the middle for 22 yards (tackle by William Jackson),3.25,4.71,1.0,2022,8
1.0,12:54,1.0,10.0,WAS 13,0.0,0.0,Trevor Lawrence up the middle for -2 yards (tackle by Jonathan Allen and Efe Obada),4.71,3.76,1.0,2022,8
1.0,12:10,2.0,12.0,WAS 15,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Travis Etienne,3.76,3.03,1.0,2022,8
1.0,12:04,3.0,12.0,WAS 15,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Zay Jones,3.03,2.44,1.0,2022,8
1.0,12:01,4.0,12.0,WAS 15,3.0,0.0,Riley Patterson 33 yard field goal good,2.44,3.0,1.0,2022,8
1.0,11:57,,,JAX 35,3.0,0.0,"Riley Patterson kicks off 63 yards, returned by Dax Milne for 24 yards (tackle by Andrew Wingard)",0.0,0.67,1.0,2022,8
1.0,11:52,1.0,10.0,WAS 26,3.0,0.0,Carson Wentz pass incomplete deep left intended for Jahan Dotson,0.67,0.13,1.0,2022,8
1.0,11:45,2.0,10.0,WAS 26,3.0,0.0,Curtis Samuel right end for 5 yards (tackle by Devin Lloyd and Foyesade Oluokun),0.13,0.1,1.0,2022,8
1.0,11:01,3.0,5.0,WAS 31,3.0,0.0,Carson Wentz pass complete short middle to Curtis Samuel for 13 yards (tackle by Darious Williams),0.1,1.86,1.0,2022,8
1.0,10:20,1.0,10.0,WAS 44,3.0,0.0,Carson Wentz pass complete short left to Armani Rogers for 23 yards (tackle by Andre Cisco),1.86,3.38,1.0,2022,8
1.0,9:44,1.0,10.0,JAX 33,3.0,0.0,Carson Wentz scrambles up the middle for 3 yards (tackle by Devin Lloyd),3.38,3.24,1.0,2022,8
1.0,8:58,2.0,7.0,JAX 30,3.0,0.0,Carson Wentz pass complete deep right to Antonio Gibson for 26 yards,3.24,6.28,1.0,2022,8
1.0,8:21,1.0,4.0,JAX 4,3.0,0.0,Antonio Gibson right guard for 1 yard (tackle by Folorunso Fatukasi),6.28,5.53,1.0,2022,8
