Quarter,Time,Down,ToGo,Location,GNB,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Vikings to receive the opening kickoff.",,,1.0,2022,12
1.0,15:00,,,GNB 35,0.0,0.0,"Mason Crosby kicks off 68 yards, returned by Kene Nwangwu for 25 yards (tackle by Eric Stokes)",0.0,0.41,1.0,2022,12
1.0,14:54,1.0,10.0,MIN 22,0.0,0.0,Kirk Cousins pass complete short left to Johnny Mundt for 12 yards (tackle by Jaire Alexander),0.41,1.2,1.0,2022,12
1.0,14:16,1.0,10.0,MIN 34,0.0,0.0,Dalvin Cook up the middle for no gain (tackle by Rashan Gary and De'Vondre Campbell),1.2,0.66,1.0,2022,12
1.0,13:37,2.0,10.0,MIN 34,0.0,0.0,Dalvin Cook up the middle for 5 yards (tackle by Jarran Reed),0.66,0.63,1.0,2022,12
1.0,12:55,3.0,5.0,MIN 39,0.0,0.0,Kirk Cousins pass complete short middle to Justin Jefferson for 20 yards (tackle by De'Vondre Campbell),0.63,2.85,1.0,2022,12
1.0,12:18,1.0,10.0,GNB 41,0.0,0.0,Kirk Cousins pass complete short middle to Johnny Mundt for 5 yards (tackle by Kingsley Enagbare),2.85,2.98,1.0,2022,12
1.0,11:35,2.0,5.0,GNB 36,0.0,0.0,Kirk Cousins pass complete short right to Justin Jefferson for 22 yards (tackle by Adrian Amos),2.98,4.65,1.0,2022,12
1.0,10:54,1.0,10.0,GNB 14,0.0,0.0,Kirk Cousins pass incomplete short right intended for Irv Smith,4.65,4.0,1.0,2022,12
1.0,10:50,2.0,10.0,GNB 14,0.0,0.0,Kirk Cousins pass complete short right to Ben Ellefson for 2 yards (tackle by Quay Walker),4.0,3.43,1.0,2022,12
1.0,10:05,3.0,8.0,GNB 12,0.0,0.0,Kirk Cousins pass complete short right to Adam Thielen for 7 yards (tackle by Quay Walker),3.43,3.03,1.0,2022,12
1.0,9:21,4.0,1.0,GNB 5,0.0,6.0,"Kirk Cousins pass complete short right to Justin Jefferson for 5 yards, touchdown",3.03,7.0,1.0,2022,12
1.0,9:17,,,GNB 15,0.0,7.0,Greg Joseph kicks extra point good,0.0,0.0,1.0,2022,12
1.0,9:17,,,MIN 35,0.0,7.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,12
1.0,9:17,1.0,10.0,GNB 25,0.0,7.0,Aaron Rodgers pass incomplete deep right intended for Christian Watson,0.61,0.06,1.0,2022,12
1.0,9:10,2.0,10.0,GNB 25,0.0,7.0,Aaron Jones right end for 10 yards (tackle by Jordan Hicks),0.06,1.27,1.0,2022,12
1.0,8:25,1.0,10.0,GNB 35,0.0,7.0,Aaron Rodgers pass incomplete short middle intended for Robert Tonyan (defended by Danielle Hunter),1.27,0.72,1.0,2022,12
1.0,8:20,2.0,10.0,GNB 35,0.0,7.0,Aaron Jones right tackle for 3 yards (tackle by Dalvin Tomlinson and Harrison Phillips),0.72,0.43,1.0,2022,12
1.0,7:40,3.0,7.0,GNB 38,0.0,7.0,Aaron Rodgers pass incomplete deep left intended for Romeo Doubs,0.43,-0.85,1.0,2022,12
1.0,7:35,4.0,7.0,GNB 38,0.0,7.0,"Pat O'Donnell punts 47 yards, fair catch by Jalen Reagor at MIN-15",-0.85,0.22,1.0,2022,12
1.0,7:28,1.0,10.0,MIN 15,0.0,7.0,Dalvin Cook right tackle for no gain (tackle by Preston Smith),-0.22,-0.71,1.0,2022,12
1.0,7:02,2.0,10.0,MIN 15,0.0,7.0,Kirk Cousins pass complete short left to K.J. Osborn for 3 yards (tackle by Quay Walker),-0.71,-1.0,1.0,2022,12
1.0,6:18,3.0,7.0,MIN 18,0.0,7.0,Kirk Cousins sacked by Rashan Gary for -8 yards,-1.0,-2.49,1.0,2022,12
1.0,5:38,4.0,15.0,MIN 10,0.0,7.0,"Ryan Wright punts 56 yards, returned by Amari Rodgers for 12 yards (tackle by Josh Metellus)",-2.49,-1.99,1.0,2022,12
1.0,5:27,1.0,10.0,GNB 46,0.0,7.0,AJ Dillon right guard for 4 yards (tackle by Jordan Hicks and Jonathan Bullard),1.99,1.99,1.0,2022,12
1.0,4:51,2.0,6.0,MIN 50,0.0,7.0,AJ Dillon right guard for 2 yards (tackle by Patrick Peterson and Jordan Hicks),1.99,1.55,1.0,2022,12
1.0,4:03,,,,,,Timeout #1 by Green Bay Packers,,,1.0,2022,12
1.0,4:03,3.0,4.0,MIN 48,0.0,7.0,Aaron Rodgers pass complete short left to Randall Cobb for 6 yards (tackle by Jordan Hicks),1.55,2.79,1.0,2022,12
