Quarter,Time,Down,ToGo,Location,BAL,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Jets to receive the opening kickoff.",,,1.0,2022,10
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 68 yards, returned by Braxton Berrios for 25 yards (tackle by Josh Ross)",0.0,0.41,1.0,2022,10
1.0,14:56,1.0,10.0,NYJ 22,0.0,0.0,Michael Carter left end for 19 yards (tackle by Marcus Williams and Chuck Clark),0.41,1.66,1.0,2022,10
1.0,14:29,1.0,10.0,NYJ 41,0.0,0.0,Joe Flacco pass incomplete short left intended for Michael Carter,1.66,1.12,1.0,2022,10
1.0,14:25,2.0,10.0,NYJ 41,0.0,0.0,Michael Carter left end for 5 yards (tackle by Malik Harrison),1.12,1.09,1.0,2022,10
1.0,14:01,3.0,5.0,NYJ 46,0.0,0.0,Joe Flacco pass incomplete short right,1.09,-0.98,1.0,2022,10
1.0,13:53,4.0,15.0,NYJ 36,0.0,0.0,"Braden Mann punts 45 yards, returned by Devin Duvernay for 9 yards (tackle by Thomas Hennessy)",-0.98,-0.81,1.0,2022,10
1.0,13:42,1.0,10.0,BAL 28,0.0,0.0,Lamar Jackson pass complete short right to Rashod Bateman for 4 yards (tackle by Jordan Whitehead),0.81,0.8,1.0,2022,10
1.0,13:21,2.0,6.0,BAL 32,0.0,0.0,Lamar Jackson pass complete short left to Devin Duvernay for 4 yards (tackle by C.J. Mosley),0.8,0.63,1.0,2022,10
1.0,12:40,3.0,2.0,BAL 36,0.0,0.0,Lamar Jackson right tackle for 4 yards (tackle by C.J. Mosley and Jordan Whitehead),0.63,1.6,1.0,2022,10
1.0,12:01,1.0,10.0,BAL 40,0.0,0.0,Kenyan Drake right end for no gain (tackle by Quincy Williams),1.6,1.05,1.0,2022,10
1.0,11:19,2.0,10.0,BAL 40,0.0,0.0,Lamar Jackson pass complete short left to Devin Duvernay for 8 yards (tackle by D.J. Reed),1.05,1.42,1.0,2022,10
1.0,10:40,3.0,2.0,BAL 48,0.0,0.0,Kenyan Drake right tackle for 1 yard (tackle by C.J. Mosley and Jacob Martin),1.42,-0.13,1.0,2022,10
1.0,9:56,,,,,,Timeout #1 by Baltimore Ravens,,,1.0,2022,10
1.0,9:56,4.0,1.0,BAL 49,0.0,0.0,"Jordan Stout punts 40 yards, fair catch by Braxton Berrios at NYJ-11",-0.13,0.37,1.0,2022,10
1.0,9:49,1.0,10.0,NYJ 11,0.0,0.0,Breece Hall right end for -2 yards (tackle by Justin Madubuike),-0.37,-0.93,1.0,2022,10
1.0,9:11,2.0,12.0,NYJ 9,0.0,0.0,Joe Flacco pass complete short left to Breece Hall for 3 yards (tackle by Chuck Clark),-0.93,-1.3,1.0,2022,10
1.0,8:31,3.0,9.0,NYJ 12,0.0,0.0,"Joe Flacco pass incomplete deep left. Penalty on Marlon Humphrey: Illegal Contact, 5 yards (accepted) (no play)",-1.3,-0.06,1.0,2022,10
1.0,8:27,1.0,10.0,NYJ 17,0.0,0.0,Michael Carter up the middle for 1 yard (tackle by Patrick Queen),-0.06,-0.42,1.0,2022,10
1.0,7:51,2.0,9.0,NYJ 18,0.0,0.0,Michael Carter left guard for no gain (tackle by Michael Pierce),-0.42,-1.13,1.0,2022,10
