Unnamed: 0,PIT,CIN,week,year,game_id
First Downs,13,32,1.0,2022,5
Rush-Yds-TDs,22-75-0,34-133-0,1.0,2022,5
Cmp-Att-Yd-TD-INT,21-38-194-1-0,33-53-338-2-4,1.0,2022,5
Sacked-Yards,1-2,7-39,1.0,2022,5
Net Pass Yards,192,299,1.0,2022,5
Total Yards,267,432,1.0,2022,5
Fumbles-Lost,1-0,2-1,1.0,2022,5
Turnovers,0,5,1.0,2022,5
Penalties-Yards,8-59,4-27,1.0,2022,5
Third Down Conv.,4-15,8-16,1.0,2022,5
Fourth Down Conv.,0-0,1-3,1.0,2022,5
Time of Possession,26:18,43:42,1.0,2022,5
