Unnamed: 0,CLE,CAR,week,year,game_id
First Downs,23,15,1.0,2022,3
Rush-Yds-TDs,39-217-1,19-54-2,1.0,2022,3
Cmp-Att-Yd-TD-INT,18-34-147-1-0,16-27-235-1-1,1.0,2022,3
Sacked-Yards,1-9,4-28,1.0,2022,3
Net Pass Yards,138,207,1.0,2022,3
Total Yards,355,261,1.0,2022,3
Fumbles-Lost,1-0,5-0,1.0,2022,3
Turnovers,0,1,1.0,2022,3
Penalties-Yards,9-71,8-96,1.0,2022,3
Third Down Conv.,8-18,4-11,1.0,2022,3
Fourth Down Conv.,1-2,0-0,1.0,2022,3
Time of Possession,38:26,21:34,1.0,2022,3
