Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Jalen Hurts,PHI,17,90,1,16,1.0,2022,7
Miles Sanders,PHI,13,96,1,24,1.0,2022,7
Kenneth Gainwell,PHI,5,20,1,7,1.0,2022,7
Boston Scott,PHI,4,10,1,8,1.0,2022,7
A.J. Brown,PHI,0,0,0,0,1.0,2022,7
Dallas Goedert,PHI,0,0,0,0,1.0,2022,7
Zach Pascal,PHI,0,0,0,0,1.0,2022,7
Noah Togiai,PHI,0,0,0,0,1.0,2022,7
DeVonta Smith,PHI,0,0,0,0,1.0,2022,7
Jared Goff,DET,2,9,0,10,1.0,2022,7
D'Andre Swift,DET,15,144,1,50,1.0,2022,7
Jamaal Williams,DET,11,28,2,7,1.0,2022,7
Amon-Ra St. Brown,DET,0,0,0,0,1.0,2022,7
DJ Chark,DET,0,0,0,0,1.0,2022,7
T.J. Hockenson,DET,0,0,0,0,1.0,2022,7
Josh Reynolds,DET,0,0,0,0,1.0,2022,7
Kalif Raymond,DET,0,0,0,0,1.0,2022,7
