Quarter,Time,Tm,Detail,BAL,NYJ,week,year,game_id
1.0,3:16,Ravens,Justin Tucker 24 yard field goal,3,0,1.0,2022,10
2.0,3:45,Ravens,Devin Duvernay 25 yard pass from Lamar Jackson (Justin Tucker kick),10,0,1.0,2022,10
,0:24,Jets,Greg Zuerlein 45 yard field goal,10,3,1.0,2022,10
3.0,7:14,Ravens,Devin Duvernay 17 yard pass from Lamar Jackson (Justin Tucker kick),17,3,1.0,2022,10
,2:06,Ravens,Rashod Bateman 55 yard pass from Lamar Jackson (Justin Tucker kick),24,3,1.0,2022,10
4.0,1:00,Jets,Tyler Conklin 3 yard pass from Joe Flacco (Greg Zuerlein kick failed),24,9,1.0,2022,10
