Unnamed: 0,BAL,NYJ,week,year,game_id
First Downs,13,24,1.0,2022,10
Rush-Yds-TDs,21-63-0,17-83-0,1.0,2022,10
Cmp-Att-Yd-TD-INT,17-30-213-3-1,37-59-309-1-1,1.0,2022,10
Sacked-Yards,2-2,3-12,1.0,2022,10
Net Pass Yards,211,297,1.0,2022,10
Total Yards,274,380,1.0,2022,10
Fumbles-Lost,1-0,2-1,1.0,2022,10
Turnovers,1,2,1.0,2022,10
Penalties-Yards,5-29,6-81,1.0,2022,10
Third Down Conv.,5-13,2-14,1.0,2022,10
Fourth Down Conv.,0-0,3-4,1.0,2022,10
Time of Possession,27:30,32:30,1.0,2022,10
