Quarter,Time,Tm,Detail,DEN,SEA,week,year,game_id
1.0,11:26,Seahawks,Will Dissly 38 yard pass from Geno Smith (Jason Myers kick),0,7,1.0,2022,16
,6:55,Broncos,Brandon McManus 30 yard field goal,3,7,1.0,2022,16
2.0,7:20,Seahawks,Jason Myers 49 yard field goal,3,10,1.0,2022,16
,5:48,Broncos,Jerry Jeudy 67 yard pass from Russell Wilson (Brandon McManus kick),10,10,1.0,2022,16
,2:24,Seahawks,Colby Parkinson 25 yard pass from Geno Smith (Jason Myers kick),10,17,1.0,2022,16
,0:00,Broncos,Brandon McManus 40 yard field goal,13,17,1.0,2022,16
4.0,6:13,Broncos,Brandon McManus 26 yard field goal,16,17,1.0,2022,16
