Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Steelers to receive the opening kickoff.",,,1.0,2022,5
1,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,5
1,15:00,1.0,10.0,PIT 25,0.0,0.0,Mitchell Trubisky pass complete short middle to Pat Freiermuth for 3 yards (tackle by Logan Wilson),0.61,0.47,1.0,2022,5
1,14:39,2.0,7.0,PIT 28,0.0,0.0,Mitchell Trubisky pass complete short right to Chase Claypool for 5 yards (tackle by Mike Hilton),0.47,0.43,1.0,2022,5
1,14:21,3.0,2.0,PIT 33,0.0,0.0,"Mitchell Trubisky pass complete short left to Diontae Johnson for 1 yard (tackle by Eli Apple) PIT challenged the short of the line to gain ruling, and the play was upheld.",0.43,-1.11,1.0,2022,5
1,13:37,4.0,1.0,PIT 34,0.0,0.0,"Pressley Harvin punts 44 yards, fair catch by Trent Taylor at CIN-22",-1.11,-0.41,1.0,2022,5
1,13:31,1.0,10.0,CIN 22,0.0,0.0,Joe Burrow sacked by Cameron Heyward for -5 yards,0.41,-0.94,1.0,2022,5
1,12:52,2.0,15.0,CIN 17,6.0,0.0,"Joe Burrow pass short right intended for Tyler Boyd is intercepted by Minkah Fitzpatrick at CIN-31 and returned for 31 yards, touchdown",-0.94,-7.0,1.0,2022,5
1,12:43,,,CIN 15,7.0,0.0,Chris Boswell kicks extra point good,0.0,0.0,1.0,2022,5
1,12:43,,,PIT 35,7.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,5
1,12:43,1.0,10.0,CIN 25,7.0,0.0,Joe Mixon left guard for 5 yards (tackle by Alex Highsmith and Minkah Fitzpatrick),0.61,0.74,1.0,2022,5
