Unnamed: 0,JAX,WAS,week,year,game_id
First Downs,24,26,1.0,2022,8
Rush-Yds-TDs,18-123-1,28-85-0,1.0,2022,8
Cmp-Att-Yd-TD-INT,24-42-275-1-1,27-41-313-4-2,1.0,2022,8
Sacked-Yards,2-15,1-8,1.0,2022,8
Net Pass Yards,260,305,1.0,2022,8
Total Yards,383,390,1.0,2022,8
Fumbles-Lost,1-0,1-1,1.0,2022,8
Turnovers,1,3,1.0,2022,8
Penalties-Yards,13-90,6-63,1.0,2022,8
Third Down Conv.,3-12,7-10,1.0,2022,8
Fourth Down Conv.,0-1,0-0,1.0,2022,8
Time of Possession,26:27,33:33,1.0,2022,8
