Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Lions to receive the opening kickoff.",,,1.0,2022,7
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,7
1.0,15:00,1.0,10.0,DET 25,0.0,0.0,Jared Goff pass complete short left to D'Andre Swift for -1 yards (tackle by Kyzir White),0.61,-0.07,1.0,2022,7
1.0,14:27,2.0,11.0,DET 24,0.0,0.0,D'Andre Swift left tackle for 50 yards (tackle by Darius Slay),-0.07,3.84,1.0,2022,7
1.0,13:39,1.0,10.0,PHI 26,0.0,0.0,Jamaal Williams up the middle for 7 yards (tackle by Darius Slay and Kyzir White),3.84,4.27,1.0,2022,7
1.0,13:02,2.0,3.0,PHI 19,0.0,0.0,Jamaal Williams up the middle for 4 yards (tackle by Javon Hargrave),4.27,4.58,1.0,2022,7
1.0,12:22,1.0,10.0,PHI 15,0.0,0.0,Jared Goff pass incomplete short right intended for DJ Chark,4.58,3.95,1.0,2022,7
1.0,12:19,2.0,10.0,PHI 15,0.0,0.0,"Penalty on Logan Stenberg: False Start, 5 yards (accepted) (no play)",3.95,3.35,1.0,2022,7
1.0,12:15,2.0,15.0,PHI 20,0.0,0.0,"Penalty on Logan Stenberg: False Start, 5 yards (accepted) (no play)",3.35,2.67,1.0,2022,7
1.0,12:15,2.0,20.0,PHI 25,0.0,0.0,D'Andre Swift up the middle for 11 yards (tackle by Marcus Epps and Avonte Maddox),2.67,3.24,1.0,2022,7
1.0,11:41,3.0,9.0,PHI 14,0.0,0.0,Jared Goff pass complete short left to T.J. Hockenson for 9 yards (tackle by C.J. Gardner-Johnson),3.24,6.06,1.0,2022,7
1.0,11:06,1.0,5.0,PHI 5,0.0,0.0,Jamaal Williams up the middle for 4 yards (tackle by Marcus Epps),6.06,5.91,1.0,2022,7
1.0,10:28,2.0,1.0,PHI 1,0.0,6.0,"Jamaal Williams right tackle for 1 yard, touchdown",5.91,7.0,1.0,2022,7
1.0,10:18,,,PHI 15,0.0,7.0,Austin Seibert kicks extra point good,0.0,0.0,1.0,2022,7
1.0,10:18,,,DET 35,0.0,7.0,"Austin Seibert kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,7
1.0,10:18,1.0,10.0,PHI 25,0.0,7.0,Jalen Hurts left end for 8 yards (tackle by DeShon Elliott),0.61,1.14,1.0,2022,7
1.0,9:37,2.0,2.0,PHI 33,0.0,7.0,Jalen Hurts scrambles up the middle for 11 yards (tackle by Alex Anzalone),1.14,1.86,1.0,2022,7
1.0,8:49,1.0,10.0,PHI 44,0.0,7.0,Jalen Hurts pass incomplete short right intended for Dallas Goedert,1.86,1.32,1.0,2022,7
1.0,8:44,2.0,10.0,PHI 44,0.0,7.0,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell,1.32,0.63,1.0,2022,7
