Quarter,Time,Tm,Detail,GNB,MIN,week,year,game_id
1.0,9:17,Vikings,Justin Jefferson 5 yard pass from Kirk Cousins (Greg Joseph kick),0,7,1.0,2022,12
2.0,3:54,Vikings,Greg Joseph 28 yard field goal,0,10,1.0,2022,12
,0:35,Vikings,Justin Jefferson 36 yard pass from Kirk Cousins (Greg Joseph kick),0,17,1.0,2022,12
3.0,9:46,Vikings,Greg Joseph 56 yard field goal,0,20,1.0,2022,12
,5:16,Packers,AJ Dillon 2 yard rush (Mason Crosby kick),7,20,1.0,2022,12
4.0,6:48,Vikings,Greg Joseph 29 yard field goal,7,23,1.0,2022,12
