Unnamed: 0_level_0,Unnamed: 1_level_0,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5,Inside 5,Unnamed: 14_level_0
Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Link
Kyren Williams,LAR,65,184,14,73.9%,33,63,13,78.6%,19,31,12,82.6%,All Kyren Williams red zone rushing plays
Bijan Robinson,ATL,59,142,13,67.0%,34,72,12,65.4%,14,20,9,70.0%,All Bijan Robinson red zone rushing plays
Jonathan Taylor,IND,57,117,7,57.6%,31,44,7,55.4%,15,7,5,50.0%,All Jonathan Taylor red zone rushing plays
Josh Jacobs,GNB,56,141,14,57.7%,40,88,14,69.0%,19,22,11,73.1%,All Josh Jacobs red zone rushing plays
Joe Mixon,HOU,56,125,9,66.7%,29,47,8,74.4%,12,8,6,80.0%,All Joe Mixon red zone rushing plays
Saquon Barkley,PHI,55,202,6,42.3%,28,50,4,42.4%,13,18,4,37.1%,All Saquon Barkley red zone rushing plays
Derrick Henry,BAL,55,158,13,64.7%,32,57,13,72.7%,18,21,9,94.7%,All Derrick Henry red zone rushing plays
Jahmyr Gibbs,DET,50,158,12,44.2%,26,53,10,40.0%,15,16,8,42.9%,All Jahmyr Gibbs red zone rushing plays
Najee Harris,PIT,50,133,5,53.2%,26,42,5,49.1%,7,6,3,41.2%,All Najee Harris red zone rushing plays
Jalen Hurts,PHI,49,127,14,37.7%,28,45,13,42.4%,18,12,11,51.4%,All Jalen Hurts red zone rushing plays
David Montgomery,DET,49,161,12,43.4%,33,76,11,50.8%,17,25,8,48.6%,All David Montgomery red zone rushing plays
James Cook,BUF,48,142,12,43.6%,29,66,11,48.3%,13,12,6,48.1%,All James Cook red zone rushing plays
Chase Brown,CIN,44,82,6,62.9%,28,45,6,63.6%,12,6,5,57.1%,All Chase Brown red zone rushing plays
James Conner,ARI,44,138,8,62.0%,21,48,8,72.4%,11,8,5,64.7%,All James Conner red zone rushing plays
Kareem Hunt,KAN,42,91,7,50.6%,24,36,7,60.0%,14,19,5,56.0%,All Kareem Hunt red zone rushing plays
Aaron Jones,MIN,42,74,4,62.7%,24,8,3,66.7%,12,-4,3,70.6%,All Aaron Jones red zone rushing plays
Chuba Hubbard,CAR,41,94,8,63.1%,27,34,7,65.9%,17,16,7,77.3%,All Chuba Hubbard red zone rushing plays
Brian Robinson,WAS,41,119,7,33.3%,24,43,7,35.3%,11,7,4,36.7%,All Brian Robinson red zone rushing plays
Rhamondre Stevenson,NWE,40,97,6,60.6%,18,31,5,62.1%,11,15,5,64.7%,All Rhamondre Stevenson red zone rushing plays
De'Von Achane,MIA,38,51,5,55.1%,23,13,4,59.0%,12,-1,3,66.7%,All De'Von Achane red zone rushing plays
Jayden Daniels,WAS,37,107,6,30.1%,16,30,5,23.5%,10,7,4,33.3%,All Jayden Daniels red zone rushing plays
Bucky Irving,TAM,37,149,8,48.1%,22,56,6,51.2%,12,8,4,60.0%,All Bucky Irving red zone rushing plays
Alvin Kamara,NOR,33,94,6,53.2%,17,38,5,54.8%,7,9,3,58.3%,All Alvin Kamara red zone rushing plays
Tank Bigsby,JAX,32,113,6,47.8%,21,40,5,52.5%,11,11,4,50.0%,All Tank Bigsby red zone rushing plays
Jordan Mason,SFO,32,93,3,33.3%,19,25,3,33.9%,7,-1,1,29.2%,All Jordan Mason red zone rushing plays
Tony Pollard,TEN,32,96,3,54.2%,14,40,3,56.0%,5,8,2,50.0%,All Tony Pollard red zone rushing plays
Josh Allen,BUF,31,102,11,28.2%,18,45,10,30.0%,10,8,7,37.0%,All Josh Allen red zone rushing plays
D'Andre Swift,CHI,31,63,3,52.5%,18,24,3,54.5%,8,-4,3,38.1%,All D'Andre Swift red zone rushing plays
J.K. Dobbins,LAC,28,76,7,38.4%,17,30,5,37.0%,8,11,4,36.4%,All J.K. Dobbins red zone rushing plays
Javonte Williams,DEN,26,59,4,35.6%,13,25,3,39.4%,8,1,1,38.1%,All Javonte Williams red zone rushing plays
Rico Dowdle,DAL,24,61,2,44.4%,10,13,2,38.5%,5,0,2,41.7%,All Rico Dowdle red zone rushing plays
Tyler Allgeier,ATL,23,44,3,26.1%,13,23,3,25.0%,5,2,1,25.0%,All Tyler Allgeier red zone rushing plays
Zach Charbonnet,SEA,22,45,6,40.7%,17,36,6,48.6%,11,8,4,44.0%,All Zach Charbonnet red zone rushing plays
Alexander Mattison,LVR,22,35,4,37.3%,14,8,4,41.2%,10,0,4,50.0%,All Alexander Mattison red zone rushing plays
Travis Etienne,JAX,21,47,2,31.3%,10,11,2,25.0%,5,4,2,22.7%,All Travis Etienne red zone rushing plays
Tyrone Tracy,NYG,21,51,3,37.5%,10,23,3,30.3%,4,2,3,25.0%,All Tyrone Tracy red zone rushing plays
Kenneth Walker,SEA,21,23,4,38.9%,15,19,4,42.9%,11,9,4,44.0%,All Kenneth Walker red zone rushing plays
Gus Edwards,LAC,20,59,4,27.4%,12,35,4,26.1%,5,7,3,22.7%,All Gus Edwards red zone rushing plays
Austin Ekeler,WAS,20,80,3,16.3%,11,28,3,16.2%,5,6,3,16.7%,All Austin Ekeler red zone rushing plays
Kenneth Gainwell,PHI,20,78,1,15.4%,8,15,0,12.1%,2,1,0,5.7%,All Kenneth Gainwell red zone rushing plays
Rachaad White,TAM,20,49,3,26.0%,13,21,3,30.2%,4,-2,2,20.0%,All Rachaad White red zone rushing plays
Breece Hall,NYJ,19,57,5,52.8%,10,14,3,62.5%,8,8,3,80.0%,All Breece Hall red zone rushing plays
Anthony Richardson,IND,19,81,5,19.2%,14,35,5,25.0%,8,15,4,26.7%,All Anthony Richardson red zone rushing plays
Ray Davis,BUF,18,88,3,16.4%,7,23,2,11.7%,2,4,1,7.4%,All Ray Davis red zone rushing plays
Lamar Jackson,BAL,18,73,3,21.2%,8,49,3,18.2%,0,0,0,.0%,All Lamar Jackson red zone rushing plays
Bo Nix,DEN,17,30,4,23.3%,6,13,4,18.2%,5,12,4,23.8%,All Bo Nix red zone rushing plays
Jaylen Warren,PIT,17,41,1,18.1%,6,13,1,11.3%,3,2,1,17.6%,All Jaylen Warren red zone rushing plays
Nick Chubb,CLE,16,33,3,33.3%,10,23,3,31.3%,5,5,3,35.7%,All Nick Chubb red zone rushing plays
Zack Moss,CIN,16,43,2,22.9%,11,13,2,25.0%,6,1,1,28.6%,All Zack Moss red zone rushing plays
Justin Fields,PIT,15,44,5,16.0%,11,20,5,20.8%,4,3,2,23.5%,All Justin Fields red zone rushing plays
Jaleel McLaughlin,DEN,15,40,1,20.5%,6,13,1,18.2%,3,2,1,14.3%,All Jaleel McLaughlin red zone rushing plays
Brock Purdy,SFO,15,51,5,15.6%,10,34,5,17.9%,4,3,3,16.7%,All Brock Purdy red zone rushing plays
Antonio Gibson,NWE,14,38,1,21.2%,5,1,0,17.2%,3,-2,0,17.6%,All Antonio Gibson red zone rushing plays
Isaac Guerendo,SFO,14,49,4,14.6%,10,16,3,17.9%,4,9,3,16.7%,All Isaac Guerendo red zone rushing plays
Roschon Johnson,CHI,14,27,6,23.7%,10,10,6,30.3%,8,9,6,38.1%,All Roschon Johnson red zone rushing plays
Raheem Mostert,MIA,14,20,2,20.3%,10,2,2,25.6%,4,-2,1,22.2%,All Raheem Mostert red zone rushing plays
