Unnamed: 0_level_0,Unnamed: 1_level_0,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5,Inside 5,Unnamed: 14_level_0
Jaret Patterson,WAS,7,22,0,9.0%,3,6,0,7.0%,0,0,0,.0%,All Jaret Patterson red zone rushing plays
Brock Purdy,SFO,7,6,1,6.9%,6,0,1,10.0%,5,-2,1,16.1%,All Brock Purdy red zone rushing plays
Aaron Rodgers,GNB,7,14,1,10.8%,5,-4,1,15.6%,4,-1,1,25.0%,All Aaron Rodgers red zone rushing plays
Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Link
Curtis Samuel,WAS,7,26,1,9.0%,1,10,1,2.3%,0,0,0,.0%,All Curtis Samuel red zone rushing plays
Geno Smith,SEA,7,35,1,10.8%,2,8,1,9.5%,0,0,0,.0%,All Geno Smith red zone rushing plays
Ryan Tannehill,TEN,7,10,2,14.6%,6,2,2,25.0%,2,2,2,11.8%,All Ryan Tannehill red zone rushing plays
Kirk Cousins,MIN,6,26,2,9.2%,4,-6,1,8.9%,3,-2,1,12.0%,All Kirk Cousins red zone rushing plays
Andy Dalton,NOR,6,7,0,10.9%,2,5,0,7.7%,2,5,0,18.2%,All Andy Dalton red zone rushing plays
Trestan Ebner,CHI,6,16,0,7.1%,4,7,0,9.3%,1,1,0,5.0%,All Trestan Ebner red zone rushing plays
Jamycal Hasty,JAX,6,10,1,7.5%,4,7,1,8.3%,2,-2,0,8.7%,All Jamycal Hasty red zone rushing plays
Justin Herbert,LAC,6,23,0,8.2%,3,5,0,7.9%,1,2,0,6.7%,All Justin Herbert red zone rushing plays
Baker Mayfield,CAR,6,24,1,8.2%,1,7,1,3.0%,0,0,0,.0%,All Baker Mayfield red zone rushing plays
Davis Mills,HOU,6,34,2,10.2%,3,10,1,10.0%,1,4,1,7.7%,All Davis Mills red zone rushing plays
Dak Prescott,DAL,6,31,1,8.6%,2,11,1,4.8%,0,0,0,.0%,All Dak Prescott red zone rushing plays
Deshaun Watson,CLE,6,16,1,7.6%,1,1,0,2.6%,1,1,0,5.3%,All Deshaun Watson red zone rushing plays
Raheem Blackshear,CAR,5,19,3,6.8%,4,17,3,12.1%,2,2,1,14.3%,All Raheem Blackshear red zone rushing plays
Sam Darnold,CAR,5,19,2,6.8%,4,6,2,12.1%,3,7,2,21.4%,All Sam Darnold red zone rushing plays
Chase Edmonds,MIA,5,4,2,9.8%,2,4,2,9.5%,2,4,2,16.7%,All Chase Edmonds red zone rushing plays
Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Link
Jimmy Garoppolo,SFO,5,6,2,4.9%,4,3,2,6.7%,4,3,2,12.9%,All Jimmy Garoppolo red zone rushing plays
Nyheim Hines,2TM,5,3,1,,5,3,1,,1,-2,0,,All Nyheim Hines red zone rushing plays
Mark Ingram,NOR,5,15,1,9.1%,3,7,1,11.5%,1,0,0,9.1%,All Mark Ingram red zone rushing plays
Justin Jackson,DET,5,27,1,5.3%,2,5,0,3.3%,1,1,0,3.0%,All Justin Jackson red zone rushing plays
Kyle Juszczyk,SFO,5,22,1,4.9%,2,1,1,3.3%,2,1,1,6.5%,All Kyle Juszczyk red zone rushing plays
Sony Michel,LAC,5,8,0,6.8%,2,0,0,5.3%,2,0,0,13.3%,All Sony Michel red zone rushing plays
Rashaad Penny,SEA,5,5,0,7.7%,1,1,0,4.8%,0,0,0,.0%,All Rashaad Penny red zone rushing plays
Desmond Ridder,ATL,5,8,0,4.5%,2,0,0,4.2%,2,0,0,11.1%,All Desmond Ridder red zone rushing plays
Carson Wentz,WAS,5,23,1,6.4%,4,10,1,9.3%,2,3,1,11.8%,All Carson Wentz red zone rushing plays
Jonathan Williams,WAS,5,5,0,6.4%,1,-3,0,2.3%,1,-3,0,5.9%,All Jonathan Williams red zone rushing plays
Russell Wilson,DEN,5,36,3,13.2%,2,7,2,7.1%,2,7,2,13.3%,All Russell Wilson red zone rushing plays
Gary Brightwell,NYG,4,5,1,5.4%,3,2,1,6.7%,1,2,1,4.2%,All Gary Brightwell red zone rushing plays
Malcolm Brown,LAR,4,1,0,8.0%,3,-2,0,11.5%,2,0,0,14.3%,All Malcolm Brown red zone rushing plays
Tevin Coleman,SFO,4,3,1,3.9%,2,3,1,3.3%,1,-2,0,3.2%,All Tevin Coleman red zone rushing plays
Sam Ehlinger,IND,4,9,0,5.6%,2,4,0,6.3%,1,0,0,6.3%,All Sam Ehlinger red zone rushing plays
Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Link
Jared Goff,DET,4,-1,0,4.2%,2,-1,0,3.3%,0,0,0,.0%,All Jared Goff red zone rushing plays
Taylor Heinicke,WAS,4,12,1,5.1%,3,8,1,7.0%,1,1,1,5.9%,All Taylor Heinicke red zone rushing plays
Justice Hill,BAL,4,15,0,4.5%,1,3,0,2.5%,0,0,0,.0%,All Justice Hill red zone rushing plays
Trey Lance,SFO,4,19,0,3.9%,1,3,0,1.7%,0,0,0,.0%,All Trey Lance red zone rushing plays
Matt Ryan,IND,4,3,1,5.6%,3,2,1,9.4%,2,1,1,12.5%,All Matt Ryan red zone rushing plays
Amon-Ra St. Brown,DET,4,12,0,4.2%,1,4,0,1.6%,0,0,0,.0%,All Amon-Ra St. Brown red zone rushing plays
Tua Tagovailoa,MIA,4,8,0,7.8%,0,0,0,.0%,0,0,0,.0%,All Tua Tagovailoa red zone rushing plays
Darrel Williams,ARI,4,8,1,5.9%,1,1,1,2.9%,1,1,1,6.3%,All Darrel Williams red zone rushing plays
Javonte Williams,DEN,4,8,0,10.5%,4,8,0,14.3%,1,0,0,6.7%,All Javonte Williams red zone rushing plays
Tutu Atwell,LAR,3,12,1,6.0%,0,0,0,.0%,0,0,0,.0%,All Tutu Atwell red zone rushing plays
Brandon Bolden,LVR,3,7,0,5.8%,2,4,0,7.4%,1,3,0,8.3%,All Brandon Bolden red zone rushing plays
Rex Burkhead,HOU,3,0,0,5.1%,3,0,0,10.0%,2,-3,0,15.4%,All Rex Burkhead red zone rushing plays
Derek Carr,LVR,3,7,0,5.8%,0,0,0,.0%,0,0,0,.0%,All Derek Carr red zone rushing plays
Corey Clement,ARI,3,9,1,4.4%,3,9,1,8.8%,1,1,1,6.3%,All Corey Clement red zone rushing plays
Malik Davis,DAL,3,16,0,4.3%,1,1,0,2.4%,0,0,0,.0%,All Malik Davis red zone rushing plays
Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Link
Mike Davis,BAL,3,4,0,3.4%,2,1,0,5.0%,2,1,0,12.5%,All Mike Davis red zone rushing plays
Jeff Driskel,HOU,3,-1,0,5.1%,2,0,0,6.7%,1,1,0,7.7%,All Jeff Driskel red zone rushing plays
Devin Duvernay,BAL,3,24,1,3.4%,1,2,0,2.5%,0,0,0,.0%,All Devin Duvernay red zone rushing plays
Kevin Harris,NWE,3,18,1,4.8%,1,3,0,3.1%,0,0,0,.0%,All Kevin Harris red zone rushing plays
Travis Homer,SEA,3,4,0,4.6%,2,3,0,9.5%,0,0,0,.0%,All Travis Homer red zone rushing plays
Jordan Mason,SFO,3,17,1,2.9%,2,3,0,3.3%,1,-1,0,3.2%,All Jordan Mason red zone rushing plays
Nick Mullens,MIN,3,6,0,4.6%,2,2,0,4.4%,1,0,0,4.0%,All Nick Mullens red zone rushing plays
Pierre Strong,NWE,3,5,1,4.8%,1,3,1,3.1%,1,3,1,8.3%,All Pierre Strong red zone rushing plays
Mitchell Trubisky,PIT,3,2,2,4.1%,3,2,2,7.3%,3,2,2,12.5%,All Mitchell Trubisky red zone rushing plays
Mike White,NYJ,3,7,1,4.9%,3,7,1,10.0%,1,1,1,7.1%,All Mike White red zone rushing plays
Malik Willis,TEN,3,25,1,6.3%,1,4,0,4.2%,0,0,0,.0%,All Malik Willis red zone rushing plays
Salvon Ahmed,MIA,2,16,1,3.9%,0,0,0,.0%,0,0,0,.0%,All Salvon Ahmed red zone rushing plays
Giovani Bernard,TAM,2,5,0,4.0%,1,4,0,3.4%,0,0,0,.0%,All Giovani Bernard red zone rushing plays
Kendrick Bourne,NWE,2,-8,0,3.2%,0,0,0,.0%,0,0,0,.0%,All Kendrick Bourne red zone rushing plays
Spencer Brown,CAR,2,5,0,2.7%,2,5,0,6.1%,0,0,0,.0%,All Spencer Brown red zone rushing plays
Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Link
Julius Chestnut,TEN,2,-3,0,4.2%,0,0,0,.0%,0,0,0,.0%,All Julius Chestnut red zone rushing plays
DeeJay Dallas,SEA,2,4,0,3.1%,0,0,0,.0%,0,0,0,.0%,All DeeJay Dallas red zone rushing plays
Greg Dortch,ARI,2,12,0,2.9%,1,3,0,2.9%,1,3,0,6.3%,All Greg Dortch red zone rushing plays
Chris Godwin,TAM,2,3,0,4.0%,2,3,0,6.9%,0,0,0,.0%,All Chris Godwin red zone rushing plays
C.J. Ham,MIN,2,4,2,3.1%,2,4,2,4.4%,2,4,2,8.0%,All C.J. Ham red zone rushing plays
Chad Henne,KAN,2,-2,0,2.4%,2,-2,0,4.3%,0,0,0,.0%,All Chad Henne red zone rushing plays
Tyreek Hill,MIA,2,1,1,3.9%,1,2,1,4.8%,1,2,1,8.3%,All Tyreek Hill red zone rushing plays
Alec Ingold,MIA,2,1,1,3.9%,2,1,1,9.5%,2,1,1,16.7%,All Alec Ingold red zone rushing plays
David Johnson,NOR,2,4,0,3.6%,0,0,0,.0%,0,0,0,.0%,All David Johnson red zone rushing plays
Diontae Johnson,PIT,2,5,0,2.7%,0,0,0,.0%,0,0,0,.0%,All Diontae Johnson red zone rushing plays
Ty Johnson,NYJ,2,0,0,3.3%,0,0,0,.0%,0,0,0,.0%,All Ty Johnson red zone rushing plays
Zay Jones,JAX,2,7,0,2.5%,1,0,0,2.1%,0,0,0,.0%,All Zay Jones red zone rushing plays
Case Keenum,BUF,2,-2,0,2.6%,0,0,0,.0%,0,0,0,.0%,All Case Keenum red zone rushing plays
Travis Kelce,KAN,2,5,0,2.4%,2,5,0,4.3%,1,1,0,4.3%,All Travis Kelce red zone rushing plays
Colt McCoy,ARI,2,5,0,2.9%,1,2,0,2.9%,0,0,0,.0%,All Colt McCoy red zone rushing plays
Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Link
Isaiah McKenzie,BUF,2,2,1,2.6%,1,7,1,2.6%,0,0,0,.0%,All Isaiah McKenzie red zone rushing plays
Gardner Minshew,PHI,2,4,1,1.7%,2,4,1,2.8%,1,1,1,2.4%,All Gardner Minshew red zone rushing plays
Bryce Perkins,LAR,2,0,0,4.0%,1,-4,0,3.8%,0,0,0,.0%,All Bryce Perkins red zone rushing plays
Brandon Powell,LAR,2,9,0,4.0%,0,0,0,.0%,0,0,0,.0%,All Brandon Powell red zone rushing plays
Adam Prentice,NOR,2,4,0,3.6%,0,0,0,.0%,0,0,0,.0%,All Adam Prentice red zone rushing plays
Patrick Ricard,BAL,2,3,0,2.3%,2,3,0,5.0%,0,0,0,.0%,All Patrick Ricard red zone rushing plays
Durham Smythe,MIA,2,1,1,3.9%,1,1,1,4.8%,1,1,1,8.3%,All Durham Smythe red zone rushing plays
Benny Snell,PIT,2,4,1,2.7%,1,2,1,2.4%,1,2,1,4.2%,All Benny Snell red zone rushing plays
Jarrett Stidham,LVR,2,13,0,3.8%,1,4,0,3.7%,0,0,0,.0%,All Jarrett Stidham red zone rushing plays
Trent Taylor,CIN,2,6,0,2.6%,1,-3,0,2.0%,1,-3,0,4.5%,All Trent Taylor red zone rushing plays
Tyquan Thornton,NWE,2,18,1,3.2%,1,-1,0,3.1%,0,0,0,.0%,All Tyquan Thornton red zone rushing plays
Kadarius Toney,KAN,2,25,1,2.4%,0,0,0,.0%,0,0,0,.0%,All Kadarius Toney red zone rushing plays
Derek Watt,PIT,2,3,1,2.7%,1,1,1,2.4%,1,1,1,4.2%,All Derek Watt red zone rushing plays
Zamir White,LVR,2,-5,0,3.8%,0,0,0,.0%,0,0,0,.0%,All Zamir White red zone rushing plays
Jordan Wilkins,IND,2,5,0,2.8%,0,0,0,.0%,0,0,0,.0%,All Jordan Wilkins red zone rushing plays
Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Link
Avery Williams,ATL,2,6,1,1.8%,1,8,1,2.1%,0,0,0,.0%,All Avery Williams red zone rushing plays
Ameer Abdullah,LVR,1,3,0,1.9%,1,3,0,3.7%,0,0,0,.0%,All Ameer Abdullah red zone rushing plays
Daniel Bellinger,NYG,1,2,1,1.4%,1,2,1,2.2%,1,2,1,4.2%,All Daniel Bellinger red zone rushing plays
Braxton Berrios,NYJ,1,15,1,1.6%,0,0,0,.0%,0,0,0,.0%,All Braxton Berrios red zone rushing plays
Mike Boone,DEN,1,1,0,2.6%,0,0,0,.0%,0,0,0,.0%,All Mike Boone red zone rushing plays
Teddy Bridgewater,MIA,1,10,0,2.0%,0,0,0,.0%,0,0,0,.0%,All Teddy Bridgewater red zone rushing plays
Michael Burton,KAN,1,2,0,1.2%,0,0,0,.0%,0,0,0,.0%,All Michael Burton red zone rushing plays
Parris Campbell,IND,1,1,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Parris Campbell red zone rushing plays
Ja'Marr Chase,CIN,1,-1,0,1.3%,0,0,0,.0%,0,0,0,.0%,All Ja'Marr Chase red zone rushing plays
Chase Claypool,PIT,1,0,0,1.4%,1,0,0,2.4%,1,0,0,4.2%,All Chase Claypool red zone rushing plays
Tyler Conklin,NYJ,1,1,0,1.6%,1,1,0,3.3%,1,1,0,7.1%,All Tyler Conklin red zone rushing plays
Snoop Conner,JAX,1,3,1,1.3%,1,3,1,2.1%,1,3,1,4.3%,All Snoop Conner red zone rushing plays
Evan Engram,JAX,1,0,0,1.3%,1,0,0,2.1%,0,0,0,.0%,All Evan Engram red zone rushing plays
Nick Foles,IND,1,0,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Nick Foles red zone rushing plays
Noah Gray,KAN,1,1,1,1.2%,1,1,1,2.2%,1,1,1,4.3%,All Noah Gray red zone rushing plays
Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Link
KJ Hamler,DEN,1,9,0,2.6%,0,0,0,.0%,0,0,0,.0%,All KJ Hamler red zone rushing plays
Mecole Hardman,KAN,1,3,1,1.2%,1,3,1,2.2%,1,3,1,4.3%,All Mecole Hardman red zone rushing plays
Peyton Hendershot,DAL,1,2,1,1.4%,1,2,1,2.4%,1,2,1,4.3%,All Peyton Hendershot red zone rushing plays
Zander Horvath,LAC,1,3,0,1.4%,1,3,0,2.6%,1,3,0,6.7%,All Zander Horvath red zone rushing plays
Sam Howell,WAS,1,9,1,1.3%,1,9,1,2.3%,0,0,0,.0%,All Sam Howell red zone rushing plays
Robert Hunt,MIA,1,0,0,2.0%,0,0,0,.0%,0,0,0,.0%,All Robert Hunt red zone rushing plays
Andy Isabella,BAL,1,1,0,1.1%,0,0,0,.0%,0,0,0,.0%,All Andy Isabella red zone rushing plays
Justin Jefferson,MIN,1,3,1,1.5%,1,3,1,2.2%,1,3,1,4.0%,All Justin Jefferson red zone rushing plays
D'Ernest Johnson,CLE,1,4,0,1.3%,0,0,0,.0%,0,0,0,.0%,All D'Ernest Johnson red zone rushing plays
Duke Johnson,BUF,1,4,0,1.3%,0,0,0,.0%,0,0,0,.0%,All Duke Johnson red zone rushing plays
Josh Johnson,SFO,1,-1,0,1.0%,0,0,0,.0%,0,0,0,.0%,All Josh Johnson red zone rushing plays
Ronald Jones,KAN,1,2,1,1.2%,1,2,1,2.2%,1,2,1,4.3%,All Ronald Jones red zone rushing plays
Velus Jones,CHI,1,8,0,1.2%,0,0,0,.0%,0,0,0,.0%,All Velus Jones red zone rushing plays
