Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Jimmy Garoppolo,SFO,1,3,0,3,11.0,2022,164
Elijah Mitchell,SFO,9,59,0,19,11.0,2022,164
Christian McCaffrey,SFO,7,39,0,20,11.0,2022,164
Deebo Samuel,SFO,3,37,1,39,11.0,2022,164
Jordan Mason,SFO,4,14,0,8,11.0,2022,164
Kyle Juszczyk,SFO,1,4,0,4,11.0,2022,164
Brock Purdy,SFO,3,3,0,5,11.0,2022,164
George Kittle,SFO,0,0,0,0,11.0,2022,164
Brandon Aiyuk,SFO,0,0,0,0,11.0,2022,164
Jauan Jennings,SFO,0,0,0,0,11.0,2022,164
Ray-Ray McCloud,SFO,0,0,0,0,11.0,2022,164
Colt McCoy,ARI,3,6,0,4,11.0,2022,164
Trace McSorley,ARI,1,6,0,6,11.0,2022,164
James Conner,ARI,14,42,1,14,11.0,2022,164
Keaontay Ingram,ARI,5,19,0,13,11.0,2022,164
Greg Dortch,ARI,0,0,0,0,11.0,2022,164
DeAndre Hopkins,ARI,0,0,0,0,11.0,2022,164
A.J. Green,ARI,0,0,0,0,11.0,2022,164
Trey McBride,ARI,0,0,0,0,11.0,2022,164
Maxx Williams,ARI,0,0,0,0,11.0,2022,164
Stephen Anderson,ARI,0,0,0,0,11.0,2022,164
Rondale Moore,ARI,1,-6,0,-6,11.0,2022,164
