Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Joe Burrow,CIN,0,0,0,0,0,11.0,2022,161
Samaje Perine,CIN,4,4,52,3,29,11.0,2022,161
Joe Mixon,CIN,3,3,42,0,24,11.0,2022,161
Trayveon Williams,CIN,1,0,0,0,0,11.0,2022,161
Tee Higgins,CIN,13,9,148,0,33,11.0,2022,161
Trenton Irwin,CIN,4,3,42,1,32,11.0,2022,161
Tyler Boyd,CIN,7,2,42,0,27,11.0,2022,161
Hayden Hurst,CIN,3,2,28,0,21,11.0,2022,161
Trent Taylor,CIN,1,1,1,0,1,11.0,2022,161
Mike Thomas,CIN,1,0,0,0,0,11.0,2022,161
Kenny Pickett,PIT,0,0,0,0,0,11.0,2022,161
Najee Harris,PIT,6,4,26,0,12,11.0,2022,161
Diontae Johnson,PIT,5,4,21,0,8,11.0,2022,161
George Pickens,PIT,6,4,83,1,33,11.0,2022,161
Pat Freiermuth,PIT,12,8,79,0,27,11.0,2022,161
Gunner Olszewski,PIT,3,2,39,0,31,11.0,2022,161
Jaylen Warren,PIT,1,1,9,0,9,11.0,2022,161
Zach Gentry,PIT,3,2,8,0,9,11.0,2022,161
Steven Sims,PIT,2,0,0,0,0,11.0,2022,161
