Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,year,week
1.0,Baltimore Ravens,17.0,554.0,3189.0,21.0,87.0,5.8,187.6,19.0,100.61,2024,18
2.0,Philadelphia Eagles,17.0,621.0,3048.0,29.0,72.0,4.9,179.3,19.0,91.17,2024,18
3.0,Washington Commanders,17.0,526.0,2619.0,25.0,50.0,5.0,154.1,20.0,76.61,2024,18
4.0,Tampa Bay Buccaneers,17.0,483.0,2536.0,16.0,56.0,5.3,149.2,26.0,47.16,2024,18
5.0,Green Bay Packers,17.0,526.0,2496.0,23.0,38.0,4.7,146.8,18.0,19.73,2024,18
6.0,Detroit Lions,17.0,534.0,2488.0,29.0,70.0,4.7,146.4,12.0,68.6,2024,18
7.0,Arizona Cardinals,17.0,463.0,2451.0,18.0,53.0,5.3,144.2,21.0,62.55,2024,18
8.0,Indianapolis Colts,17.0,496.0,2331.0,20.0,70.0,4.7,137.1,20.0,10.61,2024,18
9.0,Buffalo Bills,17.0,491.0,2230.0,32.0,65.0,4.5,131.2,11.0,83.25,2024,18
10.0,Atlanta Falcons,17.0,495.0,2219.0,18.0,37.0,4.5,130.5,21.0,17.02,2024,18
11.0,Pittsburgh Steelers,17.0,533.0,2166.0,14.0,36.0,4.1,127.4,22.0,-30.21,2024,18
12.0,San Francisco 49ers,17.0,457.0,2163.0,17.0,76.0,4.7,127.2,26.0,22.92,2024,18
13.0,New England Patriots,17.0,446.0,1969.0,11.0,45.0,4.4,115.8,30.0,-7.76,2024,18
14.0,New Orleans Saints,17.0,444.0,1954.0,15.0,75.0,4.4,114.9,16.0,27.38,2024,18
15.0,Houston Texans,17.0,434.0,1909.0,15.0,92.0,4.4,112.3,14.0,-13.75,2024,18
16.0,Denver Broncos,17.0,461.0,1908.0,12.0,43.0,4.1,112.2,14.0,-7.46,2024,18
17.0,Los Angeles Chargers,17.0,463.0,1882.0,17.0,61.0,4.1,110.7,20.0,-3.56,2024,18
18.0,Carolina Panthers,17.0,410.0,1878.0,18.0,38.0,4.6,110.5,17.0,23.6,2024,18
19.0,Minnesota Vikings,17.0,457.0,1855.0,9.0,58.0,4.1,109.1,17.0,-22.63,2024,18
20.0,Tennessee Titans,17.0,450.0,1855.0,11.0,41.0,4.1,109.1,28.0,-18.58,2024,18
21.0,Miami Dolphins,17.0,448.0,1795.0,12.0,61.0,4.0,105.6,28.0,-63.12,2024,18
22.0,Kansas City Chiefs,17.0,450.0,1790.0,15.0,34.0,4.0,105.3,10.0,14.79,2024,18
23.0,New York Giants,17.0,424.0,1783.0,13.0,45.0,4.2,104.9,22.0,-8.44,2024,18
24.0,Los Angeles Rams,17.0,450.0,1765.0,15.0,30.0,3.9,103.8,13.0,-7.24,2024,18
25.0,Chicago Bears,17.0,431.0,1734.0,13.0,56.0,4.0,102.0,19.0,-19.28,2024,18
26.0,Jacksonville Jaguars,17.0,414.0,1729.0,13.0,65.0,4.2,101.7,19.0,7.81,2024,18
27.0,Dallas Cowboys,17.0,429.0,1705.0,6.0,27.0,4.0,100.3,29.0,-34.31,2024,18
28.0,Seattle Seahawks,17.0,383.0,1627.0,17.0,51.0,4.2,95.7,21.0,-14.33,2024,18
29.0,Cleveland Browns,17.0,391.0,1608.0,8.0,66.0,4.1,94.6,20.0,-10.98,2024,18
30.0,Cincinnati Bengals,17.0,380.0,1574.0,11.0,47.0,4.1,92.6,24.0,-1.56,2024,18
31.0,New York Jets,17.0,363.0,1561.0,8.0,42.0,4.3,91.8,20.0,-3.44,2024,18
32.0,Las Vegas Raiders,17.0,380.0,1357.0,10.0,40.0,3.6,79.8,18.0,-72.33,2024,18
,Avg Team,,459.0,2036.7,16.0,54.0,4.4,119.8,19.8,10.5,2024,18
,League Total,,14687.0,65174.0,511.0,92.0,4.4,119.8,634.0,,2024,18
,Avg Tm/G,,27.0,119.8,0.9,,4.4,119.8,1.2,,2024,18
