Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 32_level_0,Unnamed: 33_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Derrick Henry,31.0,BAL,RB,1.0,1.0,1.0,1.0,13.0,13.0,0.0,1.0,100.0,13.0,1.0,13.0,100.0,13.0,18.0,169.0,2.0,5.0,44.4,49.0,9.4,169.0,18.0,19.0,9.6,182.0,2.0,1.0,
2.0,Travis Etienne,26.0,JAX,RB,1.0,1.0,3.0,3.0,13.0,4.3,0.0,1.0,33.3,7.0,3.0,13.0,100.0,4.3,16.0,143.0,0.0,3.0,50.0,71.0,8.9,143.0,16.0,19.0,8.2,156.0,0.0,0.0,
3.0,Zay Flowers,25.0,BAL,WR,1.0,1.0,9.0,7.0,143.0,20.4,1.0,5.0,55.6,39.0,7.0,143.0,77.8,15.9,2.0,8.0,0.0,0.0,50.0,8.0,4.0,8.0,2.0,9.0,16.8,151.0,1.0,0.0,
4.0,Breece Hall,24.0,NYJ,RB,1.0,1.0,4.0,2.0,38.0,19.0,0.0,1.0,50.0,33.0,2.0,38.0,50.0,9.5,19.0,107.0,0.0,7.0,52.6,18.0,5.6,107.0,19.0,21.0,6.9,145.0,0.0,0.0,
5.0,Christian McCaffrey,29.0,SFO,RB,1.0,1.0,10.0,9.0,73.0,8.1,0.0,3.0,70.0,25.0,9.0,73.0,90.0,7.3,22.0,69.0,0.0,6.0,40.9,13.0,3.1,69.0,22.0,31.0,4.6,142.0,0.0,0.0,
6.0,Puka Nacua,24.0,LAR,WR,1.0,1.0,11.0,10.0,130.0,13.0,0.0,7.0,81.8,25.0,10.0,130.0,90.9,11.8,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,11.9,131.0,0.0,0.0,
7.0,Bijan Robinson,23.0,ATL,RB,1.0,1.0,7.0,6.0,100.0,16.7,1.0,3.0,85.7,50.0,6.0,100.0,85.7,14.3,12.0,24.0,0.0,0.0,33.3,6.0,2.0,24.0,12.0,18.0,6.9,124.0,1.0,0.0,
8.0,Jaxon Smith-Njigba,23.0,SEA,WR,1.0,1.0,13.0,9.0,124.0,13.8,0.0,6.0,46.2,40.0,9.0,124.0,69.2,9.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,9.0,13.8,124.0,0.0,2.0,
9.0,Keon Coleman,22.0,BUF,WR,1.0,1.0,11.0,8.0,112.0,14.0,1.0,6.0,72.7,25.0,8.0,112.0,72.7,10.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,8.0,14.0,112.0,1.0,0.0,
