No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
15.0,Nelson Agholor,31.0,WR,14,7.0,200.0,6-0,USC,5/24/1993,9,2.0,Philadelphia Eagles / 1st / 20th pick / 2015
26.0,Rasheen Ali,23.0,RB,6,0.0,210.0,5-11,Marshall,2/16/2001,Rook,0.0,Baltimore Ravens / 5th / 165th pick / 2024
89.0,Mark Andrews,29.0,TE,17,13.0,250.0,6-5,Oklahoma,9/6/1995,6,7.0,Baltimore Ravens / 3rd / 86th pick / 2018
5.0,Jalyn Armour-Davis,25.0,CB,7,2.0,200.0,6-1,Alabama,9/3/1999,2,1.0,Baltimore Ravens / 4th / 119th pick / 2022
71.0,Malaesala Aumavae-Laulu,25.0,G,2,0.0,344.0,6-5,"Navarro,Oregon",5/25/1999,1,0.0,Baltimore Ravens / 6th / 199th pick / 2023
7.0,Rashod Bateman,25.0,WR,17,14.0,193.0,6-1,Minnesota,11/29/1999,3,8.0,Baltimore Ravens / 1st / 27th pick / 2021
49.0,Chris Board,29.0,LB,17,1.0,229.0,6-2,North Dakota St.,7/23/1995,6,2.0,
24.0,Beau Brade,22.0,S,11,0.0,209.0,6-0,Maryland,1/29/2002,Rook,0.0,
66.0,Ben Cleveland,26.0,G,17,0.0,355.0,6-6,Georgia,8/25/1998,3,1.0,Baltimore Ravens / 3rd / 94th pick / 2021
38.0,Chris Collier,24.0,RB,5,0.0,203.0,5-10,"Nassau CC,Wagner,Lock Haven",3/24/2000,Rook,0.0,
31.0,Bump Cooper,23.0,CB,1,0.0,192.0,5-11,"San Mateo,Oregon St.",8/31/2001,Rook,0.0,
77.0,Daniel Faalele,25.0,RG,17,17.0,370.0,6-6,Minnesota,11/9/1999,2,9.0,Baltimore Ravens / 4th / 110th pick / 2022
4.0,Zay Flowers,24.0,WR,17,15.0,183.0,5-9,Boston Col.,9/11/2000,1,11.0,Baltimore Ravens / 1st / 22nd pick / 2023
14.0,Kyle Hamilton,23.0,SS,17,17.0,218.0,6-4,Notre Dame,3/16/2001,2,8.0,Baltimore Ravens / 1st / 14th pick / 2022
40.0,Malik Harrison,26.0,LB,15,7.0,247.0,6-3,Ohio St.,3/5/1998,4,3.0,Baltimore Ravens / 3rd / 98th pick / 2020
3.0,Deonte Harty,27.0,WR,5,0.0,170.0,5-6,Assumption,12/4/1997,5,0.0,
22.0,Derrick Henry,30.0,RB,17,17.0,252.0,6-2,Alabama,1/4/1994,8,16.0,Tennessee Titans / 2nd / 45th pick / 2016
43.0,Justice Hill,27.0,RB,15,0.0,205.0,5-10,Oklahoma St.,11/14/1997,5,5.0,Baltimore Ravens / 4th / 113th pick / 2019
25.0,Ka'dar Hollman,30.0,CB,3,0.0,196.0,6-0,Toledo,9/18/1994,5,0.0,Green Bay Packers / 6th / 185th pick / 2019
44.0,Marlon Humphrey,28.0,LCB,16,16.0,210.0,6-0,Alabama,7/8/1996,7,12.0,Baltimore Ravens / 1st / 16th pick / 2017
