No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
95.0,Myles Adams,26.0,DE,3,0.0,299.0,6-2,Rice,3/9/1998,3,0.0,
17.0,Jerome Baker,28.0,LB,5,5.0,232.0,6-2,Ohio St.,12/25/1996,6,3.0,Miami Dolphins / 3rd / 73rd pick / 2018
88.0,AJ Barner,22.0,TE,17,6.0,251.0,6-6,"Indiana,Michigan",5/3/2002,Rook,2.0,Seattle Seahawks / 4th / 121st pick / 2024
13.0,Marquise Blair,27.0,FS,1,0.0,196.0,6-1,Utah,7/18/1997,5,0.0,Seattle Seahawks / 2nd / 47th pick / 2019
19.0,Jake Bobo,26.0,WR,17,3.0,207.0,6-4,"Duke,UCLA",8/4/1998,1,1.0,
92.0,Quinton Bohanna,25.0,DT,1,0.0,355.0,6-4,Kentucky,3/16/1999,3,0.0,Dallas Cowboys / 6th / 192nd pick / 2021
56.0,Tyus Bowser,29.0,OLB,2,1.0,250.0,6-3,Houston,5/23/1995,7,1.0,Baltimore Ravens / 2nd / 47th pick / 2017
75.0,Anthony Bradford,23.0,RG,11,11.0,335.0,6-4,LSU,4/28/2001,1,4.0,Seattle Seahawks / 4th / 108th pick / 2023
86.0,Pharaoh Brown,30.0,TE,15,7.0,260.0,6-5,Oregon,5/4/1994,7,0.0,
22.0,Tre Brown,27.0,CB,13,3.0,185.0,5-10,Oklahoma,9/24/1997,3,2.0,Seattle Seahawks / 4th / 137th pick / 2021
8.0,Coby Bryant,25.0,SS,17,11.0,193.0,6-1,Cincinnati,3/29/1999,2,5.0,Seattle Seahawks / 4th / 109th pick / 2022
23.0,Artie Burns,29.0,CB,4,0.0,187.0,6-0,Miami (FL),5/1/1995,8,0.0,Pittsburgh Steelers / 1st / 25th pick / 2016
26.0,Zach Charbonnet,23.0,RB,17,6.0,214.0,6-1,"Michigan,UCLA",1/8/2001,1,6.0,Seattle Seahawks / 2nd / 52nd pick / 2023
67.0,Charles Cross,24.0,LT,17,17.0,317.0,6-5,Mississippi St.,11/25/2000,2,7.0,Seattle Seahawks / 1st / 9th pick / 2022
66.0,McClendon Curtis,25.0,OT,4,0.0,330.0,6-6,Chattanooga,9/16/1999,1,0.0,
,Jaelon Darden,25.0,WR,5,0.0,175.0,5-8,North Texas,1/14/1999,3,0.0,Tampa Bay Buccaneers / 4th / 129th pick / 2021
4.0,Michael Dickson,28.0,P,17,0.0,208.0,6-2,Texas,1/4/1996,6,4.0,Seattle Seahawks / 5th / 149th pick / 2018
0.0,Tyrel Dodson,26.0,LILB,9,9.0,237.0,6-0,Texas A&M,6/25/1998,4,5.0,
74.0,George Fant,32.0,T,2,2.0,316.0,6-5,Western Kentucky,7/19/1992,8,1.0,
87.0,Noah Fant,27.0,TE,14,9.0,249.0,6-4,Iowa,11/20/1997,5,4.0,Denver Broncos / 1st / 20th pick / 2019
30.0,AJ Finley,23.0,S,4,0.0,188.0,6-0,Mississippi,9/14/2001,1,0.0,
78.0,Stone Forsythe,27.0,T,9,5.0,307.0,6-8,Florida,12/29/1997,3,2.0,Seattle Seahawks / 6th / 208th pick / 2021
50.0,Trevis Gipson,27.0,LB,5,0.0,263.0,6-4,Tulsa,6/13/1997,4,0.0,Chicago Bears / 5th / 155th pick / 2020
58.0,Derick Hall,23.0,RILB,17,14.0,254.0,6-3,Auburn,3/19/2001,1,9.0,Seattle Seahawks / 2nd / 37th pick / 2023
97.0,Johnathan Hankins,32.0,DT,17,8.0,335.0,6-3,Ohio St.,3/30/1992,11,5.0,New York Giants / 2nd / 49th pick / 2013
64.0,Christian Haynes,24.0,OG,16,0.0,318.0,6-2,Connecticut,4/13/2000,Rook,1.0,Seattle Seahawks / 3rd / 81st pick / 2024
30.0,Faion Hicks,27.0,CB,2,0.0,192.0,5-10,Wisconsin,9/17/1997,2,0.0,Denver Broncos / 7th / 232nd pick / 2022
