No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
23.0,Jaire Alexander,27.0,CB,7,7.0,196.0,5-10,Louisville,2/9/1997,6,3.0,Green Bay Packers / 1st / 18th pick / 2018
39.0,Zayne Anderson,27.0,S,16,2.0,206.0,6-2,BYU,1/3/1997,3,2.0,
26.0,Corey Ballentine,28.0,CB,15,1.0,196.0,5-11,Washburn,4/13/1996,5,1.0,New York Giants / 6th / 180th pick / 2019
47.0,Andrew Beck,28.0,FB,3,0.0,255.0,6-3,Texas,5/15/1996,5,0.0,
30.0,Chris Brooks,24.0,RB,15,0.0,219.0,6-1,"California,BYU",1/11/2000,1,2.0,
94.0,Karl Brooks,24.0,DL,17,0.0,296.0,6-3,Bowling Green,5/8/2000,1,3.0,Green Bay Packers / 6th / 179th pick / 2023
40.0,Omar Brown,24.0,S,2,0.0,205.0,6-1,"Northern Iowa,Nebraska",10/12/2000,Rook,0.0,
20.0,Javon Bullard,22.0,SS,15,11.0,198.0,5-10,Georgia,9/5/2002,Rook,4.0,Green Bay Packers / 2nd / 58th pick / 2024
97.0,Kenny Clark,29.0,RDT,17,17.0,314.0,6-3,UCLA,10/4/1995,8,9.0,Green Bay Packers / 1st / 27th pick / 2016
56.0,Edgerrin Cooper,23.0,LB,14,4.0,229.0,6-2,Texas A&M,11/17/2001,Rook,4.0,Green Bay Packers / 2nd / 45th pick / 2024
57.0,Brenton Cox,24.0,DL,7,0.0,250.0,6-4,"Georgia,Florida",1/30/2000,1,1.0,
73.0,Andre Dillard,29.0,T,10,0.0,315.0,6-5,Washington St.,10/3/1995,5,1.0,Philadelphia Eagles / 1st / 22nd pick / 2019
87.0,Romeo Doubs,24.0,WR,13,12.0,204.0,6-2,Nevada,4/13/2000,2,6.0,Green Bay Packers / 4th / 132nd pick / 2022
55.0,Kingsley Enagbare,24.0,DL,17,7.0,258.0,6-4,South Carolina,1/18/2000,2,4.0,Green Bay Packers / 5th / 179th pick / 2022
,John FitzPatrick,24.0,TE,9,0.0,262.0,6-7,Georgia,3/9/2000,1,0.0,Atlanta Falcons / 6th / 213th pick / 2022
52.0,Rashan Gary,27.0,RDE,17,17.0,277.0,6-5,Michigan,12/3/1997,5,12.0,Green Bay Packers / 1st / 12th pick / 2019
79.0,Travis Glover,24.0,T,7,0.0,317.0,6-6,Georgia St.,8/17/2000,Rook,1.0,Green Bay Packers / 6th / 202nd pick / 2024
36.0,Kamal Hadden,23.0,CB,2,0.0,192.0,6-1,"Independence (KS),Tennessee",1/17/2001,Rook,0.0,Kansas City Chiefs / 6th / 211th pick / 2024
18.0,Malik Heath,24.0,WR,13,1.0,213.0,6-2,"Copiah-Lincoln CC,Mississippi St.,Mississippi",3/31/2000,1,1.0,
59.0,Ty'Ron Hopper,23.0,LB,17,0.0,228.0,6-2,"Florida,Missouri",4/26/2001,Rook,1.0,Green Bay Packers / 3rd / 91st pick / 2024
8.0,Josh Jacobs,26.0,RB,17,17.0,223.0,5-10,Alabama,2/11/1998,5,12.0,Oakland Raiders / 1st / 24th pick / 2019
74.0,Elgton Jenkins,29.0,LG,17,17.0,311.0,6-5,Mississippi St.,12/26/1995,5,9.0,Green Bay Packers / 2nd / 44th pick / 2019
85.0,Tucker Kraft,24.0,TE,17,17.0,259.0,6-5,South Dakota St.,11/3/2000,1,7.0,Green Bay Packers / 3rd / 78th pick / 2023
32.0,MarShawn Lloyd,23.0,RB,1,0.0,220.0,5-9,"South Carolina,USC",1/5/2001,Rook,0.0,Green Bay Packers / 3rd / 88th pick / 2024
10.0,Jordan Love,26.0,QB,15,15.0,219.0,6-4,Utah St.,11/2/1998,3,12.0,Green Bay Packers / 1st / 26th pick / 2020
58.0,Isaiah McDuffie,25.0,RLB,17,17.0,227.0,6-1,Boston Col.,7/21/1999,3,8.0,Green Bay Packers / 6th / 220th pick / 2021
29.0,Xavier McKinney,26.0,FS,17,17.0,201.0,6-0,Alabama,8/8/1998,4,15.0,New York Giants / 2nd / 36th pick / 2020
,Brandon McManus,33.0,K,11,0.0,201.0,6-3,Temple,7/25/1991,10,3.0,
80.0,Bo Melton,25.0,WR,17,0.0,189.0,5-11,Rutgers,5/18/1999,1,1.0,Seattle Seahawks / 7th / 229th pick / 2022
62.0,Jacob Monk,23.0,OL,10,0.0,308.0,6-3,Duke,6/4/2001,Rook,1.0,Green Bay Packers / 5th / 163rd pick / 2024
77.0,Jordan Morgan,23.0,OT,6,1.0,311.0,6-5,Arizona,8/4/2001,Rook,1.0,Green Bay Packers / 1st / 25th pick / 2024
53.0,Arron Mosby,25.0,DL,16,0.0,250.0,6-3,Fresno St.,4/13/1999,2,1.0,
88.0,Luke Musgrave,24.0,TE,7,3.0,253.0,6-6,Oregon St.,9/2/2000,1,0.0,Green Bay Packers / 2nd / 42nd pick / 2023
71.0,Josh Myers,26.0,C,16,16.0,310.0,6-5,Ohio St.,7/16/1998,3,8.0,Green Bay Packers / 2nd / 62nd pick / 2021
44.0,Brayden Narveson,25.0,K,6,0.0,215.0,6-0,"Iowa St.,Western Kentucky,North Carolina St.",9/28/1999,Rook,0.0,
25.0,Keisean Nixon,27.0,LCB,17,15.0,200.0,5-10,South Carolina,6/22/1997,5,6.0,
27.0,Kitan Oladapo,24.0,S,9,0.0,216.0,6-2,Oregon St.,10/10/2000,Rook,1.0,Green Bay Packers / 5th / 169th pick / 2024
,Matthew Orzech,29.0,LS,17,0.0,245.0,6-3,Azusa Pacific,4/12/1995,5,1.0,
11.0,Jayden Reed,24.0,WR,17,10.0,187.0,5-11,"Western Michigan,Michigan St.",4/28/2000,1,9.0,Green Bay Packers / 2nd / 50th pick / 2023
75.0,Sean Rhyan,24.0,RG,17,17.0,321.0,6-5,UCLA,9/15/2000,2,9.0,Green Bay Packers / 3rd / 92nd pick / 2022
22.0,Robert Rochell,26.0,CB,11,0.0,195.0,6-2,Central Arkansas,4/26/1998,3,1.0,Los Angeles Rams / 4th / 130th pick / 2021
89.0,Ben Sims,24.0,TE,17,5.0,250.0,6-5,Baylor,5/16/2000,1,0.0,
93.0,Tedarrell Slaton,27.0,LDT,17,17.0,340.0,6-5,Florida,10/3/1997,3,8.0,Green Bay Packers / 5th / 173rd pick / 2021
