No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
17.0,Josh Allen,28,QB,17,17.0,237.0,6-5,"Reedley,Wyoming",5/21/1996,6,20.0,Buffalo Bills / 1st / 7th pick / 2018
70.0,Alec Anderson,25,T,17,4.0,305.0,6-5,UCLA,10/3/1999,1,4.0,
44.0,Joe Andreessen,24,LB,13,1.0,232.0,6-1,"Bryant,Buffalo",2/7/2000,Rook,1.0,
51.0,Eli Ankou,30,DT,2,0.0,325.0,6-3,UCLA,6/8/1994,7,0.0,
2.0,Tyler Bass,27,K,17,0.0,183.0,5-10,Georgia Southern,2/14/1997,4,2.0,Buffalo Bills / 6th / 188th pick / 2020
47.0,Christian Benford,24,RCB,15,15.0,205.0,6-1,Villanova,9/21/2000,2,6.0,Buffalo Bills / 6th / 185th pick / 2022
43.0,Terrel Bernard,25,MLB,13,13.0,224.0,6-1,Baylor,5/7/1999,2,7.0,Buffalo Bills / 3rd / 89th pick / 2022
24.0,Cole Bishop,22,S,16,4.0,207.0,6-2,Utah,10/24/2002,Rook,2.0,Buffalo Bills / 2nd / 60th pick / 2024
79.0,Spencer Brown,26,RT,15,15.0,311.0,6-6,Northern Iowa,2/28/1998,3,9.0,Buffalo Bills / 3rd / 93rd pick / 2021
90.0,DeWayne Carter,24,DT,11,3.0,305.0,6-3,Duke,12/10/2000,Rook,2.0,Buffalo Bills / 3rd / 95th pick / 2024
36.0,Lewis Cine,25,S,1,0.0,199.0,6-2,Georgia,10/5/1999,2,0.0,Minnesota Vikings / 1st / 32nd pick / 2022
77.0,Will Clapp,29,OL,1,1.0,314.0,6-5,LSU,12/10/1995,6,1.0,New Orleans Saints / 7th / 245th pick / 2018
96.0,Kameron Cline,26,DE,1,0.0,283.0,6-4,South Dakota,2/19/1998,4,0.0,
29.0,Brandon Codrington,24,DB,17,0.0,185.0,5-9,North Carolina Central,11/17/2000,Rook,1.0,
0.0,Keon Coleman,21,WR,13,12.0,215.0,6-4,"Michigan St.,Florida St.",5/17/2003,Rook,7.0,Buffalo Bills / 2nd / 33rd pick / 2024
4.0,James Cook,25,RB,16,16.0,190.0,5-11,Georgia,9/25/1999,2,11.0,Buffalo Bills / 2nd / 63rd pick / 2022
,Amari Cooper,30,WR,8,4.0,211.0,6-1,Alabama,6/17/1994,9,3.0,Oakland Raiders / 1st / 4th pick / 2015
84.0,Zach Davidson,26,TE,2,0.0,251.0,6-7,Central Missouri St.,7/15/1998,1,0.0,Minnesota Vikings / 5th / 168th pick / 2021
22.0,Ray Davis,25,RB,17,0.0,220.0,5-8,"Temple,Vanderbilt,Kentucky",11/11/1999,Rook,6.0,Buffalo Bills / 4th / 128th pick / 2024
73.0,Dion Dawkins,30,LT,16,16.0,320.0,6-5,Temple,4/26/1994,7,13.0,Buffalo Bills / 2nd / 63rd pick / 2017
,Branson Deen,24,DT,1,0.0,280.0,6-2,"Purdue,Miami (FL)",2/12/2000,Rook,0.0,
31.0,Rasul Douglas,29,LCB,15,15.0,209.0,6-2,"Nassau CC,West Virginia",8/29/1995,7,5.0,Philadelphia Eagles / 3rd / 99th pick / 2017
76.0,David Edwards,27,LG,16,16.0,308.0,6-6,Wisconsin,3/20/1997,5,8.0,Los Angeles Rams / 5th / 169th pick / 2019
21.0,Mike Edwards,28,S,3,0.0,205.0,5-10,"Kentucky,Hawaii",5/18/1996,5,0.0,Tampa Bay Buccaneers / 3rd / 99th pick / 2019
5.0,Kaiir Elam,23,CB,13,4.0,191.0,6-1,Florida,5/5/2001,2,2.0,Buffalo Bills / 1st / 23rd pick / 2022
57.0,A.J. Epenesa,26,LDE,17,13.0,260.0,6-6,Iowa,9/15/1998,4,7.0,Buffalo Bills / 2nd / 54th pick / 2020
69.0,Reid Ferguson,30,LS,17,0.0,235.0,6-2,LSU,3/24/1994,7,1.0,
,Reggie Gilliam,27,FB,15,0.0,244.0,6-0,Toledo,8/20/1997,4,0.0,
75.0,Richard Gouraige,26,OT,1,0.0,306.0,6-5,Florida,10/15/1998,1,0.0,
68.0,Tylan Grable,25,OT,4,1.0,309.0,6-5,"Jacksonville St.,Central Florida",10/4/1999,Rook,1.0,Buffalo Bills / 6th / 204th pick / 2024
3.0,Damar Hamlin,26,SS,14,14.0,200.0,6-0,Pittsburgh,3/24/1998,3,5.0,Buffalo Bills / 6th / 212th pick / 2021
13.0,Mack Hollins,31,WR,17,13.0,221.0,6-4,North Carolina,9/16/1993,7,4.0,Philadelphia Eagles / 4th / 118th pick / 2017
46.0,Ja'Marcus Ingram,27,CB,17,1.0,190.0,6-2,"Utah St.,Texas Tech,Buffalo",9/2/1997,2,2.0,
27.0,Kareem Jackson,36,S,2,0.0,196.0,5-10,Alabama,4/10/1988,14,0.0,Houston Texans / 1st / 20th pick / 2010
,Quinton Jefferson,31,DT,7,0.0,290.0,6-4,Maryland,3/31/1993,8,1.0,Seattle Seahawks / 5th / 147th pick / 2016
98.0,Austin Johnson,30,DT,15,1.0,314.0,6-4,Penn St.,5/8/1994,8,2.0,Tennessee Titans / 2nd / 43rd pick / 2016
7.0,Taron Johnson,28,CB,12,12.0,192.0,5-11,Weber St.,7/27/1996,6,5.0,Buffalo Bills / 4th / 121st pick / 2018
