No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
97.0,Felix Anudike-Uzomah,22.0,DE,17,3.0,255.0,6-4,Kansas St.,1/24/2002,1,3.0,Kansas City Chiefs / 1st / 31st pick / 2023
14.0,Matt Araiza,24.0,P,17,0.0,200.0,6-1,San Diego St.,5/16/2000,1,3.0,Buffalo Bills / 6th / 180th pick / 2022
32.0,Nick Bolton,24.0,LLB,16,16.0,237.0,5-11,Missouri,3/10/2000,3,8.0,Kansas City Chiefs / 2nd / 58th pick / 2021
50.0,Swayze Bozeman,26.0,LB,3,0.0,230.0,6-1,"Copiah-Lincoln CC,Southern Miss",11/2/1998,Rook,0.0,
5.0,Marquise Brown,27.0,WR,2,1.0,180.0,5-9,"College of the Canyons (CA),Oklahoma",6/4/1997,5,1.0,Baltimore Ravens / 1st / 25th pick / 2019
26.0,Deon Bush,31.0,DB,2,0.0,200.0,6-0,Miami (FL),8/14/1993,8,0.0,Chicago Bears / 4th / 124th pick / 2016
7.0,Harrison Butker,29.0,K,13,0.0,205.0,6-4,Georgia Tech,7/14/1995,7,2.0,Carolina Panthers / 7th / 233rd pick / 2017
66.0,Mike Caliendo,27.0,OL,17,3.0,301.0,6-4,Western Michigan,10/21/1997,1,2.0,
54.0,Leo Chenal,24.0,RLB,17,14.0,250.0,6-3,Wisconsin,10/26/2000,2,6.0,Kansas City Chiefs / 3rd / 103rd pick / 2022
,Cole Christiansen,27.0,LB,9,0.0,230.0,6-1,Army,7/30/1997,4,1.0,
43.0,Jack Cochrane,25.0,LB,15,0.0,236.0,6-3,South Dakota,2/9/1999,2,1.0,
27.0,Chamarri Conner,24.0,DB,15,9.0,202.0,6-0,Virginia Tech,7/11/2000,1,4.0,Kansas City Chiefs / 4th / 119th pick / 2023
6.0,Bryan Cook,25.0,FS,17,17.0,206.0,6-1,"Howard,Cincinnati",9/7/1999,2,6.0,Kansas City Chiefs / 2nd / 62nd pick / 2022
47.0,Baylor Cupp,24.0,TE,1,0.0,243.0,6-6,"Texas A&M,Texas Tech",5/10/2000,Rook,0.0,
51.0,Michael Danna,27.0,RDE,13,12.0,257.0,6-2,"Central Michigan,Michigan",12/1/1997,4,5.0,Kansas City Chiefs / 5th / 177th pick / 2020
75.0,Ethan Driskell,24.0,OT,2,0.0,313.0,6-8,Marshall,6/29/2000,Rook,0.0,
0.0,Anthony Firkser,29.0,TE,3,0.0,241.0,6-2,Harvard,2/19/1995,6,0.0,
89.0,Jody Fortson,29.0,TE,3,0.0,235.0,6-4,Valdosta St.,12/7/1995,3,0.0,
83.0,Noah Gray,25.0,TE,17,10.0,240.0,6-3,Duke,4/30/1999,3,4.0,Kansas City Chiefs / 5th / 162nd pick / 2021
61.0,C.J. Hanson,23.0,OL,1,0.0,300.0,6-5,Holy Cross,3/3/2001,Rook,0.0,Kansas City Chiefs / 7th / 248th pick / 2024
17.0,Mecole Hardman,26.0,WR,12,0.0,187.0,5-10,Georgia,3/12/1998,5,1.0,Kansas City Chiefs / 2nd / 56th pick / 2019
88.0,Peyton Hendershot,25.0,TE,7,1.0,254.0,6-4,Indiana,4/23/1999,2,0.0,
94.0,Malik Herring,27.0,DE,12,0.0,275.0,6-3,Georgia,11/9/1997,2,1.0,
21.0,Jaden Hicks,22.0,DB,17,1.0,215.0,6-1,Washington St.,8/16/2002,Rook,2.0,Kansas City Chiefs / 4th / 133rd pick / 2024
,DeAndre Hopkins,32.0,WR,10,5.0,210.0,6-1,Clemson,6/6/1992,11,4.0,Houston Texans / 1st / 27th pick / 2013
52.0,Creed Humphrey,25.0,C,17,17.0,302.0,6-4,Oklahoma,6/28/1999,3,12.0,Kansas City Chiefs / 2nd / 63rd pick / 2021
,D.J. Humphries,31.0,OL,2,2.0,307.0,6-5,Florida,12/28/1993,8,1.0,Arizona Cardinals / 1st / 24th pick / 2015
29.0,Kareem Hunt,29.0,RB,13,8.0,216.0,5-11,Toledo,8/6/1995,7,5.0,Kansas City Chiefs / 3rd / 86th pick / 2017
38.0,Keaontay Ingram,25.0,RB,1,0.0,220.0,6-0,"Texas,USC",10/26/1999,2,0.0,Arizona Cardinals / 6th / 201st pick / 2022
13.0,Nazeeh Johnson,26.0,S,16,6.0,199.0,5-10,Marshall,7/17/1998,2,2.0,Kansas City Chiefs / 7th / 259th pick / 2022
44.0,Cam Jones,25.0,LB,17,1.0,227.0,6-2,Indiana,10/21/1999,1,2.0,
95.0,Chris Jones,30.0,LDT,15,15.0,310.0,6-6,Mississippi St.,7/3/1994,8,16.0,Kansas City Chiefs / 2nd / 37th pick / 2016
,Nic Jones,23.0,CB,1,0.0,189.0,6-0,Ball St.,10/15/2001,1,0.0,Kansas City Chiefs / 7th / 250th pick / 2023
56.0,George Karlaftis III,23.0,LDE,16,11.0,263.0,6-4,Purdue,4/3/2001,2,6.0,Kansas City Chiefs / 1st / 30th pick / 2022
87.0,Travis Kelce,35.0,TE,16,16.0,250.0,6-5,Cincinnati,10/5/1989,11,8.0,Kansas City Chiefs / 3rd / 63rd pick / 2013
