No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
17.0,Davante Adams,32.0,WR,11,11.0,215.0,6-1,Fresno St.,12/24/1992,10,8.0,Green Bay Packers / 2nd / 53rd pick / 2014
22.0,Tony Adams,25.0,FS,15,11.0,203.0,5-11,Illinois,1/24/1999,2,4.0,
0.0,Braelon Allen,20.0,RB,17,2.0,235.0,6-1,Wisconsin,1/20/2004,Rook,3.0,New York Jets / 4th / 134th pick / 2024
69.0,Zack Bailey,29.0,OL,1,0.0,299.0,6-5,South Carolina,11/8/1995,2,0.0,
84.0,Brenden Bates,25.0,TE,5,0.0,255.0,6-5,Kentucky,10/17/1999,Rook,0.0,
29.0,Jarrick Bernard-Converse,24.0,CB,7,0.0,205.0,6-1,"Oklahoma St.,LSU",4/29/2000,1,0.0,New York Jets / 6th / 204th pick / 2023
,Anders Carlson,26.0,K,5,0.0,219.0,6-5,Auburn,6/16/1998,1,1.0,Green Bay Packers / 6th / 207th pick / 2023
30.0,Michael Carter II,25.0,CB,13,1.0,184.0,5-10,Duke,3/8/1999,3,1.0,New York Jets / 5th / 154th pick / 2021
19.0,Irvin Charles,27.0,WR,13,0.0,219.0,6-4,"Penn St.,Indiana (PA)",4/13/1997,1,0.0,
36.0,Chuck Clark,29.0,SS,12,12.0,210.0,6-0,Virginia Tech,4/19/1995,7,4.0,Baltimore Ravens / 6th / 186th pick / 2017
72.0,Micheal Clemons,27.0,LOLB,17,17.0,263.0,6-5,"Cisco (TX),Texas A&M",8/21/1997,2,7.0,New York Jets / 4th / 117th pick / 2022
83.0,Tyler Conklin,29.0,TE,16,15.0,248.0,6-3,Central Michigan,7/30/1995,6,4.0,Minnesota Vikings / 5th / 157th pick / 2018
14.0,Malachi Corley,22.0,WR,9,1.0,215.0,5-11,Western Kentucky,3/21/2002,Rook,0.0,New York Jets / 3rd / 65th pick / 2024
21.0,Ashtyn Davis,28.0,S,15,1.0,205.0,6-1,California,10/10/1996,4,2.0,New York Jets / 3rd / 68th pick / 2020
32.0,Isaiah Davis,22.0,RB,17,0.0,220.0,6-1,South Dakota St.,2/21/2002,Rook,2.0,New York Jets / 5th / 173rd pick / 2024
26.0,Brandin Echols,27.0,CB,16,4.0,179.0,5-10,"Northwest Mississippi CC,Kentucky",10/16/1997,3,3.0,New York Jets / 6th / 200th pick / 2021
52.0,Samuel Eguavoen,31.0,LB,17,1.0,236.0,6-1,Texas Tech,2/22/1993,5,2.0,
74.0,Olumuyiwa Fashanu,22.0,OL,15,7.0,312.0,6-6,Penn St.,12/9/2002,Rook,4.0,New York Jets / 1st / 11th pick / 2024
48.0,Anthony Firkser,29.0,TE,4,0.0,241.0,6-2,Harvard,2/19/1995,6,0.0,
92.0,Leki Fotu,26.0,DT,2,1.0,317.0,6-5,Utah,8/23/1998,4,0.0,Arizona Cardinals / 4th / 114th pick / 2020
1.0,Sauce Gardner,24.0,LCB,15,15.0,190.0,6-3,Cincinnati,8/31/2000,2,5.0,New York Jets / 1st / 4th pick / 2022
82.0,Xavier Gipson,23.0,WR,17,0.0,189.0,5-9,S.F. Austin,3/8/2001,1,0.0,
20.0,Breece Hall,23.0,RB,16,16.0,217.0,5-11,Iowa St.,5/31/2001,2,9.0,New York Jets / 2nd / 36th pick / 2022
62.0,Jake Hanson,27.0,OL,12,2.0,303.0,6-4,Oregon,4/29/1997,3,2.0,Green Bay Packers / 6th / 208th pick / 2020
98.0,Bruce Hector,30.0,DL,6,0.0,296.0,6-2,South Florida,10/7/1994,6,0.0,
42.0,Thomas Hennessy,30.0,LS,17,0.0,246.0,6-2,Duke,6/11/1994,7,1.0,
97.0,Jalyn Holmes,28.0,DL,5,0.0,283.0,6-5,Ohio St.,1/25/1996,6,0.0,Minnesota Vikings / 4th / 102nd pick / 2018
11.0,Jermaine Johnson II,25.0,LB,2,2.0,254.0,6-5,"Independence (KS),Georgia,Florida St.",1/7/1999,2,1.0,New York Jets / 1st / 26th pick / 2022
40.0,Greg Joseph,30.0,K,1,0.0,206.0,6-0,Florida Atlantic,8/4/1994,6,0.0,
54.0,Javon Kinlaw,27.0,RDT,17,17.0,319.0,6-5,South Carolina,10/3/1997,4,8.0,San Francisco 49ers / 1st / 14th pick / 2020
81.0,Zack Kuntz,25.0,TE,1,0.0,251.0,6-8,"Penn St.,Old Dominion",6/6/1999,1,0.0,New York Jets / 7th / 220th pick / 2023
10.0,Allen Lazard,29.0,WR,12,10.0,227.0,6-5,Iowa St.,12/11/1995,6,5.0,
70.0,Alec Lindstrom,26.0,C,1,0.0,300.0,6-3,Boston Col.,7/7/1998,1,0.0,
41.0,Marcelino McCrary-Ball,25.0,LB,12,0.0,214.0,6-0,Indiana,3/23/1999,1,1.0,
99.0,Will McDonald,25.0,LDE,17,15.0,245.0,6-4,Iowa St.,6/4/1999,1,7.0,New York Jets / 1st / 15th pick / 2023
,Connor McGovern,31.0,C,1,0.0,306.0,6-4,Missouri,4/27/1993,7,0.0,Denver Broncos / 5th / 144th pick / 2016
91.0,Braiden McGregor,23.0,DE,7,0.0,267.0,6-6,Michigan,7/12/2001,Rook,0.0,
93.0,Takkarist McKinley,29.0,DL,7,0.0,250.0,6-2,UCLA,11/2/1995,7,1.0,Atlanta Falcons / 1st / 26th pick / 2017
35.0,Jalen Mills,30.0,S,9,8.0,191.0,6-0,LSU,4/6/1994,8,3.0,Philadelphia Eagles / 7th / 233rd pick / 2016
61.0,Max Mitchell,25.0,OL,10,2.0,307.0,6-6,Louisiana,10/12/1999,2,1.0,New York Jets / 4th / 111th pick / 2022
39.0,Jarius Monroe,24.0,S,5,0.0,205.0,6-2,"Nicholls St.,Tulane",10/6/2000,Rook,0.0,
6.0,Thomas Morstead,38.0,P,17,0.0,225.0,6-4,SMU,3/8/1986,15,3.0,New Orleans Saints / 5th / 164th pick / 2009
78.0,Morgan Moses,33.0,RT,14,14.0,320.0,6-6,Virginia,3/3/1991,10,6.0,Washington Redskins / 3rd / 66th pick / 2014
57.0,C.J. Mosley,32.0,LB,4,3.0,231.0,6-2,Alabama,6/19/1992,10,1.0,Baltimore Ravens / 1st / 17th pick / 2014
65.0,Xavier Newman-Johnson,25.0,OL,9,0.0,297.0,6-2,Baylor,8/4/1999,2,1.0,
34.0,Kene Nwangwu,26.0,RB,2,0.0,210.0,6-1,Iowa St.,2/9/1998,3,1.0,Minnesota Vikings / 4th / 119th pick / 2021
23.0,Isaiah Oliver,28.0,CB,17,7.0,202.0,6-0,Colorado,9/30/1996,6,3.0,Atlanta Falcons / 2nd / 58th pick / 2018
46.0,Riley Patterson,25.0,K,1,0.0,190.0,6-0,Memphis,9/7/1999,3,0.0,
7.0,Haason Reddick,30.0,LB,10,2.0,240.0,6-1,Temple,9/22/1994,7,1.0,Arizona Cardinals / 1st / 13th pick / 2017
4.0,D.J. Reed,28.0,RCB,14,14.0,190.0,5-9,Kansas St.,11/11/1996,6,5.0,San Francisco 49ers / 5th / 142nd pick / 2018
8.0,Aaron Rodgers,41.0,QB,17,17.0,223.0,6-2,"Butte JC (CA),California",12/2/1983,19,12.0,Green Bay Packers / 1st / 24th pick / 2005
89.0,Jeremy Ruckert,24.0,TE,17,9.0,250.0,6-5,Ohio St.,8/11/2000,2,1.0,New York Jets / 3rd / 101st pick / 2022
71.0,Wes Schweitzer,31.0,OL,4,0.0,300.0,6-4,San Jose St.,9/11/1993,7,0.0,Atlanta Falcons / 6th / 195th pick / 2016
27.0,Kendall Sheffield,28.0,CB,6,0.0,200.0,5-10,Ohio St.,5/30/1996,5,0.0,Atlanta Falcons / 4th / 111th pick / 2019
44.0,Jamien Sherwood,24.0,RILB,17,16.0,216.0,6-2,Auburn,1/12/2000,3,7.0,New York Jets / 5th / 146th pick / 2021
40.0,Spencer Shrader,25.0,K,1,0.0,201.0,6-2,"South Florida,Notre Dame",5/19/1999,Rook,0.0,
76.0,John Simpson,27.0,LG,17,17.0,330.0,6-4,Clemson,8/19/1997,4,7.0,Las Vegas Raiders / 4th / 109th pick / 2020
87.0,Brandon Smith,26.0,WR,1,0.0,218.0,6-1,Iowa,12/10/1998,1,0.0,
77.0,Tyron Smith,34.0,LT,10,10.0,320.0,6-5,USC,12/12/1990,13,4.0,Dallas Cowboys / 1st / 9th pick / 2011
37.0,Qwan'tez Stiggers,22.0,CB,14,1.0,197.0,6-0,,1/8/2002,1,1.0,New York Jets / 5th / 176th pick / 2024
55.0,Chazz Surratt,27.0,ROLB,17,5.0,233.0,6-2,North Carolina,2/16/1997,3,3.0,Minnesota Vikings / 3rd / 78th pick / 2021
31.0,Tre Swilling,25.0,DB,1,0.0,196.0,6-0,Georgia Tech,3/26/1999,1,0.0,
96.0,Leonard Taylor,25.0,DL,14,0.0,305.0,6-3,Miami (FL),8/26/1999,Rook,1.0,
2.0,Tyrod Taylor,35.0,QB,2,0.0,217.0,6-1,Virginia Tech,8/3/1989,13,0.0,Baltimore Ravens / 6th / 180th pick / 2011
94.0,Solomon Thomas,29.0,DL,16,1.0,256.0,6-2,Stanford,12/20/1995,7,2.0,San Francisco 49ers / 1st / 3rd pick / 2017
66.0,Joe Tippmann,23.0,C,17,17.0,313.0,6-6,Wisconsin,3/24/2001,1,7.0,New York Jets / 2nd / 43rd pick / 2023
75.0,Alijah Vera-Tucker,25.0,RG,15,15.0,308.0,6-5,USC,6/17/1999,3,7.0,New York Jets / 1st / 14th pick / 2021
67.0,Carter Warren,25.0,T,6,1.0,311.0,6-5,Pittsburgh,1/19/1999,1,1.0,New York Jets / 4th / 120th pick / 2023
58.0,Eric Watts,24.0,DL,14,0.0,277.0,6-5,Connecticut,10/1/2000,Rook,1.0,
18.0,Mike Williams,30.0,WR,9,3.0,218.0,6-4,Clemson,10/4/1994,7,1.0,Los Angeles Chargers / 1st / 7th pick / 2017
56.0,Quincy Williams,28.0,LILB,17,17.0,230.0,5-11,Murray St.,8/28/1996,5,8.0,Jacksonville Jaguars / 3rd / 98th pick / 2019
95.0,Quinnen Williams,27.0,NT,16,16.0,303.0,6-3,Alabama,12/21/1997,5,10.0,New York Jets / 1st / 3rd pick / 2019
5.0,Garrett Wilson,24.0,WR,17,17.0,183.0,6-0,Ohio St.,7/22/2000,2,10.0,New York Jets / 1st / 10th pick / 2022
88.0,Kenny Yeboah,26.0,TE,9,1.0,250.0,6-4,"Temple,Mississippi",10/30/1998,3,0.0,
9.0,Greg Zuerlein,37.0,K,8,0.0,195.0,6-0,"Nebraska-Omaha,Missouri Western St.",12/27/1987,12,0.0,St. Louis Rams / 6th / 171st pick / 2012
,Team Total,27.2,,17,,244.0,6-2.4,,,4.1,,
