No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
,Bryan Anger,36.0,P,17,0.0,202.0,6-3,California,10/6/1988,12,3.0,Jacksonville Jaguars / 3rd / 70th pick / 2012
17.0,Brandon Aubrey,29.0,K,17,0.0,218.0,6-3,Notre Dame,3/14/1995,1,5.0,
66.0,T.J. Bass,25.0,G,15,3.0,325.0,6-4,"Butte JC (CA),Oregon",3/31/1999,1,2.0,
56.0,Cooper Beebe,23.0,C,16,16.0,335.0,6-4,Kansas St.,5/19/2001,Rook,5.0,Dallas Cowboys / 3rd / 73rd pick / 2024
14.0,Markquese Bell,25.0,S,9,0.0,205.0,6-3,Florida A&M,1/6/1999,2,0.0,
26.0,DaRon Bland,25.0,CB,7,7.0,197.0,6-0,"Sacramento St.,Fresno St.",7/12/1999,2,2.0,Dallas Cowboys / 5th / 167th pick / 2022
25.0,Andrew Booth,24.0,CB,7,2.0,194.0,6-0,Clemson,9/28/2000,2,1.0,Minnesota Vikings / 2nd / 42nd pick / 2022
83.0,Jalen Brooks,24.0,WR,14,1.0,205.0,6-2,South Carolina,5/7/2000,1,1.0,Dallas Cowboys / 7th / 244th pick / 2023
31.0,Josh Butler,28.0,CB,5,3.0,182.0,6-0,Michigan St.,11/25/1996,1,1.0,
21.0,Caelen Carson,22.0,CB,6,5.0,195.0,6-0,Wake Forest,3/3/2002,Rook,1.0,Dallas Cowboys / 5th / 174th pick / 2024
18.0,Damone Clark,24.0,LB,14,2.0,240.0,6-3,LSU,6/28/2000,2,2.0,Dallas Cowboys / 5th / 176th pick / 2022
20.0,Dalvin Cook,29.0,RB,2,0.0,210.0,5-10,Florida St.,8/10/1995,7,0.0,Minnesota Vikings / 2nd / 41st pick / 2017
3.0,Brandin Cooks,31.0,WR,10,9.0,193.0,5-10,Oregon St.,9/25/1993,10,2.0,New Orleans Saints / 1st / 20th pick / 2014
7.0,Trevon Diggs,26.0,RCB,11,11.0,195.0,6-2,Alabama,9/20/1998,4,4.0,Dallas Cowboys / 2nd / 51st pick / 2020
23.0,Rico Dowdle,26.0,RB,16,15.0,215.0,5-11,South Carolina,6/14/1998,4,8.0,
71.0,Chuma Edoga,27.0,G,5,4.0,315.0,6-4,USC,5/25/1997,5,1.0,New York Jets / 3rd / 92nd pick / 2019
15.0,Ezekiel Elliott,29.0,RB,15,2.0,228.0,6-0,Ohio St.,7/22/1995,8,2.0,Dallas Cowboys / 1st / 4th pick / 2016
85.0,Princeton Fant,25.0,TE,8,0.0,235.0,6-2,Tennessee,3/11/1999,1,0.0,
87.0,Jake Ferguson,25.0,TE,14,14.0,244.0,6-5,Wisconsin,1/18/1999,2,4.0,Dallas Cowboys / 4th / 129th pick / 2022
80.0,Ryan Flournoy,25.0,WR,11,1.0,200.0,6-1,"Central Missouri St.,Iowa Western,SE Missouri St.",10/27/1999,Rook,1.0,Dallas Cowboys / 6th / 216th pick / 2024
99.0,Chauncey Golston,26.0,RDE,17,13.0,277.0,6-5,Iowa,2/10/1998,3,6.0,Dallas Cowboys / 3rd / 84th pick / 2021
29.0,C.J. Goodwin,34.0,CB,17,0.0,190.0,6-3,California (PA),2/4/1990,8,1.0,
60.0,Tyler Guyton,23.0,LT,15,11.0,322.0,6-7,"TCU,Oklahoma",6/11/2001,Rook,4.0,Dallas Cowboys / 1st / 29th pick / 2024
43.0,Kemon Hall,27.0,CB,6,0.0,190.0,5-11,North Texas,6/2/1997,3,0.0,
47.0,Darius Harris,28.0,LB,4,0.0,238.0,6-2,Middle Tenn. St.,1/17/1996,4,0.0,
52.0,K.J. Henry,25.0,DE,2,0.0,255.0,6-4,Clemson,1/27/1999,1,0.0,Washington Commanders / 5th / 137th pick / 2023
67.0,Brock Hoffman,25.0,C,17,7.0,302.0,6-4,"Coastal Carolina,Virginia Tech",7/2/1999,2,3.0,
28.0,Malik Hooker,28.0,SS,17,17.0,212.0,6-2,Ohio St.,4/2/1996,7,5.0,Indianapolis Colts / 1st / 15th pick / 2017
57.0,Buddy Johnson,25.0,LB,14,0.0,240.0,6-2,Texas A&M,2/27/1999,3,1.0,Pittsburgh Steelers / 4th / 140th pick / 2021
93.0,Linval Joseph,36.0,DT,17,0.0,329.0,6-4,East Carolina,10/10/1988,14,1.0,New York Giants / 2nd / 46th pick / 2010
50.0,Eric Kendricks,32.0,MLB,15,15.0,232.0,6-0,UCLA,2/29/1992,9,7.0,Minnesota Vikings / 2nd / 45th pick / 2015
94.0,Marshawn Kneeland,23.0,DE,11,1.0,268.0,6-3,Western Michigan,7/8/2001,Rook,1.0,Dallas Cowboys / 2nd / 56th pick / 2024
88.0,CeeDee Lamb,25.0,WR,15,15.0,200.0,6-2,Oklahoma,4/8/1999,4,9.0,Dallas Cowboys / 1st / 17th pick / 2020
19.0,Trey Lance,24.0,QB,4,1.0,226.0,6-4,North Dakota St.,5/9/2000,3,1.0,San Francisco 49ers / 1st / 3rd pick / 2021
90.0,DeMarcus Lawrence,32.0,DE,4,4.0,254.0,6-3,"Butler (KS),Boise St.",4/28/1992,10,2.0,Dallas Cowboys / 2nd / 34th pick / 2014
55.0,Carl Lawson,29.0,DE,15,3.0,260.0,6-2,Auburn,6/29/1995,7,2.0,Cincinnati Bengals / 4th / 116th pick / 2017
2.0,Jourdan Lewis,29.0,LCB,16,13.0,190.0,5-10,Michigan,8/31/1995,7,4.0,Dallas Cowboys / 3rd / 92nd pick / 2017
35.0,Marist Liufau,23.0,LB,17,9.0,239.0,6-2,Notre Dame,2/9/2001,Rook,4.0,Dallas Cowboys / 3rd / 87th pick / 2024
40.0,Hunter Luepke,24.0,RB,16,4.0,238.0,6-1,North Dakota St.,2/28/2000,1,1.0,
70.0,Zack Martin,34.0,RG,10,10.0,315.0,6-4,Notre Dame,11/20/1990,10,3.0,Dallas Cowboys / 1st / 16th pick / 2014
81.0,Jonathan Mingo,23.0,WR,8,1.0,220.0,6-2,Mississippi,4/20/2001,1,0.0,Carolina Panthers / 2nd / 39th pick / 2023
16.0,Jalen Moreno-Cropper,23.0,WR,1,0.0,172.0,6-0,Fresno St.,5/3/2001,1,0.0,
24.0,Israel Mukuamu,25.0,S,17,0.0,205.0,6-4,South Carolina,11/28/1999,3,1.0,Dallas Cowboys / 6th / 227th pick / 2021
97.0,Osa Odighizuwa,26.0,LDT,17,17.0,280.0,6-2,UCLA,8/13/1998,3,7.0,Dallas Cowboys / 3rd / 75th pick / 2021
27.0,Amani Oruwariye,28.0,CB,7,4.0,205.0,6-2,Penn St.,2/9/1996,5,1.0,Detroit Lions / 5th / 146th pick / 2019
