No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
28.0,De'Von Achane,23.0,RB,17,16.0,191.0,5-9,Texas A&M,10/13/2001,1,11.0,Miami Dolphins / 3rd / 84th pick / 2023
46.0,Tucker Addington,27.0,LS,3,0.0,230.0,6-2,Sam Houston St.,7/16/1997,2,0.0,
72.0,Terron Armstead,33.0,LT,15,15.0,305.0,6-5,Ark-Pine Bluff,7/23/1991,11,7.0,New Orleans Saints / 3rd / 75th pick / 2013
16.0,Jake Bailey,27.0,P,17,0.0,212.0,6-2,Stanford,6/18/1997,5,2.0,New England Patriots / 5th / 163rd pick / 2019
3.0,Odell Beckham Jr.,32.0,WR,9,0.0,200.0,5-11,LSU,11/5/1992,10,0.0,New York Giants / 1st / 12th pick / 2014
56.0,Quinton Bell,28.0,LB,17,3.0,258.0,6-4,Prairie View A&M,5/9/1996,4,3.0,Oakland Raiders / 7th / 230th pick / 2019
0.0,Braxton Berrios,29.0,WR,6,0.0,185.0,5-9,Miami (FL),10/6/1995,5,0.0,New England Patriots / 6th / 210th pick / 2018
27.0,Ethan Bonner,25.0,CB,5,0.0,190.0,6-1,Stanford,10/23/1999,1,0.0,
,Tyus Bowser,29.0,LOLB,7,4.0,250.0,6-3,Houston,5/23/1995,7,2.0,Baltimore Ravens / 2nd / 47th pick / 2017
,Tim Boyle,30.0,QB,2,0.0,233.0,6-4,"Connecticut,Eastern Kentucky",10/3/1994,5,1.0,
55.0,Aaron Brewer,27.0,C,17,17.0,295.0,6-1,Texas St.,10/28/1997,4,7.0,
20.0,Jordyn Brooks,27.0,RILB,17,17.0,240.0,6-0,Texas Tech,10/21/1997,4,9.0,Seattle Seahawks / 1st / 27th pick / 2020
93.0,Calais Campbell,38.0,NT,17,17.0,315.0,6-8,Miami (FL),9/1/1986,16,9.0,Arizona Cardinals / 2nd / 50th pick / 2008
22.0,Elijah Campbell,29.0,DB,17,1.0,200.0,5-11,"Iowa Western,Northern Illinois,Northern Iowa",8/24/1995,4,2.0,
76.0,Jackson Carman,24.0,T,8,1.0,325.0,6-5,Clemson,1/22/2000,3,1.0,Cincinnati Bengals / 2nd / 46th pick / 2021
