Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
1.0,Philadelphia Eagles,17.0,350.0,556.0,62.9,3057.0,22.0,4.0,17.0,85.0,3.1,6.4,5.8,10.1,179.8,81.6,70.0,491.0,124.0,97.0,11.2,4.9,4.4,61.34
2.0,New Orleans Saints,17.0,322.0,536.0,60.1,3134.0,17.0,3.2,7.0,67.0,1.3,6.4,6.4,10.6,184.4,83.8,48.0,279.0,87.0,77.0,8.2,5.4,5.4,-27.47
3.0,New York Jets,17.0,347.0,556.0,62.4,3220.0,15.0,2.7,12.0,73.0,2.2,6.3,5.9,10.2,189.4,80.5,45.0,306.0,130.0,81.0,7.5,5.4,5.0,3.76
4.0,Washington Commanders,17.0,308.0,514.0,59.9,3252.0,26.0,5.1,9.0,68.0,1.8,6.9,7.1,11.5,191.3,90.2,43.0,279.0,107.0,88.0,7.7,5.8,6.0,-20.42
5.0,Cleveland Browns,17.0,315.0,519.0,60.7,3336.0,20.0,3.9,11.0,85.0,2.1,6.8,6.7,11.3,196.2,85.2,34.0,211.0,66.0,69.0,6.1,6.0,5.9,-36.46
6.0,Green Bay Packers,17.0,314.0,478.0,65.7,3349.0,22.0,4.6,17.0,63.0,3.6,7.4,6.8,11.3,197.0,88.3,34.0,204.0,87.0,68.0,6.6,6.5,5.9,-31.99
7.0,Los Angeles Chargers,17.0,310.0,505.0,61.4,3406.0,24.0,4.8,14.0,64.0,2.8,7.3,7.0,11.9,200.4,88.0,40.0,287.0,77.0,77.0,7.3,6.2,6.0,-37.07
8.0,Dallas Cowboys,17.0,345.0,550.0,62.7,3415.0,23.0,4.2,16.0,59.0,2.9,6.8,6.4,10.9,200.9,84.7,54.0,352.0,110.0,93.0,8.9,5.7,5.2,7.43
9.0,Buffalo Bills,16.0,362.0,570.0,63.5,3433.0,21.0,3.7,17.0,90.0,3.0,6.5,5.9,10.3,214.6,82.1,40.0,288.0,98.0,93.0,6.6,5.6,5.1,-18.33
10.0,Tampa Bay Buccaneers,17.0,364.0,570.0,63.9,3461.0,29.0,5.1,10.0,59.0,1.8,6.7,6.9,10.4,203.6,92.7,45.0,331.0,104.0,89.0,7.3,5.6,5.8,-59.81
11.0,Houston Texans,17.0,336.0,522.0,64.4,3558.0,15.0,2.9,16.0,65.0,3.1,7.2,6.4,11.2,209.3,82.7,39.0,217.0,78.0,95.0,7.0,6.3,5.6,-51.52
12.0,Indianapolis Colts,17.0,365.0,537.0,68.0,3569.0,25.0,4.7,10.0,62.0,1.9,7.1,7.2,10.5,209.9,96.2,44.0,267.0,90.0,91.0,7.6,6.1,6.2,-68.37
13.0,Denver Broncos,17.0,392.0,605.0,64.8,3574.0,20.0,3.3,15.0,67.0,2.5,6.3,5.9,9.7,210.2,83.1,36.0,245.0,81.0,64.0,5.6,5.6,5.1,-14.65
14.0,Seattle Seahawks,17.0,343.0,547.0,62.7,3595.0,23.0,4.2,14.0,81.0,2.6,7.1,6.8,11.3,211.5,87.3,45.0,296.0,98.0,75.0,7.6,6.1,5.8,-84.93
15.0,New York Giants,17.0,349.0,568.0,61.4,3638.0,21.0,3.7,6.0,75.0,1.1,6.9,7.1,11.2,214.0,89.9,41.0,271.0,106.0,73.0,6.7,6.0,6.2,-69.2
16.0,Cincinnati Bengals,16.0,329.0,559.0,58.9,3665.0,17.0,3.0,13.0,75.0,2.3,6.8,6.4,11.6,229.1,80.1,30.0,163.0,102.0,57.0,5.1,6.2,5.8,-31.64
17.0,New England Patriots,17.0,364.0,596.0,61.1,3681.0,28.0,4.7,19.0,69.0,3.2,6.8,6.3,11.1,216.5,83.5,54.0,348.0,93.0,72.0,8.3,5.7,5.2,25.49
18.0,Chicago Bears,17.0,323.0,481.0,67.2,3716.0,22.0,4.6,14.0,50.0,2.9,8.0,7.6,11.9,218.6,94.4,20.0,124.0,43.0,67.0,4.0,7.4,7.0,-131.85
19.0,Kansas City Chiefs,17.0,408.0,619.0,65.9,3756.0,33.0,5.3,11.0,85.0,1.8,6.7,7.0,10.2,220.9,95.3,55.0,388.0,118.0,89.0,8.2,5.6,5.8,-49.49
20.0,Pittsburgh Steelers,17.0,332.0,542.0,61.3,3779.0,29.0,5.4,20.0,82.0,3.7,7.5,6.9,12.2,222.3,86.8,40.0,287.0,84.0,68.0,6.9,6.5,5.9,-65.82
21.0,San Francisco 49ers,17.0,389.0,593.0,65.6,3789.0,20.0,3.4,20.0,78.0,3.4,6.9,6.1,10.5,222.9,82.7,44.0,307.0,121.0,77.0,6.9,5.9,5.2,30.77
22.0,Los Angeles Rams,17.0,375.0,556.0,67.4,3842.0,23.0,4.1,16.0,58.0,2.9,7.4,6.9,10.9,226.0,90.8,38.0,250.0,80.0,68.0,6.4,6.5,6.0,-85.14
23.0,Carolina Panthers,17.0,383.0,580.0,66.0,3868.0,25.0,4.3,10.0,62.0,1.7,7.1,7.2,10.7,227.5,93.7,35.0,230.0,91.0,88.0,5.7,6.3,6.4,-82.35
24.0,Arizona Cardinals,17.0,414.0,593.0,69.8,3915.0,29.0,4.9,11.0,77.0,1.9,7.1,7.2,10.1,230.3,98.2,36.0,266.0,106.0,87.0,5.7,6.2,6.4,-78.0
25.0,Atlanta Falcons,17.0,372.0,561.0,66.3,3942.0,26.0,4.6,10.0,69.0,1.8,7.3,7.4,11.0,231.9,95.7,21.0,148.0,69.0,57.0,3.6,6.8,6.9,-112.41
26.0,Baltimore Ravens,17.0,394.0,593.0,66.4,3947.0,20.0,3.4,14.0,77.0,2.4,7.2,6.8,10.8,232.2,88.7,48.0,305.0,95.0,77.0,7.5,6.2,5.8,-56.18
27.0,Miami Dolphins,17.0,416.0,624.0,66.7,3992.0,27.0,4.3,8.0,71.0,1.3,6.9,7.2,10.3,234.8,95.3,40.0,290.0,101.0,75.0,6.0,6.0,6.3,-70.3
28.0,Jacksonville Jaguars,17.0,385.0,601.0,64.1,4055.0,25.0,4.2,14.0,95.0,2.3,7.1,6.9,11.1,238.5,89.1,35.0,203.0,113.0,80.0,5.5,6.4,6.2,-70.33
29.0,Las Vegas Raiders,17.0,399.0,590.0,67.6,4129.0,25.0,4.2,6.0,55.0,1.0,7.3,7.7,10.8,242.9,98.8,27.0,192.0,94.0,68.0,4.4,6.7,7.1,-119.4
30.0,Detroit Lions,17.0,353.0,560.0,63.0,4179.0,26.0,4.6,12.0,62.0,2.1,7.9,7.9,12.6,245.8,94.2,39.0,267.0,100.0,76.0,6.5,7.0,6.9,-107.31
31.0,Minnesota Vikings,17.0,408.0,617.0,66.1,4515.0,23.0,3.7,15.0,87.0,2.4,7.7,7.4,11.7,265.6,91.6,38.0,241.0,88.0,81.0,5.8,6.9,6.6,-99.95
32.0,Tennessee Titans,17.0,439.0,671.0,65.4,4671.0,29.0,4.3,14.0,78.0,2.1,7.4,7.3,11.2,274.8,93.0,39.0,264.0,104.0,77.0,5.5,6.6,6.5,-109.62
,Avg Team,,362.7,564.7,64.2,3701.2,23.4,4.2,13.1,71.7,2.3,7.0,6.8,10.9,218.5,89.1,40.5,268.7,95.2,77.9,6.7,6.12,5.9,-51.9
,League Total,,11605.0,18069.0,64.2,118438.0,750.0,4.2,418.0,2293.0,2.3,7.0,6.8,10.9,218.5,89.1,1297.0,8597.0,3045.0,2494.0,6.7,6.12,5.9,
,Avg Tm/G,,21.4,33.3,64.2,218.5,1.4,4.2,0.8,4.2,2.3,7.0,6.8,10.9,218.5,89.1,2.4,15.9,5.6,4.6,6.7,6.12,5.9,
