Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Patrick Mahomes,KAN,3,20,0,8,8.0,2023,120
Isiah Pacheco,KAN,8,40,0,19,8.0,2023,120
Clyde Edwards-Helaire,KAN,1,4,0,4,8.0,2023,120
Mecole Hardman,KAN,1,3,0,3,8.0,2023,120
Travis Kelce,KAN,0,0,0,0,8.0,2023,120
Rashee Rice,KAN,0,0,0,0,8.0,2023,120
Justin Watson,KAN,0,0,0,0,8.0,2023,120
Marquez Valdes-Scantling,KAN,0,0,0,0,8.0,2023,120
Noah Gray,KAN,0,0,0,0,8.0,2023,120
Skyy Moore,KAN,0,0,0,0,8.0,2023,120
Blake Bell,KAN,0,0,0,0,8.0,2023,120
Jerick McKinnon,KAN,2,-2,0,1,8.0,2023,120
Kadarius Toney,KAN,1,-3,0,-3,8.0,2023,120
Russell Wilson,DEN,8,30,0,8,8.0,2023,120
Javonte Williams,DEN,27,85,0,15,8.0,2023,120
Jaleel McLaughlin,DEN,4,33,0,13,8.0,2023,120
Samaje Perine,DEN,1,5,0,5,8.0,2023,120
Jerry Jeudy,DEN,0,0,0,0,8.0,2023,120
Courtland Sutton,DEN,0,0,0,0,8.0,2023,120
Marvin Mims,DEN,0,0,0,0,8.0,2023,120
