Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Matthew Stafford,LAR,1,9,0,9,8.0,2023,109
Brett Rypien,LAR,0,0,0,0,8.0,2023,109
Royce Freeman,LAR,9,44,1,10,8.0,2023,109
Darrell Henderson,LAR,12,31,0,7,8.0,2023,109
Tutu Atwell,LAR,2,8,0,8,8.0,2023,109
Tyler Higbee,LAR,0,0,0,0,8.0,2023,109
Puka Nacua,LAR,0,0,0,0,8.0,2023,109
Cooper Kupp,LAR,0,0,0,0,8.0,2023,109
Ben Skowronek,LAR,0,0,0,0,8.0,2023,109
Dak Prescott,DAL,4,19,0,9,8.0,2023,109
Cooper Rush,DAL,3,-3,0,-1,8.0,2023,109
Tony Pollard,DAL,12,53,0,13,8.0,2023,109
Rico Dowdle,DAL,5,18,0,7,8.0,2023,109
CeeDee Lamb,DAL,1,12,0,12,8.0,2023,109
Brandin Cooks,DAL,1,3,0,3,8.0,2023,109
Jake Ferguson,DAL,0,0,0,0,8.0,2023,109
Michael Gallup,DAL,0,0,0,0,8.0,2023,109
KaVontae Turpin,DAL,0,0,0,0,8.0,2023,109
Luke Schoonmaker,DAL,0,0,0,0,8.0,2023,109
Sean McKeon,DAL,0,0,0,0,8.0,2023,109
Jalen Tolbert,DAL,0,0,0,0,8.0,2023,109
Hunter Luepke,DAL,0,0,0,0,8.0,2023,109
