Unnamed: 0,BUF,SEA,week,year,game_id
First Downs,29,17,8.0,2024,117
Rush-Yds-TDs,34-164-2,17-32-1,8.0,2024,117
Cmp-Att-Yd-TD-INT,24-34-283-2-1,21-29-212-0-1,8.0,2024,117
Sacked-Yards,1-2,1-11,8.0,2024,117
Net Pass Yards,281,201,8.0,2024,117
Total Yards,445,233,8.0,2024,117
Fumbles-Lost,1-0,3-1,8.0,2024,117
Turnovers,1,2,8.0,2024,117
Penalties-Yards,13-85,11-82,8.0,2024,117
Third Down Conv.,8-15,1-7,8.0,2024,117
Fourth Down Conv.,1-1,0-1,8.0,2024,117
Time of Possession,38:03,21:57,8.0,2024,117
