Unnamed: 0,GNB,JAX,week,year,game_id
First Downs,22,19,8.0,2024,115
Rush-Yds-TDs,39-170-2,23-91-1,8.0,2024,115
Cmp-Att-Yd-TD-INT,18-27-252-1-1,21-32-308-2-1,8.0,2024,115
Sacked-Yards,1-0,1-9,8.0,2024,115
Net Pass Yards,252,299,8.0,2024,115
Total Yards,422,390,8.0,2024,115
Fumbles-Lost,0-0,2-1,8.0,2024,115
Turnovers,1,2,8.0,2024,115
Penalties-Yards,3-20,8-59,8.0,2024,115
Third Down Conv.,3-11,1-9,8.0,2024,115
Fourth Down Conv.,0-0,1-1,8.0,2024,115
Time of Possession,34:09,25:51,8.0,2024,115
