Quarter,Time,Down,ToGo,Location,CAR,DEN,Detail,EPB,EPA,week,year,game_id
2.0,13:34,1.0,8.0,CAR 8,7.0,0.0,Bo Nix pass complete short right to Lil'Jordan Humphrey for 6 yards (tackle by Michael Jackson),5.37,5.72,8.0,2024,121
2.0,13:12,2.0,2.0,CAR 2,7.0,0.0,Javonte Williams right guard for -1 yards (tackle by LaBryan Ray and Jadeveon Clowney),5.72,4.72,8.0,2024,121
2.0,12:34,,,,,,Timeout #1 by Denver Broncos,,,8.0,2024,121
2.0,12:34,3.0,3.0,CAR 3,7.0,6.0,"Bo Nix pass complete short left to Nate Adkins for 3 yards, touchdown",4.72,7.0,8.0,2024,121
2.0,12:29,,,CAR 15,7.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,8.0,2024,121
2.0,12:29,,,DEN 35,7.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,121
2.0,12:29,1.0,10.0,CAR 30,7.0,7.0,Chuba Hubbard left tackle for 2 yards (tackle by John Franklin-Myers),0.94,0.66,8.0,2024,121
2.0,11:49,2.0,8.0,CAR 32,7.0,7.0,"Bryce Young pass complete short right to David Moore for 3 yards (tackle by Brandon Jones). Penalty on Jalen Coker: Offensive Holding, 10 yards (accepted)",0.66,-0.28,8.0,2024,121
2.0,11:24,2.0,15.0,CAR 25,7.0,7.0,Bryce Young pass complete short right to Miles Sanders for 1 yard (tackle by Brandon Jones),-0.28,-0.82,8.0,2024,121
2.0,10:50,3.0,14.0,CAR 26,7.0,7.0,Bryce Young pass complete short middle to Xavier Legette for 5 yards (tackle by Levi Wallace),-0.82,-1.31,8.0,2024,121
2.0,10:08,4.0,9.0,CAR 31,7.0,7.0,"Johnny Hekker punts 53 yards, returned by Marvin Mims for no gain (tackle by Jon Rhattigan and Claudin Cherelus). Penalty on Keidron Smith: Offensive Holding, 8 yards (accepted)",-1.31,0.38,8.0,2024,121
2.0,9:57,1.0,10.0,DEN 8,7.0,7.0,Javonte Williams left end for 2 yards (tackle by Josey Jewell),-0.38,-0.63,8.0,2024,121
2.0,9:33,2.0,8.0,DEN 10,7.0,7.0,Bo Nix pass complete short right to Courtland Sutton for 6 yards (tackle by Michael Jackson),-0.63,-0.48,8.0,2024,121
2.0,8:47,3.0,2.0,DEN 16,7.0,7.0,Bo Nix pass complete short middle to Lil'Jordan Humphrey for 6 yards (tackle by Demani Richardson),-0.48,0.41,8.0,2024,121
2.0,8:22,1.0,10.0,DEN 22,7.0,7.0,Bo Nix pass complete deep right to Courtland Sutton for 37 yards (tackle by Demani Richardson),0.41,2.85,8.0,2024,121
2.0,7:48,1.0,10.0,CAR 41,7.0,7.0,Bo Nix pass complete deep right to Adam Trautman for 17 yards,2.85,3.97,8.0,2024,121
2.0,7:20,1.0,10.0,CAR 24,7.0,7.0,Javonte Williams right end for 5 yards (tackle by Trevin Wallace),3.97,4.12,8.0,2024,121
2.0,6:56,2.0,5.0,CAR 19,7.0,13.0,"Bo Nix pass complete deep right to Adam Trautman for 19 yards, touchdown",4.12,7.0,8.0,2024,121
2.0,6:51,,,CAR 15,7.0,14.0,Wil Lutz kicks extra point good,0.0,0.0,8.0,2024,121
2.0,6:51,,,DEN 35,7.0,14.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,121
2.0,6:51,1.0,10.0,CAR 30,7.0,14.0,Bryce Young pass complete short middle to David Moore for 11 yards (tackle by Riley Moss),0.94,1.66,8.0,2024,121
2.0,6:12,1.0,10.0,CAR 41,7.0,14.0,Chuba Hubbard left guard for 2 yards (tackle by Kwon Alexander and Jonathon Cooper),1.66,1.39,8.0,2024,121
2.0,5:34,2.0,8.0,CAR 43,7.0,14.0,Chuba Hubbard up the middle for 6 yards (tackle by Justin Strnad and Nik Bonitto),1.39,1.49,8.0,2024,121
2.0,4:53,3.0,2.0,CAR 49,7.0,14.0,"Bryce Young pass incomplete deep right intended for Jonathan Mingo. Penalty on Ikem Ekwonu: Offensive Holding, 10 yards (declined)",1.49,-0.13,8.0,2024,121
2.0,4:46,,,,,,Timeout #2 by Carolina Panthers,,,8.0,2024,121
2.0,4:46,4.0,2.0,CAR 49,7.0,14.0,Bryce Young pass complete short left to Miles Sanders for -1 yards (tackle by Patrick Surtain),-0.13,-2.39,8.0,2024,121
2.0,4:41,1.0,10.0,CAR 48,7.0,14.0,Bo Nix pass incomplete deep right intended for Lil'Jordan Humphrey,2.39,1.85,8.0,2024,121
2.0,4:35,2.0,10.0,CAR 48,7.0,14.0,Bo Nix pass complete deep middle to Courtland Sutton for 16 yards (tackle by Demani Richardson),1.85,3.45,8.0,2024,121
2.0,4:09,1.0,10.0,CAR 32,7.0,14.0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 2 yards (tackle by Michael Jackson),3.45,3.17,8.0,2024,121
2.0,3:31,2.0,8.0,CAR 30,7.0,14.0,Bo Nix pass incomplete short left intended for Courtland Sutton (defended by Jaycee Horn),3.17,2.48,8.0,2024,121
2.0,3:26,,,,,,Timeout #2 by Denver Broncos,,,8.0,2024,121
2.0,3:26,3.0,8.0,CAR 30,7.0,14.0,Jaleel McLaughlin right end for 10 yards (tackle by Michael Jackson),2.48,4.24,8.0,2024,121
2.0,3:00,1.0,10.0,CAR 20,7.0,14.0,Bo Nix pass complete short right to Adam Trautman for 12 yards (tackle by Trevin Wallace),4.24,5.37,8.0,2024,121
2.0,2:26,1.0,8.0,CAR 8,7.0,14.0,Bo Nix pass incomplete short right intended for Lil'Jordan Humphrey,5.37,4.57,8.0,2024,121
