Unnamed: 0,BAL,CLE,week,year,game_id
First Downs,22,22,8.0,2024,112
Rush-Yds-TDs,21-124-1,23-80-0,8.0,2024,112
Cmp-Att-Yd-TD-INT,23-38-289-2-0,27-41-334-3-0,8.0,2024,112
Sacked-Yards,3-26,2-13,8.0,2024,112
Net Pass Yards,263,321,8.0,2024,112
Total Yards,387,401,8.0,2024,112
Fumbles-Lost,0-0,1-1,8.0,2024,112
Turnovers,0,1,8.0,2024,112
Penalties-Yards,7-53,7-74,8.0,2024,112
Third Down Conv.,2-10,8-15,8.0,2024,112
Fourth Down Conv.,0-2,0-0,8.0,2024,112
Time of Possession,28:54,31:06,8.0,2024,112
