Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Ravens to receive the opening kickoff.",,,8.0,2024,112
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 66 yards, returned by Chris Collier for 24 yards (tackle by D'Anthony Bell and Ogbonnia Okoronkwo)",0.0,0.48,8.0,2024,112
1.0,14:54,1.0,10.0,BAL 23,0.0,0.0,Lamar Jackson pass complete short right to Charlie Kolar for 9 yards (tackle by Jeremiah Owusu-Koramoah),0.48,1.15,8.0,2024,112
1.0,14:15,2.0,1.0,BAL 32,0.0,0.0,Justice Hill left end for 5 yards (tackle by Juan Thornhill),1.15,1.4,8.0,2024,112
1.0,13:52,1.0,10.0,BAL 37,0.0,0.0,Lamar Jackson pass complete short middle to Zay Flowers for -1 yards (tackle by Jeremiah Owusu-Koramoah),1.4,0.72,8.0,2024,112
1.0,13:13,2.0,11.0,BAL 36,0.0,0.0,Lamar Jackson pass complete short right to Rashod Bateman for 28 yards (tackle by Martin Emerson),0.72,3.18,8.0,2024,112
1.0,12:33,1.0,10.0,CLE 36,0.0,0.0,Derrick Henry right tackle for 9 yards (tackle by Denzel Ward and Grant Delpit),3.18,3.85,8.0,2024,112
1.0,12:00,2.0,1.0,CLE 27,0.0,0.0,Lamar Jackson pass complete short middle to Mark Andrews for 11 yards (tackle by Juan Thornhill),3.85,4.51,8.0,2024,112
1.0,11:18,1.0,10.0,CLE 16,0.0,0.0,Derrick Henry up the middle for 1 yard (tackle by Nathaniel Watson and Mohamoud Diabate),4.51,4.05,8.0,2024,112
1.0,10:47,2.0,9.0,CLE 15,0.0,0.0,"Lamar Jackson scrambles right end for no gain (tackle by Juan Thornhill). Penalty on Denzel Ward: Defensive Holding, 5 yards (offset) . Penalty on Isaiah Likely: Illegal Formation, 5 yards (offset) (no play)",4.05,4.05,8.0,2024,112
1.0,10:19,2.0,9.0,CLE 15,0.0,0.0,"Lamar Jackson pass incomplete short right intended for Isaiah Likely (defended by Grant Delpit). Penalty on Ronnie Stanley: Offensive Holding, 10 yards (accepted) (no play)",4.05,2.74,8.0,2024,112
1.0,10:15,2.0,19.0,CLE 25,0.0,0.0,Lamar Jackson pass complete short left to Isaiah Likely for 14 yards (tackle by Grant Delpit),2.74,3.94,8.0,2024,112
1.0,9:30,3.0,5.0,CLE 11,0.0,0.0,Lamar Jackson pass complete short right to Mark Andrews for 4 yards (tackle by Martin Emerson),3.94,3.01,8.0,2024,112
1.0,8:49,4.0,1.0,CLE 7,0.0,0.0,Derrick Henry right guard for -2 yards (tackle by Jeremiah Owusu-Koramoah and Maurice Hurst),3.01,0.38,8.0,2024,112
1.0,8:45,1.0,10.0,CLE 10,0.0,0.0,Nick Chubb left tackle for 3 yards (tackle by Trenton Simpson),-0.38,-0.56,8.0,2024,112
1.0,8:16,2.0,7.0,CLE 13,0.0,0.0,Jameis Winston pass complete deep left to David Njoku for 20 yards (tackle by Kyle Hamilton),-0.56,1.14,8.0,2024,112
1.0,7:33,1.0,10.0,CLE 33,0.0,0.0,Jameis Winston pass incomplete short left intended for Nick Chubb,1.14,0.59,8.0,2024,112
1.0,7:31,2.0,10.0,CLE 33,0.0,0.0,Nick Chubb left end for 6 yards (tackle by Kyle Van Noy and Kyle Hamilton),0.59,0.7,8.0,2024,112
1.0,6:42,3.0,4.0,CLE 39,0.0,0.0,Jameis Winston pass complete short right to Elijah Moore for 6 yards (tackle by Kyle Hamilton),0.7,1.93,8.0,2024,112
1.0,6:07,1.0,10.0,CLE 45,0.0,0.0,Nick Chubb left tackle for 6 yards (tackle by Brent Urban),1.93,2.19,8.0,2024,112
1.0,5:25,2.0,4.0,BAL 49,0.0,0.0,Jameis Winston pass complete deep right to Jerry Jeudy for 19 yards (tackle by Kyle Hamilton),2.19,3.58,8.0,2024,112
1.0,4:47,1.0,10.0,BAL 30,0.0,0.0,"D'Onta Foreman right tackle for no gain (tackle by Roquan Smith and Eddie Jackson). Penalty on Wyatt Teller: Offensive Holding, 10 yards (accepted) (no play)",3.58,2.92,8.0,2024,112
