Unnamed: 0,CAR,DEN,week,year,game_id
First Downs,16,23,8.0,2024,121
Rush-Yds-TDs,20-69-0,32-102-1,8.0,2024,121
Cmp-Att-Yd-TD-INT,24-38-224-2-2,30-39-315-3-0,8.0,2024,121
Sacked-Yards,2-9,2-17,8.0,2024,121
Net Pass Yards,215,298,8.0,2024,121
Total Yards,284,400,8.0,2024,121
Fumbles-Lost,0-0,2-2,8.0,2024,121
Turnovers,2,2,8.0,2024,121
Penalties-Yards,8-49,4-43,8.0,2024,121
Third Down Conv.,5-14,11-17,8.0,2024,121
Fourth Down Conv.,1-4,1-2,8.0,2024,121
Time of Possession,26:50,33:10,8.0,2024,121
