Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Kyler Murray,ARI,0,0,0,0,0,8.0,2024,114
James Conner,ARI,3,2,16,0,9,8.0,2024,114
Trey Benson,ARI,0,0,0,0,0,8.0,2024,114
Trey McBride,ARI,11,9,124,0,37,8.0,2024,114
Marvin Harrison Jr.,ARI,7,6,111,1,25,8.0,2024,114
Michael Wilson,ARI,6,5,31,1,12,8.0,2024,114
Elijah Higgins,ARI,2,2,13,0,7,8.0,2024,114
Greg Dortch,ARI,2,1,9,0,9,8.0,2024,114
Zay Jones,ARI,1,1,3,0,3,8.0,2024,114
Emari Demercado,ARI,1,0,0,0,0,8.0,2024,114
Tua Tagovailoa,MIA,0,0,0,0,0,8.0,2024,114
De'Von Achane,MIA,8,6,50,1,16,8.0,2024,114
Raheem Mostert,MIA,2,1,11,0,11,8.0,2024,114
Jaylen Wright,MIA,0,0,0,0,0,8.0,2024,114
Alec Ingold,MIA,3,3,19,0,16,8.0,2024,114
Tyreek Hill,MIA,9,6,72,0,30,8.0,2024,114
Jaylen Waddle,MIA,6,4,45,0,20,8.0,2024,114
Jonnu Smith,MIA,6,4,20,0,12,8.0,2024,114
Julian Hill,MIA,3,3,11,0,6,8.0,2024,114
D'Wayne Eskridge,MIA,1,1,6,0,6,8.0,2024,114
