Unnamed: 0,IND,HOU,week,year,game_id
First Downs,17,21,8.0,2024,113
Rush-Yds-TDs,26-163-1,29-96-1,8.0,2024,113
Cmp-Att-Yd-TD-INT,10-32-175-1-1,25-37-285-1-0,8.0,2024,113
Sacked-Yards,5-35,2-18,8.0,2024,113
Net Pass Yards,140,267,8.0,2024,113
Total Yards,303,363,8.0,2024,113
Fumbles-Lost,2-1,1-1,8.0,2024,113
Turnovers,2,1,8.0,2024,113
Penalties-Yards,9-57,5-30,8.0,2024,113
Third Down Conv.,2-13,4-13,8.0,2024,113
Fourth Down Conv.,2-2,0-0,8.0,2024,113
Time of Possession,24:40,35:20,8.0,2024,113
