Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,,8.0,2024,110
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,110
1.0,15:00,1.0,10.0,TAM 30,0.0,0.0,Rachaad White right guard for 8 yards (tackle by David Onyemata),0.94,1.47,8.0,2024,110
1.0,14:23,2.0,2.0,TAM 38,0.0,0.0,"Rachaad White up the middle for 5 yards. Rachaad White fumbles (tackle by James Smith-Williams), recovered by Jessie Bates at TB-43 Replay Assistant challenged the fumble ruling, and the play was upheld.",1.47,-2.72,8.0,2024,110
1.0,14:11,1.0,10.0,TAM 43,0.0,0.0,Bijan Robinson left tackle for 1 yard (tackle by Calijah Kancey),2.72,2.31,8.0,2024,110
1.0,13:38,2.0,9.0,TAM 42,0.0,0.0,Kirk Cousins pass complete short left to Drake London for 6 yards (tackle by Tyrek Funderburk and Lavonte David),2.31,2.41,8.0,2024,110
1.0,13:02,3.0,3.0,TAM 36,0.0,0.0,Kirk Cousins pass incomplete short right intended for Drake London,2.41,0.89,8.0,2024,110
1.0,12:59,4.0,3.0,TAM 36,6.0,0.0,"Kirk Cousins pass complete deep right to Kyle Pitts for 36 yards, touchdown. Penalty on Kaevon Merriweather: Defensive Holding, 5 yards (declined)",0.89,7.0,8.0,2024,110
1.0,12:52,,,TAM 15,7.0,0.0,Younghoe Koo kicks extra point good,0.0,0.0,8.0,2024,110
1.0,12:52,,,ATL 35,7.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,110
1.0,12:52,1.0,10.0,TAM 30,7.0,0.0,Baker Mayfield pass complete short right to Bucky Irving for 8 yards (tackle by Nathan Landman and Jessie Bates),0.94,1.47,8.0,2024,110
1.0,12:15,2.0,2.0,TAM 38,7.0,0.0,Bucky Irving right end for 2 yards (tackle by Matt Judon and Kaden Elliss),1.47,1.6,8.0,2024,110
1.0,11:32,1.0,10.0,TAM 40,7.0,0.0,Rachaad White right guard for 5 yards (tackle by Grady Jarrett and Kaden Elliss),1.6,1.73,8.0,2024,110
1.0,10:50,2.0,5.0,TAM 45,7.0,0.0,Baker Mayfield pass complete short right to Bucky Irving for -3 yards (tackle by Demone Harris),1.73,0.63,8.0,2024,110
1.0,10:08,3.0,8.0,TAM 42,7.0,0.0,Baker Mayfield pass complete short right to Cade Otton for 7 yards (tackle by Jessie Bates),0.63,-0.13,8.0,2024,110
1.0,9:47,4.0,1.0,TAM 49,7.0,0.0,"Baker Mayfield up the middle for 2 yards. Baker Mayfield fumbles (forced by Nathan Landman), recovered by Baker Mayfield at ATL-49",-0.13,2.32,8.0,2024,110
1.0,9:08,1.0,10.0,ATL 49,7.0,0.0,Bucky Irving right tackle for 15 yards (tackle by Nathan Landman),2.32,3.31,8.0,2024,110
1.0,8:26,1.0,10.0,ATL 34,7.0,0.0,Bucky Irving right tackle for 2 yards (tackle by Ta'Quon Graham and Zach Harrison),3.31,3.04,8.0,2024,110
1.0,7:45,2.0,8.0,ATL 32,7.0,0.0,Baker Mayfield pass complete short middle to Sterling Shepard for 4 yards (tackle by Arnold Ebiketie),3.04,2.87,8.0,2024,110
1.0,7:07,3.0,4.0,ATL 28,7.0,0.0,Rachaad White left guard for 5 yards (tackle by AJ Terrell and Richie Grant),2.87,4.04,8.0,2024,110
1.0,6:32,1.0,10.0,ATL 23,7.0,0.0,Bucky Irving left end for 8 yards (tackle by Matt Judon),4.04,4.75,8.0,2024,110
1.0,5:54,2.0,2.0,ATL 15,7.0,0.0,Bucky Irving right guard for 8 yards (tackle by Mike Hughes),4.75,5.6,8.0,2024,110
1.0,5:10,1.0,7.0,ATL 7,7.0,0.0,Rachaad White right guard for 2 yards (tackle by Grady Jarrett and Eddie Goldman),5.6,5.15,8.0,2024,110
1.0,4:31,2.0,5.0,ATL 5,7.0,0.0,Baker Mayfield pass incomplete short right intended for Cade Otton,5.15,4.26,8.0,2024,110
1.0,4:25,3.0,5.0,ATL 5,7.0,6.0,"Baker Mayfield pass complete short middle to Cade Otton for 5 yards, touchdown",4.26,7.0,8.0,2024,110
1.0,4:22,,,ATL 15,7.0,7.0,Chase McLaughlin kicks extra point good,0.0,0.0,8.0,2024,110
1.0,4:22,,,TAM 35,7.0,7.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,110
1.0,4:22,1.0,10.0,ATL 30,7.0,7.0,Kirk Cousins pass complete deep middle to Darnell Mooney for 28 yards (tackle by Lavonte David and Tyrek Funderburk),0.94,2.79,8.0,2024,110
1.0,3:35,1.0,10.0,TAM 42,7.0,7.0,Tyler Allgeier right end for 2 yards (tackle by Lavonte David and Zyon McCollum),2.79,2.51,8.0,2024,110
1.0,2:56,2.0,8.0,TAM 40,7.0,7.0,Kirk Cousins pass incomplete short middle intended for Darnell Mooney,2.51,1.82,8.0,2024,110
1.0,2:51,3.0,8.0,TAM 40,7.0,7.0,Kirk Cousins pass incomplete short right,1.82,0.59,8.0,2024,110
1.0,2:48,4.0,8.0,TAM 40,7.0,7.0,Bradley Pinion punts 37 yards downed by Natrone Brooks,0.59,0.38,8.0,2024,110
1.0,2:37,1.0,10.0,TAM 3,7.0,7.0,Sean Tucker right guard for no gain (tackle by Jessie Bates),-0.38,-0.78,8.0,2024,110
1.0,2:02,2.0,10.0,TAM 3,7.0,7.0,Baker Mayfield pass complete short right to Cade Otton for 11 yards (tackle by Kaden Elliss and James Smith-Williams),-0.78,-0.28,8.0,2024,110
1.0,1:24,1.0,10.0,TAM 14,7.0,7.0,Baker Mayfield pass complete short left to Sean Tucker for 12 yards (tackle by AJ Terrell),-0.28,0.67,8.0,2024,110
1.0,0:46,1.0,10.0,TAM 26,7.0,7.0,Sean Tucker up the middle for 3 yards (tackle by AJ Terrell),0.67,0.54,8.0,2024,110
1.0,0:08,2.0,7.0,TAM 29,7.0,7.0,"Penalty on Tristan Wirfs: False Start, 5 yards (accepted) (no play)",0.54,-0.14,8.0,2024,110
2.0,15:00,2.0,12.0,TAM 24,7.0,7.0,Baker Mayfield pass complete short right to Trey Palmer for 4 yards (tackle by Clark Phillips),-0.14,-0.3,8.0,2024,110
2.0,14:24,3.0,8.0,TAM 28,7.0,7.0,Baker Mayfield pass complete short left to Cade Otton for 29 yards (tackle by Kaden Elliss),-0.3,2.72,8.0,2024,110
2.0,13:40,1.0,10.0,ATL 43,7.0,7.0,Baker Mayfield pass complete short right to Bucky Irving for 7 yards (tackle by Clark Phillips),2.72,3.12,8.0,2024,110
2.0,13:07,2.0,3.0,ATL 36,7.0,7.0,Bucky Irving up the middle for 5 yards (tackle by DeAundre Alford and JD Bertrand),3.12,3.51,8.0,2024,110
2.0,12:31,1.0,10.0,ATL 31,7.0,7.0,Bucky Irving left guard for 1 yard (tackle by DeAundre Alford),3.51,3.1,8.0,2024,110
2.0,11:51,2.0,9.0,ATL 30,7.0,7.0,Baker Mayfield pass complete short middle to Cade Otton for 3 yards (tackle by James Smith-Williams),3.1,2.81,8.0,2024,110
2.0,11:12,3.0,6.0,ATL 27,7.0,7.0,Baker Mayfield pass complete short right to Cade Otton for 9 yards (tackle by Clark Phillips),2.81,4.37,8.0,2024,110
2.0,10:35,1.0,10.0,ATL 18,7.0,13.0,"Baker Mayfield pass complete short left to Rachaad White for 18 yards, touchdown",4.37,7.0,8.0,2024,110
2.0,10:28,,,ATL 15,7.0,13.0,"Penalty on Jessie Bates: Taunting / Defense, 8 yards (accepted) (no play)",0.0,0.0,8.0,2024,110
2.0,10:28,,,ATL 8,7.0,14.0,Chase McLaughlin kicks extra point good,0.0,0.0,8.0,2024,110
2.0,10:28,,,TAM 35,7.0,14.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,110
2.0,10:28,1.0,10.0,ATL 30,7.0,14.0,Bijan Robinson right end for 7 yards (tackle by Zyon McCollum and K.J. Britt),0.94,1.34,8.0,2024,110
2.0,9:53,2.0,3.0,ATL 37,7.0,14.0,Bijan Robinson right end for 2 yards (tackle by Christian Izien and K.J. Britt),1.34,0.89,8.0,2024,110
2.0,9:24,3.0,1.0,ATL 39,7.0,14.0,Bijan Robinson up the middle for 2 yards (tackle by Jordan Whitehead and Anthony Nelson),0.89,1.66,8.0,2024,110
2.0,8:43,1.0,10.0,ATL 41,7.0,14.0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 6 yards (tackle by Christian Izien),1.66,1.93,8.0,2024,110
2.0,8:03,2.0,4.0,ATL 47,7.0,14.0,Tyler Allgeier up the middle for 4 yards (tackle by Jordan Whitehead and Logan Hall),1.93,2.32,8.0,2024,110
2.0,7:35,1.0,10.0,TAM 49,7.0,14.0,Kirk Cousins pass incomplete deep middle intended for Darnell Mooney (defended by Tyrek Funderburk),2.32,1.78,8.0,2024,110
2.0,7:27,2.0,10.0,TAM 49,13.0,14.0,"Kirk Cousins pass complete short middle to Kyle Pitts for 49 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",1.78,7.0,8.0,2024,110
2.0,7:19,,,TAM 15,14.0,14.0,Younghoe Koo kicks extra point good,0.0,0.0,8.0,2024,110
2.0,7:19,,,ATL 35,14.0,14.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,110
2.0,7:19,1.0,10.0,TAM 30,14.0,14.0,"Baker Mayfield pass complete short right to Jalen McMillan for no gain (tackle by Clark Phillips). Penalty on Payne Durham: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",0.94,-0.5,8.0,2024,110
2.0,7:00,1.0,25.0,TAM 15,14.0,14.0,Baker Mayfield pass complete short left to Cade Otton for 9 yards (tackle by Kaden Elliss),-0.5,-0.42,8.0,2024,110
2.0,6:21,2.0,16.0,TAM 24,14.0,14.0,Baker Mayfield pass complete short middle to Sterling Shepard for 9 yards (tackle by Nathan Landman),-0.42,0.1,8.0,2024,110
