Unnamed: 0,CHI,WAS,week,year,game_id
First Downs,15,23,8.0,2024,119
Rush-Yds-TDs,33-202-2,32-168-0,8.0,2024,119
Cmp-Att-Yd-TD-INT,10-24-131-0-0,21-38-326-1-0,8.0,2024,119
Sacked-Yards,3-26,2-13,8.0,2024,119
Net Pass Yards,105,313,8.0,2024,119
Total Yards,307,481,8.0,2024,119
Fumbles-Lost,1-1,1-0,8.0,2024,119
Turnovers,1,0,8.0,2024,119
Penalties-Yards,8-60,5-30,8.0,2024,119
Third Down Conv.,2-12,5-15,8.0,2024,119
Fourth Down Conv.,0-1,0-0,8.0,2024,119
Time of Possession,27:44,32:16,8.0,2024,119
