#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,10:02,LVR 30,12,7:23,70,Touchdown,1,Raiders,8.0,2024,120
2,1,0:59,LVR 14,10,5:46,50,Field Goal,1,Raiders,8.0,2024,120
3,2,1:57,LVR 30,3,0:59,2,Punt,1,Raiders,8.0,2024,120
4,2,0:04,LVR 30,1,0:04,-1,End of Half,1,Raiders,8.0,2024,120
5,3,15:00,LVR 30,3,1:35,1,Punt,1,Raiders,8.0,2024,120
6,3,12:31,KAN 28,10,5:51,14,Field Goal,1,Raiders,8.0,2024,120
7,3,5:39,KAN 3,4,2:12,-5,Downs,1,Raiders,8.0,2024,120
8,4,8:44,LVR 30,2,0:44,7,Fumble,1,Raiders,8.0,2024,120
9,4,4:59,LVR 30,13,2:56,70,Touchdown,1,Raiders,8.0,2024,120
