Unnamed: 0,TEN,DET,week,year,game_id
First Downs,23,17,8.0,2024,109
Rush-Yds-TDs,32-158-1,24-164-2,8.0,2024,109
Cmp-Att-Yd-TD-INT,22-38-266-1-2,15-19-94-4-0,8.0,2024,109
Sacked-Yards,1-8,4-33,8.0,2024,109
Net Pass Yards,258,61,8.0,2024,109
Total Yards,416,225,8.0,2024,109
Fumbles-Lost,3-2,2-0,8.0,2024,109
Turnovers,4,0,8.0,2024,109
Penalties-Yards,8-60,3-29,8.0,2024,109
Third Down Conv.,3-11,3-9,8.0,2024,109
Fourth Down Conv.,1-2,0-0,8.0,2024,109
Time of Possession,35:37,24:23,8.0,2024,109
