Quarter,Time,Down,ToGo,Location,IND,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,,8.0,2024,113
1.0,15:00,,,IND 35,0.0,0.0,"Matt Gay kicks off 67 yards, returned by Dameon Pierce for 45 yards (tackle by Ashton Dulin)",0.0,1.8,8.0,2024,113
1.0,14:53,1.0,10.0,HOU 43,0.0,0.0,C.J. Stroud pass incomplete short right intended for Joe Mixon,1.8,1.25,8.0,2024,113
1.0,14:50,2.0,10.0,HOU 43,0.0,0.0,C.J. Stroud pass complete short left to Joe Mixon for 9 yards (tackle by Jaylon Jones),1.25,1.75,8.0,2024,113
1.0,14:06,3.0,1.0,IND 48,0.0,0.0,Dare Ogunbowale up the middle for 4 yards (tackle by Zaire Franklin),1.75,2.65,8.0,2024,113
1.0,13:30,1.0,10.0,IND 44,0.0,0.0,Joe Mixon left guard for 7 yards (tackle by Nick Cross and E.J. Speed),2.65,3.06,8.0,2024,113
1.0,12:53,2.0,3.0,IND 37,0.0,0.0,C.J. Stroud pass complete short middle to Stefon Diggs for 16 yards (tackle by Kenny Moore and Julian Blackmon),3.06,4.17,8.0,2024,113
1.0,12:10,1.0,10.0,IND 21,0.0,0.0,C.J. Stroud pass incomplete short left intended for John Metchie (defended by E.J. Speed),4.17,3.63,8.0,2024,113
1.0,12:04,2.0,10.0,IND 21,0.0,0.0,C.J. Stroud pass incomplete short middle intended for Stefon Diggs (defended by Jaylon Jones),3.63,2.94,8.0,2024,113
1.0,12:00,3.0,10.0,IND 21,0.0,0.0,C.J. Stroud pass complete short left to Tank Dell for 5 yards (tackle by Nick Cross),2.94,2.43,8.0,2024,113
1.0,11:18,4.0,5.0,IND 16,0.0,3.0,Ka'imi Fairbairn 35 yard field goal good,2.43,3.0,8.0,2024,113
1.0,11:15,,,HOU 35,0.0,3.0,"Ka'imi Fairbairn kicks off 60 yards, returned by Ashton Dulin for 55 yards (tackle by D'Angelo Ross and Dare Ogunbowale)",0.0,2.92,8.0,2024,113
1.0,11:06,1.0,10.0,HOU 40,0.0,3.0,Anthony Richardson pass incomplete deep right intended for Michael Pittman (defended by Eric Murray),2.92,2.37,8.0,2024,113
1.0,11:00,2.0,10.0,HOU 40,0.0,3.0,Anthony Richardson pass complete short left to Jonathan Taylor for 12 yards (tackle by Tim Settle),2.37,3.71,8.0,2024,113
1.0,10:22,1.0,10.0,HOU 28,0.0,3.0,Anthony Richardson pass incomplete deep left intended for Mo Alie-Cox (defended by Eric Murray),3.71,3.17,8.0,2024,113
1.0,10:14,2.0,10.0,HOU 28,0.0,3.0,Anthony Richardson pass incomplete short right intended for Josh Downs (defended by Derek Stingley),3.17,2.48,8.0,2024,113
1.0,10:10,3.0,10.0,HOU 28,0.0,3.0,Anthony Richardson pass incomplete deep right intended for Adonai Mitchell,2.48,1.59,8.0,2024,113
1.0,10:03,4.0,10.0,HOU 28,3.0,3.0,Matt Gay 46 yard field goal good,1.59,3.0,8.0,2024,113
1.0,10:00,,,IND 35,3.0,3.0,"Matt Gay kicks off 66 yards, returned by Dameon Pierce for 33 yards (tackle by Segun Olubi)",0.0,1.07,8.0,2024,113
