Unnamed: 0,DAL,SFO,week,year,game_id
First Downs,18,19,8.0,2024,122
Rush-Yds-TDs,19-56-1,36-223-2,8.0,2024,122
Cmp-Att-Yd-TD-INT,25-38-243-2-2,18-26-260-1-0,8.0,2024,122
Sacked-Yards,2-7,2-14,8.0,2024,122
Net Pass Yards,236,246,8.0,2024,122
Total Yards,292,469,8.0,2024,122
Fumbles-Lost,2-0,1-0,8.0,2024,122
Turnovers,2,0,8.0,2024,122
Penalties-Yards,6-30,9-73,8.0,2024,122
Third Down Conv.,4-12,8-16,8.0,2024,122
Fourth Down Conv.,1-2,0-1,8.0,2024,122
Time of Possession,26:48,33:12,8.0,2024,122
