Quarter,Time,Down,ToGo,Location,PHI,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Bengals to receive the opening kickoff.",,,8.0,2024,111
1.0,15:00,,,PHI 35,0.0,0.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,111
1.0,15:00,1.0,10.0,CIN 30,0.0,0.0,Zack Moss right tackle for 3 yards (tackle by Bryce Huff and Reed Blankenship),0.94,0.8,8.0,2024,111
1.0,14:23,2.0,7.0,CIN 33,0.0,0.0,Joe Burrow pass complete short middle to Zack Moss for 6 yards (tackle by Nakobe Dean),0.8,0.89,8.0,2024,111
1.0,13:44,3.0,1.0,CIN 39,0.0,0.0,Joe Burrow pass complete short right to Mike Gesicki for 7 yards (tackle by Reed Blankenship),0.89,1.99,8.0,2024,111
1.0,13:05,1.0,10.0,CIN 46,0.0,0.0,Joe Burrow pass complete short left to Chase Brown for -3 yards (tackle by Nakobe Dean),1.99,1.05,8.0,2024,111
1.0,12:26,2.0,13.0,CIN 43,0.0,0.0,Joe Burrow pass complete short right to Chase Brown for 5 yards (tackle by Darius Slay and Zack Baun),1.05,1.03,8.0,2024,111
1.0,11:43,3.0,8.0,CIN 48,0.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for 12 yards (tackle by Reed Blankenship and Zack Baun),1.03,2.92,8.0,2024,111
1.0,11:08,1.0,10.0,PHI 40,0.0,0.0,Chase Brown left guard for 1 yard (tackle by Zack Baun),2.92,2.51,8.0,2024,111
1.0,10:27,2.0,9.0,PHI 39,0.0,0.0,"Zack Moss right guard for 3 yards. Zack Moss fumbles (forced by Brandon Graham), recovered by Zack Moss at PHI-36",2.51,2.21,8.0,2024,111
1.0,9:46,3.0,6.0,PHI 36,0.0,0.0,Joe Burrow pass complete short left to Zack Moss for 9 yards (tackle by Zack Baun),2.21,3.78,8.0,2024,111
1.0,9:10,1.0,10.0,PHI 27,0.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for 6 yards (tackle by Darius Slay),3.78,4.04,8.0,2024,111
1.0,8:26,2.0,4.0,PHI 21,0.0,0.0,Chase Brown right guard for 2 yards (tackle by Jordan Davis),4.04,3.64,8.0,2024,111
1.0,7:47,3.0,2.0,PHI 19,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 3 yards (tackle by Quinyon Mitchell),3.64,4.51,8.0,2024,111
1.0,7:11,1.0,10.0,PHI 16,0.0,0.0,Joe Burrow pass incomplete short right intended for Chase Brown (defended by Nolan Smith),4.51,3.9,8.0,2024,111
1.0,7:09,2.0,10.0,PHI 16,0.0,0.0,Joe Burrow pass complete short left to Zack Moss for 4 yards (tackle by Nakobe Dean),3.9,3.73,8.0,2024,111
1.0,6:29,3.0,6.0,PHI 12,0.0,0.0,Joe Burrow pass complete short middle to Mike Gesicki for 9 yards (tackle by Quinyon Mitchell),3.73,6.51,8.0,2024,111
1.0,5:47,1.0,3.0,PHI 3,0.0,0.0,Zack Moss right guard for 1 yard (tackle by Nakobe Dean and Zack Baun),6.51,5.72,8.0,2024,111
1.0,5:03,2.0,2.0,PHI 2,0.0,6.0,"Joe Burrow pass complete short right to Ja'Marr Chase for 2 yards, touchdown",5.72,7.0,8.0,2024,111
1.0,4:56,,,PHI 15,0.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,8.0,2024,111
1.0,4:56,,,CIN 35,0.0,7.0,"Evan McPherson kicks off 66 yards, returned by Kenneth Gainwell for 28 yards (tackle by Tycen Anderson)",0.0,0.74,8.0,2024,111
1.0,4:51,1.0,10.0,PHI 27,0.0,7.0,Saquon Barkley left guard for 7 yards (tackle by Sheldon Rankins and Logan Wilson),0.74,1.14,8.0,2024,111
1.0,4:13,2.0,3.0,PHI 34,0.0,7.0,Jalen Hurts scrambles up the middle for 7 yards (tackle by Sam Hubbard),1.14,1.66,8.0,2024,111
1.0,3:31,1.0,10.0,PHI 41,0.0,7.0,Saquon Barkley right end for 2 yards (tackle by Germaine Pratt and Logan Wilson),1.66,1.39,8.0,2024,111
1.0,2:57,2.0,8.0,PHI 43,0.0,7.0,Jalen Hurts pass complete short middle to A.J. Brown for 29 yards (tackle by Cam Taylor-Britt and Logan Wilson),1.39,3.71,8.0,2024,111
1.0,2:15,1.0,10.0,CIN 28,0.0,7.0,Jalen Hurts left tackle for 6 yards (tackle by Logan Wilson and Myles Murphy),3.71,3.98,8.0,2024,111
1.0,1:41,2.0,4.0,CIN 22,0.0,7.0,Saquon Barkley right guard for 6 yards (tackle by Trey Hendrickson),3.98,4.51,8.0,2024,111
1.0,1:01,1.0,10.0,CIN 16,0.0,7.0,Jalen Hurts pass complete short right to DeVonta Smith for -2 yards (tackle by Mike Hilton),4.51,3.64,8.0,2024,111
1.0,0:19,2.0,12.0,CIN 18,0.0,7.0,"Jalen Hurts scrambles up the middle for no gain (tackle by Germaine Pratt). Penalty on Tyler Steen: Offensive Holding, 10 yards (accepted) (no play)",3.64,2.34,8.0,2024,111
2.0,15:00,2.0,22.0,CIN 28,0.0,7.0,Saquon Barkley left end for 7 yards (tackle by Germaine Pratt),2.34,2.61,8.0,2024,111
2.0,14:18,3.0,15.0,CIN 21,0.0,7.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,2.61,2.06,8.0,2024,111
2.0,14:14,4.0,15.0,CIN 21,3.0,7.0,Jake Elliott 39 yard field goal good,2.06,3.0,8.0,2024,111
2.0,14:10,,,PHI 35,3.0,7.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,111
2.0,14:10,1.0,10.0,CIN 30,3.0,7.0,Joe Burrow pass complete deep left to Erick All for 28 yards (tackle by Nolan Smith and C.J. Gardner-Johnson),0.94,2.79,8.0,2024,111
2.0,13:27,1.0,10.0,PHI 42,3.0,7.0,Joe Burrow sacked by and Milton Williams for -12 yards and Nolan Smith for -12 yards,2.79,0.62,8.0,2024,111
2.0,13:03,2.0,22.0,CIN 46,3.0,7.0,Joe Burrow pass incomplete deep middle intended for Andrei Iosivas (defended by Cooper DeJean),0.62,-0.03,8.0,2024,111
2.0,12:59,3.0,22.0,CIN 46,3.0,7.0,Joe Burrow pass complete short right to Mike Gesicki for 24 yards (tackle by Zack Baun),-0.03,3.58,8.0,2024,111
2.0,12:07,1.0,10.0,PHI 30,3.0,7.0,Chase Brown right tackle for 3 yards (tackle by Reed Blankenship),3.58,3.44,8.0,2024,111
2.0,11:28,2.0,7.0,PHI 27,3.0,7.0,Joe Burrow pass incomplete short right intended for Chase Brown,3.44,2.74,8.0,2024,111
2.0,11:24,3.0,7.0,PHI 27,3.0,7.0,Joe Burrow pass complete short left to Mike Gesicki for 11 yards (tackle by Avonte Maddox),2.74,4.51,8.0,2024,111
2.0,11:06,1.0,10.0,PHI 16,3.0,7.0,Joe Burrow pass complete short left to Ja'Marr Chase for 5 yards (tackle by Reed Blankenship),4.51,4.76,8.0,2024,111
2.0,10:26,2.0,5.0,PHI 11,3.0,7.0,Chase Brown left guard for 2 yards (tackle by Nakobe Dean and Reed Blankenship),4.76,4.39,8.0,2024,111
2.0,9:41,3.0,3.0,PHI 9,3.0,7.0,Joe Burrow pass incomplete short right intended for Jermaine Burton (defended by Darius Slay),4.39,2.93,8.0,2024,111
2.0,9:36,4.0,3.0,PHI 9,3.0,10.0,Evan McPherson 27 yard field goal good,2.93,3.0,8.0,2024,111
2.0,9:32,,,CIN 35,3.0,10.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,111
2.0,9:32,1.0,10.0,PHI 30,3.0,10.0,Jalen Hurts pass incomplete short right intended for DeVonta Smith (defended by Cam Taylor-Britt),0.94,0.39,8.0,2024,111
2.0,9:29,2.0,10.0,PHI 30,3.0,10.0,"Jalen Hurts pass incomplete short left. Penalty on Landon Dickerson: Ineligible Downfield Pass, 5 yards (declined)",0.39,-0.3,8.0,2024,111
2.0,9:23,3.0,10.0,PHI 30,3.0,10.0,Jalen Hurts pass complete short right to A.J. Brown for 9 yards (tackle by Cam Taylor-Britt),-0.3,-0.78,8.0,2024,111
2.0,8:50,4.0,1.0,PHI 39,3.0,10.0,Jalen Hurts left guard for 2 yards (tackle by Germaine Pratt and Trey Hendrickson),-0.78,1.66,8.0,2024,111
2.0,8:12,1.0,10.0,PHI 41,3.0,10.0,Saquon Barkley right end for 4 yards (tackle by Sheldon Rankins),1.66,1.66,8.0,2024,111
2.0,7:31,2.0,6.0,PHI 45,3.0,10.0,Kenneth Gainwell right guard for 3 yards (tackle by B.J. Hill),1.66,1.36,8.0,2024,111
2.0,6:49,3.0,3.0,PHI 48,3.0,10.0,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell (defended by Logan Wilson),1.36,-0.19,8.0,2024,111
2.0,6:43,4.0,3.0,PHI 48,3.0,10.0,"Braden Mann punts 52 yards, touchback.",-0.19,-0.28,8.0,2024,111
2.0,6:34,1.0,10.0,CIN 20,3.0,10.0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,0.28,-0.27,8.0,2024,111
2.0,6:30,2.0,10.0,CIN 20,3.0,10.0,Joe Burrow pass complete deep right to Jermaine Burton for 41 yards (tackle by Darius Slay),-0.27,2.98,8.0,2024,111
2.0,5:54,1.0,10.0,PHI 39,3.0,10.0,Chase Brown right end for 3 yards (tackle by Darius Slay),2.98,2.85,8.0,2024,111
2.0,5:22,2.0,7.0,PHI 36,3.0,10.0,Joe Burrow pass incomplete short middle intended for Andrei Iosivas,2.85,2.15,8.0,2024,111
2.0,5:18,3.0,7.0,PHI 36,3.0,10.0,Joe Burrow pass incomplete short middle intended for Mike Gesicki (defended by Reed Blankenship),2.15,0.88,8.0,2024,111
2.0,5:13,4.0,7.0,PHI 36,3.0,10.0,Evan McPherson 54 yard field goal no good,0.88,-1.86,8.0,2024,111
