Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Malik Nabers,NYG,13,7,71,0,4.0,60,8.6,11,1.6,14.7,0,,2,15.4,0,69.7,8.0,2024,123
Wan'Dale Robinson,NYG,5,5,30,0,1.0,-1,-0.2,31,6.2,-0.2,0,,0,0.0,0,91.7,8.0,2024,123
Darius Slayton,NYG,7,4,108,0,4.0,79,19.8,29,7.3,17.4,1,4.0,0,0.0,0,101.8,8.0,2024,123
Theo Johnson,NYG,4,3,35,0,1.0,31,10.3,4,1.3,9.0,0,,1,25.0,0,101.0,8.0,2024,123
Tyrone Tracy Jr.,NYG,3,2,5,0,0.0,-8,-4.0,13,6.5,-4.3,0,,1,33.3,0,70.1,8.0,2024,123
Devin Singletary,NYG,3,2,12,0,,-2,-1.0,14,7.0,1.3,0,,0,0.0,1,34.7,8.0,2024,123
Eric Gray,NYG,1,1,3,0,,-1,-1.0,4,4.0,-1.0,0,,0,0.0,0,79.2,8.0,2024,123
Chris Manhertz,NYG,1,0,0,0,,0,,0,,4.0,0,,0,0.0,0,39.6,8.0,2024,123
Van Jefferson,PIT,5,4,62,0,3.0,52,13.0,10,2.5,11.8,0,,0,0.0,0,118.3,8.0,2024,123
George Pickens,PIT,5,4,74,0,3.0,46,11.5,28,7.0,11.0,1,4.0,0,0.0,0,118.7,8.0,2024,123
Calvin Austin III,PIT,4,3,54,1,3.0,37,12.3,17,5.7,11.0,0,,0,0.0,0,156.2,8.0,2024,123
Najee Harris,PIT,4,3,17,0,1.0,4,1.3,13,4.3,0.5,0,,1,25.0,0,82.3,8.0,2024,123
Pat Freiermuth,PIT,2,2,19,0,1.0,9,4.5,10,5.0,4.5,0,,0,0.0,0,106.2,8.0,2024,123
Jaylen Warren,PIT,3,2,13,0,0.0,6,3.0,7,3.5,5.0,0,,0,0.0,0,75.7,8.0,2024,123
MyCole Pruitt,PIT,1,1,10,0,,7,7.0,3,3.0,7.0,0,,0,0.0,0,108.3,8.0,2024,123
Darnell Washington,PIT,1,1,29,0,1.0,16,16.0,13,13.0,16.0,0,,0,0.0,0,118.7,8.0,2024,123
Scott Miller,PIT,2,0,0,0,,0,,0,,25.0,0,,0,0.0,0,39.6,8.0,2024,123
