Unnamed: 0,KAN,LVR,week,year,game_id
First Downs,23,15,8.0,2024,120
Rush-Yds-TDs,29-82-1,21-33-0,8.0,2024,120
Cmp-Att-Yd-TD-INT,27-38-262-2-1,24-30-209-2-0,8.0,2024,120
Sacked-Yards,1-10,5-14,8.0,2024,120
Net Pass Yards,252,195,8.0,2024,120
Total Yards,334,228,8.0,2024,120
Fumbles-Lost,1-0,1-1,8.0,2024,120
Turnovers,1,1,8.0,2024,120
Penalties-Yards,8-55,5-32,8.0,2024,120
Third Down Conv.,12-16,6-13,8.0,2024,120
Fourth Down Conv.,0-0,1-2,8.0,2024,120
Time of Possession,32:30,27:30,8.0,2024,120
