Unnamed: 0,PHI,CIN,week,year,game_id
First Downs,24,18,8.0,2024,111
Rush-Yds-TDs,39-161-3,20-58-1,8.0,2024,111
Cmp-Att-Yd-TD-INT,16-20-236-1-0,26-37-234-1-1,8.0,2024,111
Sacked-Yards,0-0,1-12,8.0,2024,111
Net Pass Yards,236,222,8.0,2024,111
Total Yards,397,280,8.0,2024,111
Fumbles-Lost,0-0,3-1,8.0,2024,111
Turnovers,0,2,8.0,2024,111
Penalties-Yards,4-40,1-3,8.0,2024,111
Third Down Conv.,6-11,10-13,8.0,2024,111
Fourth Down Conv.,1-1,0-1,8.0,2024,111
Time of Possession,31:48,28:12,8.0,2024,111
