Quarter,Time,Down,ToGo,Location,BUF,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,8.0,2024,117
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,117
1.0,15:00,1.0,10.0,SEA 30,0.0,0.0,Geno Smith pass incomplete short right intended for Noah Fant (defended by Gregory Rousseau),0.94,0.39,8.0,2024,117
1.0,14:56,2.0,10.0,SEA 30,0.0,0.0,Geno Smith pass complete short left to Kenneth Walker for 1 yard (tackle by Taron Johnson),0.39,-0.16,8.0,2024,117
1.0,14:15,3.0,9.0,SEA 31,0.0,0.0,Geno Smith pass incomplete short right intended for Tyler Lockett (defended by Gregory Rousseau),-0.16,-1.31,8.0,2024,117
1.0,14:10,4.0,9.0,SEA 31,0.0,0.0,"Michael Dickson punts 61 yards, returned by Brandon Codrington for 11 yards (tackle by K'Von Wallace). Penalty on Cameron Lewis: Illegal Blindside Block, 9 yards (accepted)",-1.31,0.38,8.0,2024,117
1.0,13:58,1.0,10.0,BUF 10,0.0,0.0,Josh Allen pass complete deep left to Dawson Knox for 23 yards (tackle by Coby Bryant),-0.38,1.14,8.0,2024,117
1.0,13:18,1.0,10.0,BUF 33,0.0,0.0,James Cook up the middle for 8 yards (tackle by Josh Jobe),1.14,1.67,8.0,2024,117
1.0,12:40,2.0,2.0,BUF 41,0.0,0.0,"Ray Davis right guard for no gain (tackle by Devon Witherspoon). Penalty on Alec Anderson: Offensive Holding, 10 yards (accepted) (no play)",1.67,0.32,8.0,2024,117
1.0,12:12,2.0,12.0,BUF 31,0.0,0.0,Josh Allen pass complete short right to Khalil Shakir for 8 yards (tackle by Coby Bryant and Ernest Jones),0.32,0.7,8.0,2024,117
1.0,11:33,3.0,4.0,BUF 39,0.0,0.0,Josh Allen pass complete short left to Dalton Kincaid for 6 yards (tackle by Julian Love),0.7,1.93,8.0,2024,117
1.0,10:48,1.0,10.0,BUF 45,0.0,0.0,"Penalty on David Edwards: False Start, 5 yards (accepted) (no play)",1.93,1.6,8.0,2024,117
