Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Lamar Jackson,BAL,23,38,289,14,34.1,354,9.3,157,6.8,4.1,132,5.7,4,11.4%,3,8.6%,3,11,9,3,15,34.9%,2,17.0,8.0,2024,112
Jameis Winston,CLE,27,41,334,16,37.2,411,10.0,266,9.9,6.5,68,2.5,1,2.4%,8,19.5%,2,17,3,5,10,23.3%,0,,8.0,2024,112
