Unnamed: 0,NYG,PIT,week,year,game_id
First Downs,17,20,8.0,2024,123
Rush-Yds-TDs,25-157-1,31-167-0,8.0,2024,123
Cmp-Att-Yd-TD-INT,24-38-264-0-1,20-28-278-1-0,8.0,2024,123
Sacked-Yards,4-27,4-19,8.0,2024,123
Net Pass Yards,237,259,8.0,2024,123
Total Yards,394,426,8.0,2024,123
Fumbles-Lost,1-1,1-1,8.0,2024,123
Turnovers,2,1,8.0,2024,123
Penalties-Yards,11-65,5-50,8.0,2024,123
Third Down Conv.,5-15,6-13,8.0,2024,123
Fourth Down Conv.,1-1,0-0,8.0,2024,123
Time of Possession,30:42,29:18,8.0,2024,123
