Unnamed: 0,NOR,LAC,week,year,game_id
First Downs,15,19,8.0,2024,118
Rush-Yds-TDs,21-117-0,29-122-1,8.0,2024,118
Cmp-Att-Yd-TD-INT,22-42-281-0-0,20-32-279-2-0,8.0,2024,118
Sacked-Yards,5-32,3-23,8.0,2024,118
Net Pass Yards,249,256,8.0,2024,118
Total Yards,366,378,8.0,2024,118
Fumbles-Lost,0-0,2-0,8.0,2024,118
Turnovers,0,0,8.0,2024,118
Penalties-Yards,7-66,4-34,8.0,2024,118
Third Down Conv.,2-16,3-12,8.0,2024,118
Fourth Down Conv.,1-1,0-1,8.0,2024,118
Time of Possession,28:52,31:08,8.0,2024,118
