Quarter,Time,Down,ToGo,Location,GNB,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,,8.0,2024,115
1.0,15:00,,,JAX 35,0.0,0.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,115
1.0,15:00,1.0,10.0,GNB 30,0.0,0.0,Jordan Love pass complete short right to Christian Watson for 7 yards (tackle by Foyesade Oluokun),0.94,1.34,8.0,2024,115
1.0,14:19,2.0,3.0,GNB 37,0.0,0.0,Jordan Love pass complete short left to Tucker Kraft for 8 yards (tackle by Foyesade Oluokun),1.34,1.93,8.0,2024,115
1.0,13:45,1.0,10.0,GNB 45,0.0,0.0,Josh Jacobs up the middle for 7 yards (tackle by Devin Lloyd and Foyesade Oluokun),1.93,2.33,8.0,2024,115
1.0,12:59,,,,,,Timeout #1 by Green Bay Packers,,,8.0,2024,115
1.0,12:59,2.0,3.0,JAX 48,0.0,0.0,Jayden Reed right end for no gain (tackle by Travon Walker),2.33,1.62,8.0,2024,115
1.0,12:20,3.0,3.0,JAX 48,0.0,0.0,"Josh Jacobs right end for 4 yards (tackle by Darnell Savage). Penalty on Sean Rhyan: Offensive Holding, 10 yards (accepted)",1.62,0.83,8.0,2024,115
1.0,11:50,3.0,9.0,GNB 46,0.0,0.0,"Jordan Love pass incomplete short middle intended for Josh Jacobs. Penalty on Zach Tom: Offensive Holding, 10 yards (declined)",0.83,-0.32,8.0,2024,115
1.0,11:41,4.0,9.0,GNB 46,0.0,0.0,"Daniel Whelan punts 45 yards, returned by Parker Washington for 8 yards (tackle by Zayne Anderson)",-0.32,0.06,8.0,2024,115
1.0,11:31,1.0,10.0,JAX 17,0.0,0.0,Trevor Lawrence pass complete short right to Tank Bigsby for 6 yards (tackle by Isaiah McDuffie),-0.06,0.35,8.0,2024,115
1.0,10:50,2.0,4.0,JAX 23,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk,0.35,-0.49,8.0,2024,115
1.0,10:45,3.0,4.0,JAX 23,0.0,0.0,Trevor Lawrence scrambles right end for 2 yards (tackle by Eric Wilson),-0.49,-1.7,8.0,2024,115
1.0,10:00,4.0,2.0,JAX 25,0.0,0.0,Logan Cooke punts 73 yards out of bounds,-1.7,0.38,8.0,2024,115
1.0,9:54,1.0,10.0,GNB 2,0.0,0.0,Josh Jacobs up the middle for 3 yards (tackle by Travon Walker and DaVon Hamilton),-0.38,-0.56,8.0,2024,115
1.0,9:13,2.0,7.0,GNB 5,0.0,0.0,Josh Jacobs up the middle for 2 yards (tackle by DaVon Hamilton and Jeremiah Ledbetter),-0.56,-0.84,8.0,2024,115
1.0,8:35,3.0,5.0,GNB 7,0.0,0.0,Jordan Love pass incomplete short middle intended for Jayden Reed,-0.84,-2.49,8.0,2024,115
1.0,8:29,4.0,5.0,GNB 7,0.0,0.0,Daniel Whelan punts 43 yards downed by Arron Mosby,-2.49,-2.26,8.0,2024,115
1.0,8:15,1.0,10.0,JAX 50,0.0,0.0,Tank Bigsby left end for no gain (tackle by Preston Smith and Isaiah McDuffie),2.26,1.71,8.0,2024,115
1.0,7:32,2.0,10.0,JAX 50,0.0,0.0,Trevor Lawrence pass complete short right to Brenton Strange for 7 yards (tackle by Evan Williams),1.71,1.95,8.0,2024,115
1.0,6:44,3.0,3.0,GNB 43,0.0,0.0,"Penalty on Gabriel Davis: False Start, 5 yards (accepted) (no play)",1.95,1.29,8.0,2024,115
1.0,6:24,3.0,8.0,GNB 48,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Brian Thomas,1.29,0.07,8.0,2024,115
1.0,6:18,4.0,8.0,GNB 48,0.0,0.0,"Logan Cooke punts 40 yards, fair catch by Jayden Reed at GB-8",0.07,0.38,8.0,2024,115
1.0,6:11,1.0,10.0,GNB 8,0.0,0.0,Jordan Love pass complete deep middle to Romeo Doubs for 29 yards (tackle by Andre Cisco),-0.38,1.4,8.0,2024,115
