Quarter,Time,Down,ToGo,Location,NYJ,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Patriots to receive the opening kickoff.",,,8.0,2024,116
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,116
1.0,15:00,1.0,10.0,NWE 30,0.0,0.0,Rhamondre Stevenson right tackle for 6 yards (tackle by Sauce Gardner and Isaiah Oliver),0.94,1.2,8.0,2024,116
1.0,14:26,2.0,4.0,NWE 36,0.0,0.0,Rhamondre Stevenson right end for -1 yards (tackle by Chazz Surratt),1.2,0.37,8.0,2024,116
1.0,13:49,3.0,5.0,NWE 35,0.0,0.0,Drake Maye pass incomplete deep right intended for Kayshon Boutte,0.37,-1.04,8.0,2024,116
1.0,13:42,4.0,5.0,NWE 35,0.0,0.0,"Bryce Baringer punts 52 yards, returned by Xavier Gipson for 40 yards (tackle by Dell Pettus)",-1.04,-2.46,8.0,2024,116
1.0,13:29,1.0,10.0,NWE 47,0.0,0.0,Aaron Rodgers pass complete short right to Jeremy Ruckert for -1 yards (tackle by Keion White),2.46,1.78,8.0,2024,116
1.0,12:44,2.0,11.0,NWE 48,0.0,0.0,Breece Hall right end for 8 yards (tackle by Jahlani Tavai),1.78,2.15,8.0,2024,116
1.0,11:58,,,,,,Timeout #1 by New York Jets,,,8.0,2024,116
1.0,11:58,3.0,3.0,NWE 40,0.0,0.0,Aaron Rodgers pass incomplete short left intended for Breece Hall,2.15,0.59,8.0,2024,116
1.0,11:55,4.0,3.0,NWE 40,0.0,0.0,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (accepted) (no play)",0.59,0.27,8.0,2024,116
1.0,11:55,4.0,8.0,NWE 45,0.0,0.0,"Thomas Morstead punts 34 yards, returned by Marcus Jones for 12 yards (tackle by Samuel Eguavoen)",0.27,-0.48,8.0,2024,116
1.0,11:46,1.0,10.0,NWE 23,0.0,0.0,Drake Maye pass complete short left to Demario Douglas for 9 yards (tackle by Jalen Mills and Jamien Sherwood),0.48,1.15,8.0,2024,116
1.0,11:14,2.0,1.0,NWE 32,0.0,0.0,Rhamondre Stevenson left end for 4 yards (tackle by Quincy Williams),1.15,1.33,8.0,2024,116
1.0,10:35,1.0,10.0,NWE 36,0.0,0.0,"Drake Maye pass incomplete short left. Penalty on Jalen Mills: Defensive Holding, 5 yards (accepted) (no play)",1.33,1.66,8.0,2024,116
1.0,10:30,1.0,10.0,NWE 41,0.0,0.0,Rhamondre Stevenson left guard for 5 yards (tackle by Jamien Sherwood and Solomon Thomas),1.66,1.8,8.0,2024,116
1.0,9:48,2.0,5.0,NWE 46,0.0,0.0,Antonio Gibson up the middle for no gain (tackle by Quincy Williams and Leonard Taylor),1.8,1.09,8.0,2024,116
