Quarter,Time,Down,ToGo,Location,NOR,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Chargers to receive the opening kickoff.",,,8.0,2024,118
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 62 yards, returned by Jalen Reagor for 22 yards (tackle by Kool-Aid McKinstry)",0.0,0.61,8.0,2024,118
1.0,14:55,1.0,10.0,LAC 25,0.0,0.0,Justin Herbert pass complete short left to J.K. Dobbins for -2 yards (tackle by Pete Werner),0.61,-0.21,8.0,2024,118
1.0,14:16,2.0,12.0,LAC 23,0.0,0.0,Justin Herbert pass incomplete deep right intended for Josh Palmer (defended by Kool-Aid McKinstry),-0.21,-0.89,8.0,2024,118
1.0,14:10,3.0,12.0,LAC 23,0.0,0.0,Justin Herbert pass incomplete short left intended for J.K. Dobbins (defended by Chase Young),-0.89,-1.83,8.0,2024,118
1.0,14:07,4.0,12.0,LAC 23,0.0,0.0,"JK Scott punts 59 yards, returned by Jermaine Jackson for 3 yards (tackle by Stone Smartt)",-1.83,-0.34,8.0,2024,118
1.0,13:54,1.0,10.0,NOR 21,0.0,0.0,Alvin Kamara right end for 23 yards (tackle by Daiyan Henley),0.34,1.86,8.0,2024,118
1.0,13:25,1.0,10.0,NOR 44,0.0,0.0,Taysom Hill right guard for 8 yards (tackle by Otito Ogbonnia and Derwin James),1.86,2.4,8.0,2024,118
1.0,12:52,2.0,2.0,LAC 48,0.0,0.0,Alvin Kamara right guard for 1 yard (tackle by Poona Ford and Denzel Perryman),2.4,1.82,8.0,2024,118
1.0,12:13,3.0,1.0,LAC 47,0.0,0.0,Alvin Kamara up the middle for no gain (tackle by Denzel Perryman and Daiyan Henley),1.82,0.13,8.0,2024,118
1.0,11:25,4.0,1.0,LAC 47,0.0,0.0,"Matthew Hayball punts 47 yards, touchback.",0.13,-0.28,8.0,2024,118
1.0,11:15,1.0,10.0,LAC 20,0.0,0.0,J.K. Dobbins left guard for 2 yards (tackle by Pete Werner),0.28,0.0,8.0,2024,118
1.0,10:38,2.0,8.0,LAC 22,0.0,0.0,Justin Herbert pass incomplete short right intended for J.K. Dobbins,0.0,-0.69,8.0,2024,118
1.0,10:33,3.0,8.0,LAC 22,0.0,0.0,Justin Herbert pass incomplete short left,-0.69,-1.9,8.0,2024,118
1.0,10:27,4.0,8.0,LAC 22,2.0,0.0,"Josh Harris aborted snap, recovered by JK Scott in end zone. JK Scott fumbles, ball out of bounds at end zone (forced by Taysom Hill)",-1.9,-2.0,8.0,2024,118
1.0,10:20,,,LAC 20,2.0,0.0,"Cameron Dicker kicks off 68 yards, returned by Jermaine Jackson for 22 yards (tackle by Nick Niemann)",0.0,1.2,8.0,2024,118
1.0,10:14,1.0,10.0,NOR 34,2.0,0.0,Kendre Miller left tackle for 1 yard (tackle by Bud Dupree),1.2,0.79,8.0,2024,118
1.0,9:40,2.0,9.0,NOR 35,2.0,0.0,"Spencer Rattler pass complete short right to Chris Olave for no gain (tackle by Derwin James). Penalty on Lucas Patrick: Offensive Holding, 10 yards (accepted) (no play)",0.79,-0.56,8.0,2024,118
1.0,9:21,2.0,19.0,NOR 25,2.0,0.0,Spencer Rattler pass complete short left to Taysom Hill for 14 yards (tackle by Daiyan Henley and Cam Hart),-0.56,0.63,8.0,2024,118
1.0,8:45,3.0,5.0,NOR 39,2.0,0.0,Spencer Rattler pass incomplete short right,0.63,-0.78,8.0,2024,118
1.0,8:37,4.0,5.0,NOR 39,2.0,0.0,"Matthew Hayball punts 49 yards, returned by Ladd McConkey for 5 yards (tackle by D'Marco Jackson)",-0.78,0.06,8.0,2024,118
1.0,8:27,1.0,10.0,LAC 17,2.0,0.0,J.K. Dobbins left guard for 2 yards (tackle by Khalen Saunders),-0.06,-0.25,8.0,2024,118
1.0,7:49,2.0,8.0,LAC 19,2.0,0.0,Justin Herbert pass complete short left to Will Dissly for 9 yards (tackle by Tyrann Mathieu),-0.25,0.81,8.0,2024,118
1.0,7:12,1.0,10.0,LAC 28,2.0,0.0,Justin Herbert pass complete short middle to Ladd McConkey for 15 yards (tackle by Kool-Aid McKinstry),0.81,1.8,8.0,2024,118
1.0,6:31,1.0,10.0,LAC 43,2.0,0.0,Kimani Vidal up the middle for 2 yards (tackle by Demario Davis),1.8,1.52,8.0,2024,118
1.0,5:52,2.0,8.0,LAC 45,2.0,0.0,Justin Herbert pass incomplete short right intended for Will Dissly,1.52,0.83,8.0,2024,118
1.0,5:46,3.0,8.0,LAC 45,2.0,0.0,Justin Herbert sacked by Ugo Amadi for -8 yards,0.83,-0.91,8.0,2024,118
1.0,5:11,4.0,16.0,LAC 37,2.0,0.0,"JK Scott punts 47 yards, fair catch by Jermaine Jackson at NO-16",-0.91,0.14,8.0,2024,118
1.0,5:02,1.0,10.0,NOR 16,2.0,0.0,"Spencer Rattler pass incomplete deep right intended for Chris Olave (defended by Cam Hart) NOR challenged the pass completion ruling, and the original play was overturned. Spencer Rattler pass complete deep right to Chris Olave for 20 yards (tackle by Cam Hart)",-0.14,1.33,8.0,2024,118
1.0,4:52,1.0,10.0,NOR 36,2.0,0.0,Taysom Hill up the middle for 2 yards (tackle by Daiyan Henley and Junior Colson),1.33,1.06,8.0,2024,118
1.0,4:18,2.0,8.0,NOR 38,2.0,0.0,Spencer Rattler sacked by Khalil Mack for -8 yards,1.06,-0.69,8.0,2024,118
1.0,3:32,3.0,16.0,NOR 30,2.0,0.0,Alvin Kamara right tackle for 8 yards (tackle by Ja'Sir Taylor and Elijah Molden),-0.69,-0.85,8.0,2024,118
1.0,2:47,4.0,8.0,NOR 38,2.0,0.0,"Matthew Hayball punts 46 yards, fair catch by Ladd McConkey at LAC-16",-0.85,0.14,8.0,2024,118
1.0,2:38,1.0,10.0,LAC 16,2.0,0.0,Justin Herbert scrambles right end for 38 yards (tackle by Tyrann Mathieu),-0.14,2.52,8.0,2024,118
1.0,1:55,1.0,10.0,NOR 46,2.0,0.0,Justin Herbert pass complete short right to Jalen Reagor for 11 yards (tackle by Pete Werner),2.52,3.25,8.0,2024,118
1.0,1:21,1.0,10.0,NOR 35,2.0,0.0,J.K. Dobbins left guard for 3 yards (tackle by Nathan Shepherd and Demario Davis),3.25,3.11,8.0,2024,118
1.0,0:42,2.0,7.0,NOR 32,2.0,0.0,Justin Herbert pass complete short left to J.K. Dobbins for -5 yards (tackle by Pete Werner),3.11,1.75,8.0,2024,118
1.0,0:09,3.0,12.0,NOR 37,2.0,0.0,Justin Herbert pass complete short middle to Will Dissly for 9 yards (tackle by Jordan Howden),1.75,1.68,8.0,2024,118
2.0,15:00,4.0,3.0,NOR 28,2.0,3.0,Cameron Dicker 46 yard field goal good,1.68,3.0,8.0,2024,118
2.0,14:55,,,LAC 35,2.0,3.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,118
2.0,14:55,1.0,10.0,NOR 30,2.0,3.0,Alvin Kamara right guard for -2 yards (tackle by Teair Tart),0.94,0.12,8.0,2024,118
2.0,14:19,2.0,12.0,NOR 28,2.0,3.0,Spencer Rattler pass incomplete short middle intended for Alvin Kamara (defended by Teair Tart),0.12,-0.56,8.0,2024,118
2.0,14:16,3.0,12.0,NOR 28,2.0,3.0,"Spencer Rattler pass complete short middle to Taysom Hill for 7 yards (tackle by Cam Hart). Penalty on Bub Means: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-0.56,-0.96,8.0,2024,118
2.0,13:47,3.0,15.0,NOR 25,2.0,3.0,Alvin Kamara left guard for 3 yards (tackle by Morgan Fox and Khalil Mack),-0.96,-1.5,8.0,2024,118
