Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Jalen Hurts,PHI,10,37,3,12,8.0,2024,111
Saquon Barkley,PHI,22,108,0,19,8.0,2024,111
Kenneth Gainwell,PHI,5,19,0,10,8.0,2024,111
DeVonta Smith,PHI,0,0,0,0,8.0,2024,111
A.J. Brown,PHI,0,0,0,0,8.0,2024,111
Grant Calcaterra,PHI,0,0,0,0,8.0,2024,111
Jack Stoll,PHI,0,0,0,0,8.0,2024,111
Will Shipley,PHI,2,-3,0,1,8.0,2024,111
Joe Burrow,CIN,3,15,0,8,8.0,2024,111
Chase Brown,CIN,12,32,1,5,8.0,2024,111
Zack Moss,CIN,5,11,0,4,8.0,2024,111
Mike Gesicki,CIN,0,0,0,0,8.0,2024,111
Ja'Marr Chase,CIN,0,0,0,0,8.0,2024,111
Jermaine Burton,CIN,0,0,0,0,8.0,2024,111
Erick All,CIN,0,0,0,0,8.0,2024,111
Trenton Irwin,CIN,0,0,0,0,8.0,2024,111
Andrei Iosivas,CIN,0,0,0,0,8.0,2024,111
