Quarter,Time,Down,ToGo,Location,MIN,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Vikings to receive the opening kickoff.",,,8.0,2024,108
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,108
1.0,15:00,1.0,10.0,MIN 30,0.0,0.0,Aaron Jones up the middle for 5 yards (tackle by Kamren Curl and Kobie Turner),0.94,1.07,8.0,2024,108
1.0,14:24,2.0,5.0,MIN 35,0.0,0.0,Sam Darnold pass complete short left to Justin Jefferson for 10 yards (tackle by Darious Williams),1.07,1.93,8.0,2024,108
1.0,13:52,1.0,10.0,MIN 45,0.0,0.0,Aaron Jones right end for 9 yards (tackle by Cobie Durant),1.93,2.6,8.0,2024,108
1.0,13:27,2.0,1.0,LAR 46,0.0,0.0,Aaron Jones right guard for 4 yards (tackle by Kobie Turner and Bobby Brown),2.6,2.79,8.0,2024,108
1.0,12:51,1.0,10.0,LAR 42,0.0,0.0,Sam Darnold pass complete deep middle to Justin Jefferson for 17 yards (tackle by Christian Rozeboom and Kamren Curl),2.79,3.91,8.0,2024,108
1.0,12:16,1.0,10.0,LAR 25,0.0,0.0,Aaron Jones right guard for 3 yards (tackle by Christian Rozeboom),3.91,3.77,8.0,2024,108
1.0,11:36,2.0,7.0,LAR 22,0.0,0.0,Sam Darnold pass complete deep middle to Justin Jefferson for 17 yards (tackle by Darious Williams and Kamren Kinchens),3.77,6.06,8.0,2024,108
1.0,10:48,1.0,5.0,LAR 5,6.0,0.0,"Sam Darnold pass complete short left to Josh Oliver for 5 yards, touchdown",6.06,7.0,8.0,2024,108
1.0,10:43,,,LAR 15,7.0,0.0,Will Reichard kicks extra point good,0.0,0.0,8.0,2024,108
1.0,10:43,,,MIN 35,7.0,0.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,108
1.0,10:43,1.0,10.0,LAR 30,7.0,0.0,Matthew Stafford pass incomplete short left intended for Puka Nacua,0.94,0.39,8.0,2024,108
1.0,10:38,2.0,10.0,LAR 30,7.0,0.0,Matthew Stafford pass complete short left to Puka Nacua for 13 yards (tackle by Harrison Phillips and Josh Metellus),0.39,1.8,8.0,2024,108
1.0,10:01,1.0,10.0,LAR 43,7.0,0.0,Kyren Williams up the middle for 13 yards (tackle by Harrison Smith),1.8,2.65,8.0,2024,108
1.0,9:21,1.0,10.0,MIN 44,7.0,0.0,Matthew Stafford pass complete short left to Tyler Johnson for 6 yards (tackle by Harrison Smith),2.65,2.92,8.0,2024,108
1.0,8:35,,,,,,Timeout #1 by Los Angeles Rams,,,8.0,2024,108
1.0,8:35,2.0,4.0,MIN 38,7.0,0.0,Matthew Stafford pass complete short left to Puka Nacua for 21 yards (tackle by Andrew Van Ginkel and Camryn Bynum),2.92,4.44,8.0,2024,108
1.0,7:54,1.0,10.0,MIN 17,7.0,0.0,"Kyren Williams up the middle for 3 yards (tackle by Ivan Pace). Penalty on Ivan Pace: Face Mask (15 Yards), 7 yards (accepted)",4.44,5.6,8.0,2024,108
1.0,7:34,1.0,7.0,MIN 7,7.0,0.0,Kyren Williams up the middle for 2 yards (tackle by Ivan Pace),5.6,5.15,8.0,2024,108
1.0,6:45,2.0,5.0,MIN 5,7.0,0.0,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,5.15,4.26,8.0,2024,108
1.0,6:42,3.0,5.0,MIN 5,7.0,6.0,"Matthew Stafford pass complete short middle to Kyren Williams for 5 yards, touchdown",4.26,7.0,8.0,2024,108
1.0,6:38,,,MIN 15,7.0,7.0,Joshua Karty kicks extra point good,0.0,0.0,8.0,2024,108
1.0,6:38,,,LAR 35,7.0,7.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,108
1.0,6:38,1.0,10.0,MIN 30,7.0,7.0,Aaron Jones right tackle for -1 yards (tackle by Kobie Turner and Jared Verse),0.94,0.26,8.0,2024,108
1.0,6:01,2.0,11.0,MIN 29,7.0,7.0,Sam Darnold pass complete short right to Jordan Addison for 14 yards (tackle by Cobie Durant),0.26,1.8,8.0,2024,108
1.0,5:23,1.0,10.0,MIN 43,7.0,7.0,Aaron Jones right guard for 7 yards (tackle by Christian Rozeboom),1.8,2.2,8.0,2024,108
1.0,4:45,2.0,3.0,MIN 50,7.0,7.0,Sam Darnold pass complete short middle to Justin Jefferson for 19 yards (tackle by Cobie Durant),2.2,3.51,8.0,2024,108
1.0,4:02,1.0,10.0,LAR 31,7.0,7.0,Sam Darnold scrambles right end for 5 yards (tackle by Cobie Durant),3.51,3.64,8.0,2024,108
1.0,3:24,2.0,5.0,LAR 26,7.0,7.0,Aaron Jones up the middle for 4 yards (tackle by Christian Rozeboom and Byron Young),3.64,3.47,8.0,2024,108
1.0,3:05,3.0,1.0,LAR 22,7.0,7.0,Sam Darnold up the middle for 2 yards (tackle by Braden Fiske),3.47,4.24,8.0,2024,108
1.0,2:22,1.0,10.0,LAR 20,7.0,7.0,Sam Darnold pass complete short right to Justin Jefferson for 5 yards (tackle by Cobie Durant),4.24,4.45,8.0,2024,108
1.0,1:37,2.0,5.0,LAR 15,7.0,7.0,Aaron Jones up the middle for 5 yards (tackle by Omar Speights),4.45,4.91,8.0,2024,108
1.0,0:58,1.0,10.0,LAR 10,13.0,7.0,"Sam Darnold pass complete short left to Trent Sherfield for 10 yards, touchdown",4.91,7.0,8.0,2024,108
1.0,0:53,,,LAR 15,14.0,7.0,Will Reichard kicks extra point good,0.0,0.0,8.0,2024,108
1.0,0:53,,,MIN 35,14.0,7.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,108
1.0,0:53,1.0,10.0,LAR 30,14.0,7.0,Matthew Stafford pass complete deep middle to Puka Nacua for 16 yards (tackle by Camryn Bynum),0.94,1.99,8.0,2024,108
1.0,0:15,1.0,10.0,LAR 46,14.0,7.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Camryn Bynum),1.99,1.45,8.0,2024,108
1.0,0:10,,,,,,Timeout #2 by Los Angeles Rams,,,8.0,2024,108
1.0,0:10,2.0,10.0,LAR 46,14.0,7.0,Matthew Stafford pass complete short left to Kyren Williams for 3 yards (tackle by Patrick Jones and Shaquill Griffin),1.45,1.16,8.0,2024,108
2.0,14:55,3.0,7.0,LAR 49,14.0,7.0,"Matthew Stafford pass incomplete short middle intended for Puka Nacua. Penalty on Byron Murphy: Defensive Holding, 5 yards (accepted) (no play)",1.16,2.52,8.0,2024,108
2.0,14:55,1.0,10.0,MIN 46,14.0,7.0,Kyren Williams left tackle for 17 yards (tackle by Ivan Pace),2.52,3.64,8.0,2024,108
2.0,14:13,1.0,10.0,MIN 29,14.0,7.0,Blake Corum right tackle for 1 yard (tackle by Ivan Pace and Jonathan Bullard),3.64,3.24,8.0,2024,108
2.0,13:30,2.0,9.0,MIN 28,14.0,7.0,Matthew Stafford pass complete short right to Puka Nacua for 14 yards (tackle by Stephon Gilmore),3.24,4.65,8.0,2024,108
2.0,12:51,1.0,10.0,MIN 14,14.0,7.0,Puka Nacua left end for 7 yards (tackle by Josh Metellus),4.65,5.28,8.0,2024,108
2.0,12:10,2.0,3.0,MIN 7,14.0,7.0,Kyren Williams up the middle for 1 yard (tackle by Patrick Jones and Jonathan Greenard),5.28,4.73,8.0,2024,108
2.0,11:20,3.0,2.0,MIN 6,14.0,7.0,"Penalty on Alaric Jackson: False Start, 5 yards (accepted) (no play)",4.73,3.62,8.0,2024,108
2.0,10:59,3.0,7.0,MIN 11,14.0,7.0,"Matthew Stafford pass incomplete short right intended for Cooper Kupp. Penalty on Stephon Gilmore: Defensive Pass Interference, 5 yards (accepted) (no play)",3.62,5.83,8.0,2024,108
2.0,10:53,1.0,6.0,MIN 6,14.0,7.0,Kyren Williams up the middle for -1 yards (tackle by Ivan Pace),5.83,4.76,8.0,2024,108
2.0,10:11,2.0,7.0,MIN 7,14.0,13.0,"Matthew Stafford pass complete short left to Cooper Kupp for 7 yards, touchdown",4.76,7.0,8.0,2024,108
2.0,10:05,,,MIN 15,14.0,14.0,Joshua Karty kicks extra point good,0.0,0.0,8.0,2024,108
2.0,10:05,,,LAR 35,14.0,14.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,108
2.0,10:05,1.0,10.0,MIN 30,14.0,14.0,"Penalty on Blake Brandel: False Start, 5 yards (accepted) (no play)",0.94,0.61,8.0,2024,108
2.0,10:05,1.0,15.0,MIN 25,14.0,14.0,"Sam Darnold pass incomplete short right intended for Jalen Nailor. Penalty on Sam Darnold: Illegal Formation, 5 yards (declined)",0.61,-0.28,8.0,2024,108
2.0,10:01,2.0,15.0,MIN 25,14.0,14.0,Sam Darnold pass complete short left to Justin Jefferson for 6 yards (tackle by Jaylen McCollough),-0.28,-0.16,8.0,2024,108
2.0,9:22,3.0,9.0,MIN 31,14.0,14.0,Sam Darnold pass incomplete short right,-0.16,-1.31,8.0,2024,108
2.0,9:16,4.0,9.0,MIN 31,14.0,14.0,"Ryan Wright punts 61 yards, returned by Xavier Smith for 4 yards (tackle by Trent Sherfield)",-1.31,0.35,8.0,2024,108
