Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Lions to receive the opening kickoff.",,,8.0,2024,109
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,109
1.0,15:00,1.0,10.0,DET 30,0.0,0.0,Jared Goff sacked by Arden Key for -7 yards,0.94,-0.55,8.0,2024,109
1.0,14:26,2.0,17.0,DET 23,0.0,0.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 6 yards (tackle by Quandre Diggs),-0.55,-0.43,8.0,2024,109
1.0,13:50,3.0,11.0,DET 29,0.0,0.0,Jared Goff pass complete short middle to Jahmyr Gibbs for 6 yards (tackle by Quandre Diggs),-0.43,-1.04,8.0,2024,109
1.0,13:09,4.0,5.0,DET 35,0.0,0.0,"Jack Fox punts 57 yards, returned by Jha'Quan Jackson for 8 yards. Jha'Quan Jackson fumbles (forced by Sione Vaki), recovered by Jha'Quan Jackson at TEN-15 (tackle by Sione Vaki)",-1.04,0.22,8.0,2024,109
1.0,12:57,1.0,10.0,TEN 15,0.0,0.0,Tony Pollard right tackle for 4 yards (tackle by Alim McNeill),-0.22,-0.11,8.0,2024,109
1.0,12:18,2.0,6.0,TEN 19,0.0,0.0,Mason Rudolph pass complete short right to Calvin Ridley for 13 yards (tackle by Carlton Davis),-0.11,1.07,8.0,2024,109
1.0,11:43,1.0,10.0,TEN 32,0.0,0.0,Tony Pollard left end for no gain (tackle by D.J. Reader),1.07,0.53,8.0,2024,109
1.0,11:07,2.0,10.0,TEN 32,0.0,0.0,Mason Rudolph pass short right intended for Nick Vannett is intercepted by Trevor Nowaske at TEN-31 and returned for 8 yards (tackle by Josh Whyle),0.53,-4.04,8.0,2024,109
1.0,10:59,1.0,10.0,TEN 23,0.0,0.0,"David Montgomery up the middle for 9 yards (tackle by Quandre Diggs). Penalty on Arden Key: Face Mask (15 Yards), 7 yards (accepted)",4.04,5.6,8.0,2024,109
1.0,10:36,1.0,7.0,TEN 7,0.0,6.0,"David Montgomery left tackle for 7 yards, touchdown",5.6,7.0,8.0,2024,109
1.0,10:31,,,TEN 15,0.0,7.0,Jake Bates kicks extra point good,0.0,0.0,8.0,2024,109
1.0,10:31,,,DET 35,0.0,7.0,"Jake Bates kicks off 65 yards, returned by Jha'Quan Jackson for 29 yards (tackle by Khalil Dorsey)",0.0,0.87,8.0,2024,109
