Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,,8.0,2024,122
1.0,15:00,,,SFO 35,0.0,0.0,"Anders Carlson kicks off 61 yards, returned by KaVontae Turpin for 26 yards (tackle by Patrick Taylor). Penalty on Jalen Tolbert: Illegal Formation, 5 yards (accepted)",0.0,0.61,8.0,2024,122
1.0,14:55,1.0,10.0,DAL 25,0.0,0.0,Ezekiel Elliott right guard for 7 yards (tackle by Nick Bosa),0.61,1.01,8.0,2024,122
1.0,14:20,2.0,3.0,DAL 32,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 4 yards (tackle by De'Vondre Campbell),1.01,1.33,8.0,2024,122
1.0,13:51,1.0,10.0,DAL 36,0.0,0.0,Ezekiel Elliott up the middle for no gain (tackle by Deommodore Lenoir and Leonard Floyd),1.33,0.79,8.0,2024,122
1.0,13:17,2.0,10.0,DAL 36,0.0,0.0,Dak Prescott pass complete short left to CeeDee Lamb for 5 yards (tackle by Ji'Ayir Brown),0.79,0.76,8.0,2024,122
1.0,12:39,3.0,5.0,DAL 41,0.0,0.0,Hunter Luepke right guard for no gain (tackle by Fred Warner and Maliek Collins),0.76,-0.65,8.0,2024,122
1.0,11:54,4.0,5.0,DAL 41,0.0,0.0,"Bryan Anger punts 52 yards, returned by Jacob Cowing for 6 yards (tackle by Ryan Flournoy)",-0.65,0.32,8.0,2024,122
1.0,11:44,1.0,10.0,SFO 13,0.0,0.0,Deebo Samuel left end for 1 yard (tackle by Carl Lawson and DeMarvion Overshown),-0.32,-0.68,8.0,2024,122
1.0,11:10,2.0,9.0,SFO 14,0.0,0.0,Brock Purdy pass complete short middle to Ricky Pearsall for 8 yards (tackle by Amani Oruwariye and DeMarvion Overshown),-0.68,-0.35,8.0,2024,122
1.0,10:29,3.0,1.0,SFO 22,0.0,0.0,"Penalty on Chris Conley: False Start, 5 yards (accepted) (no play)",-0.35,-0.94,8.0,2024,122
1.0,10:16,3.0,6.0,SFO 17,0.0,0.0,Brock Purdy pass complete deep right to Deebo Samuel for 47 yards (tackle by Malik Hooker),-0.94,3.18,8.0,2024,122
1.0,9:33,1.0,10.0,DAL 36,0.0,0.0,Jordan Mason up the middle for 4 yards (tackle by Mazi Smith),3.18,3.18,8.0,2024,122
1.0,9:11,2.0,6.0,DAL 32,0.0,0.0,"Jordan Mason left end for no gain (tackle by Malik Hooker). Penalty on Kyle Juszczyk: Offensive Holding, 10 yards (accepted) (no play)",3.18,1.83,8.0,2024,122
1.0,8:45,2.0,16.0,DAL 42,0.0,0.0,Brock Purdy pass complete short middle to Ricky Pearsall for 6 yards (tackle by Amani Oruwariye),1.83,1.95,8.0,2024,122
1.0,7:59,3.0,10.0,DAL 36,0.0,0.0,Jordan Mason up the middle for 4 yards (tackle by Chauncey Golston),1.95,1.25,8.0,2024,122
1.0,7:19,4.0,6.0,DAL 32,0.0,3.0,Anders Carlson 50 yard field goal good,1.25,3.0,8.0,2024,122
1.0,7:14,,,SFO 35,0.0,3.0,"Anders Carlson kicks off 59 yards, returned by KaVontae Turpin for 26 yards (tackle by Demetrius Flannigan-Fowles)",0.0,1.07,8.0,2024,122
1.0,7:08,1.0,10.0,DAL 32,0.0,3.0,Dak Prescott pass complete short right to Jake Ferguson for 2 yards (tackle by De'Vondre Campbell),1.07,0.8,8.0,2024,122
1.0,6:29,2.0,8.0,DAL 34,0.0,3.0,Dak Prescott pass complete short middle to Dalvin Cook for 10 yards (tackle by De'Vondre Campbell),0.8,1.86,8.0,2024,122
1.0,5:55,1.0,10.0,DAL 44,0.0,3.0,Dalvin Cook right tackle for 1 yard (tackle by De'Vondre Campbell),1.86,1.45,8.0,2024,122
1.0,5:18,2.0,9.0,DAL 45,0.0,3.0,Dak Prescott pass complete short right to CeeDee Lamb for 10 yards (tackle by Charvarius Ward),1.45,2.59,8.0,2024,122
